d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,coordinates of geographic center,population
822,30065,MT,Musselshell County,8,790,Point(-109.6333 47.0527),1032949
823,51061,VA,Fauquier County,1,3978,Point(-78.8537 37.5215),8382993
824,47029,TN,Cocke County,6,8448,Point(-86.3505 35.858),6600299
825,13151,GA,Henry County,1,21101,Point(-83.437611111 32.662027777),10214860
826,13163,GA,Jefferson County,6,3867,Point(-83.437611111 32.662027777),10214860
827,50017,VT,Orange County,9,2986,Point(-72.6658 44.0687),626042
828,48253,TX,Jones County,3,3138,Point(-99.3312 31.4757),27469114
829,31019,NE,Buffalo County,5,5287,Point(-99.7951 41.5378),1896190
830,28023,MS,Clarke County,9,3296,Point(-89.6678 32.7364),2992333
831,12133,FL,Washington County,6,5026,Point(-82.4497 28.6305),20271272
832,38057,ND,Mercer County,6,561,Point(-100.4659 47.4501),756927
833,38009,ND,Bottineau County,9,701,Point(-100.4659 47.4501),756927
834,35045,NM,San Juan County,3,19749,Point(-106.1126 34.4071),2085109
835,19111,IA,Lee County,5,4643,Point(-93.496 42.0751),3046355
836,49027,UT,Millard County,7,1407,Point(-111.6703 39.3055),2763885
837,48255,TX,Karnes County,6,2677,Point(-99.3312 31.4757),27469114
838,45011,SC,Barnwell County,6,4789,Point(-80.8964 33.9169),4896146
839,37129,NC,New Hanover County,2,37472,Point(-79.5 35.5),10042802
840,1119,AL,Sumter County,8,3933,Point(-86.8287 32.7794),4858979
841,37123,NC,Montgomery County,6,5655,Point(-79.5 35.5),10042802
842,51067,VA,Franklin County,2,7192,Point(-78.8537 37.5215),8382993
843,27155,MN,Traverse County,9,414,Point(-94.3053 46.2807),5489594
844,29181,MO,Ripley County,9,3776,Point(-92.458 38.3566),6083672
845,47099,TN,Lawrence County,6,7076,Point(-86.3505 35.858),6600299
846,46087,SD,McCook County,3,545,,1394928
847,21073,KY,Franklin County,4,6708,Point(-85.3021 37.5347),4425092
848,17137,IL,Morgan County,4,4962,Point(-89.1965 40.0417),12859995
849,53011,WA,Clark County,1,41909,Point(-120.4472 47.3826),7170351
850,19125,IA,Marion County,6,2725,Point(-93.496 42.0751),3046355
851,15003,HI,Honolulu County,2,81341,Point(-157.5 20.5),1431603
852,26147,MI,St. Clair County,1,21781,Point(-85.4102 44.3467),9922576
853,47143,TN,Rhea County,6,5739,Point(-86.3505 35.858),6600299
854,26155,MI,Shiawassee County,4,8106,Point(-85.4102 44.3467),9922576
855,37145,NC,Person County,2,5962,Point(-79.5 35.5),10042802
856,20135,KS,Ness County,9,325,Point(-98.3804 38.4937),2911641
857,20189,KS,Stevens County,7,551,Point(-98.3804 38.4937),2911641
858,48035,TX,Bosque County,6,2797,Point(-99.3312 31.4757),27469114
859,40005,OK,Atoka County,7,2596,Point(-97.4943 35.5889),3911338
860,51740,VA,Portsmouth city,1,16775,Point(-78.8537 37.5215),8382993
861,35021,NM,Harding County,9,95,Point(-106.1126 34.4071),2085109
862,54079,WV,Putnam County,2,6090,Point(-80.6227 38.6409),1844128
863,36105,NY,Sullivan County,4,12240,Point(-75.5268 42.9538),19795791
864,28061,MS,Jasper County,9,3748,Point(-89.6678 32.7364),2992333
865,48033,TX,Borden County,9,67,Point(-99.3312 31.4757),27469114
866,36075,NY,Oswego County,2,19549,Point(-75.5268 42.9538),19795791
867,21141,KY,Logan County,6,4581,Point(-85.3021 37.5347),4425092
868,13109,GA,Evans County,6,2500,Point(-83.437611111 32.662027777),10214860
869,23005,ME,Cumberland County,2,28431,Point(-69.2428 45.3695),1328361
870,6113,CA,Yolo County,1,39303,Point(-119.4696 37.1841),39144818
871,19193,IA,Woodbury County,3,13318,Point(-93.496 42.0751),3046355
872,22015,LA,Bossier Parish,2,20555,,3976322
873,5007,AR,Benton County,2,23131,Point(-92.4426 34.8938),2978204
874,39041,OH,Delaware County,1,9083,Point(-82.7937 40.2862),11613423
875,18181,IN,White County,6,2571,Point(-86.2816 39.8942),6619680
876,40059,OK,Harper County,9,388,Point(-97.4943 35.5889),3911338
877,5115,AR,Pope County,5,10433,Point(-92.4426 34.8938),2978204
878,8097,CO,Pitkin County,7,1227,Point(-105.5478 38.9972),5456574
879,22101,LA,St. Mary Parish,4,11371,,3976322
880,8025,CO,Crowley County,8,1471,Point(-105.5478 38.9972),5456574
881,23013,ME,Knox County,7,4376,Point(-69.2428 45.3695),1328361
882,46097,SD,Miner County,8,272,,1394928
883,37061,NC,Duplin County,6,12418,Point(-79.5 35.5),10042802
884,18153,IN,Sullivan County,3,2640,Point(-86.2816 39.8942),6619680
885,19009,IA,Audubon County,8,616,Point(-93.496 42.0751),3046355
886,51141,VA,Patrick County,8,3151,Point(-78.8537 37.5215),8382993
887,40091,OK,McIntosh County,6,4133,Point(-97.4943 35.5889),3911338
888,48349,TX,Navarro County,4,8491,Point(-99.3312 31.4757),27469114
889,21163,KY,Meade County,1,3716,Point(-85.3021 37.5347),4425092
890,27171,MN,Wright County,1,6912,Point(-94.3053 46.2807),5489594
891,29137,MO,Monroe County,9,1298,Point(-92.458 38.3566),6083672
892,48235,TX,Irion County,3,125,Point(-99.3312 31.4757),27469114
893,22013,LA,Bienville Parish,6,3171,,3976322
894,21085,KY,Grayson County,6,5585,Point(-85.3021 37.5347),4425092
895,38037,ND,Grant County,8,367,Point(-100.4659 47.4501),756927
896,51113,VA,Madison County,8,1444,Point(-78.8537 37.5215),8382993
897,19129,IA,Mills County,2,1276,Point(-93.496 42.0751),3046355
898,21049,KY,Clark County,2,5618,Point(-85.3021 37.5347),4425092
899,51173,VA,Smyth County,6,5485,Point(-78.8537 37.5215),8382993
900,13161,GA,Jeff Davis County,7,3508,Point(-83.437611111 32.662027777),10214860
901,20195,KS,Trego County,9,309,Point(-98.3804 38.4937),2911641
902,30003,MT,Big Horn County,6,3368,Point(-109.6333 47.0527),1032949
903,5103,AR,Ouachita County,7,5849,Point(-92.4426 34.8938),2978204
904,56017,WY,Hot Springs County,7,624,Point(-107.5512 42.9957),586107
905,39083,OH,Knox County,4,7294,Point(-82.7937 40.2862),11613423
906,51171,VA,Shenandoah County,6,4592,Point(-78.8537 37.5215),8382993
907,17177,IL,Stephenson County,4,6916,Point(-89.1965 40.0417),12859995
908,36077,NY,Otsego County,6,8124,Point(-75.5268 42.9538),19795791
909,23015,ME,Lincoln County,8,3818,Point(-69.2428 45.3695),1328361
910,6115,CA,Yuba County,3,12288,Point(-119.4696 37.1841),39144818
911,46125,SD,Turner County,3,752,,1394928
912,48001,TX,Anderson County,5,9044,Point(-99.3312 31.4757),27469114
913,8009,CO,Baca County,9,702,Point(-105.5478 38.9972),5456574
914,4017,AZ,Navajo County,4,30379,Point(-111.6602 34.2744),6828065
915,12001,FL,Alachua County,3,55990,Point(-82.4497 28.6305),20271272
916,21039,KY,Carlisle County,9,693,Point(-85.3021 37.5347),4425092
917,22089,LA,St. Charles Parish,1,6812,,3976322
918,20141,KS,Osborne County,9,501,Point(-98.3804 38.4937),2911641
919,53035,WA,Kitsap County,3,25729,Point(-120.4472 47.3826),7170351
920,8043,CO,Fremont County,4,6861,Point(-105.5478 38.9972),5456574
921,21175,KY,Morgan County,7,3109,Point(-85.3021 37.5347),4425092
922,36001,NY,Albany County,2,35585,Point(-75.5268 42.9538),19795791
923,6029,CA,Kern County,2,190993,Point(-119.4696 37.1841),39144818
924,37165,NC,Scotland County,6,9033,Point(-79.5 35.5),10042802
925,22021,LA,Caldwell Parish,8,2144,,3976322
926,37077,NC,Granville County,6,8403,Point(-79.5 35.5),10042802
927,5147,AR,Woodruff County,9,1712,Point(-92.4426 34.8938),2978204
928,19103,IA,Johnson County,3,23460,Point(-93.496 42.0751),3046355
929,19119,IA,Lyon County,8,840,Point(-93.496 42.0751),3046355
930,47013,TN,Campbell County,6,9398,Point(-86.3505 35.858),6600299
931,29189,MO,St. Louis County,1,90126,Point(-92.458 38.3566),6083672
932,21029,KY,Bullitt County,1,8144,Point(-85.3021 37.5347),4425092
933,12053,FL,Hernando County,1,27794,Point(-82.4497 28.6305),20271272
934,23007,ME,Franklin County,6,4111,Point(-69.2428 45.3695),1328361
935,32007,NV,Elko County,5,5329,Point(-116.6312 39.3289),2890845
936,18115,IN,Ohio County,1,590,Point(-86.2816 39.8942),6619680
937,24001,MD,Allegany County,3,11090,Point(-76.7909 39.055),6006401
938,17147,IL,Piatt County,3,1115,Point(-89.1965 40.0417),12859995
939,13199,GA,Meriwether County,1,4417,Point(-83.437611111 32.662027777),10214860
940,19041,IA,Clay County,7,1457,Point(-93.496 42.0751),3046355
941,42007,PA,Beaver County,1,15998,Point(-77.7996 40.8781),12802503
942,40129,OK,Roger Mills County,9,469,Point(-97.4943 35.5889),3911338
943,36121,NY,Wyoming County,6,3701,Point(-75.5268 42.9538),19795791
944,48065,TX,Carson County,3,519,Point(-99.3312 31.4757),27469114
945,16009,ID,Benewah County,6,1624,Point(-114.613 44.3509),1654930
946,29123,MO,Madison County,7,2193,Point(-92.458 38.3566),6083672
947,19001,IA,Adair County,8,740,Point(-93.496 42.0751),3046355
948,51043,VA,Clarke County,1,1115,Point(-78.8537 37.5215),8382993
949,39055,OH,Geauga County,1,5451,Point(-82.7937 40.2862),11613423
950,18103,IN,Miami County,6,5100,Point(-86.2816 39.8942),6619680
951,48021,TX,Bastrop County,1,10632,Point(-99.3312 31.4757),27469114
952,48305,TX,Lynn County,6,1010,Point(-99.3312 31.4757),27469114
953,51117,VA,Mecklenburg County,7,4759,Point(-78.8537 37.5215),8382993
954,40011,OK,Blaine County,6,1682,Point(-97.4943 35.5889),3911338
955,55061,WI,Kewaunee County,2,1526,Point(-89.9941 44.6243),5771337
956,20193,KS,Thomas County,7,787,Point(-98.3804 38.4937),2911641
957,41043,OR,Linn County,4,15975,Point(-120.5583 43.9336),4028977
958,29021,MO,Buchanan County,3,14999,Point(-92.458 38.3566),6083672
959,8015,CO,Chaffee County,7,2009,Point(-105.5478 38.9972),5456574
960,19177,IA,Van Buren County,9,1047,Point(-93.496 42.0751),3046355
961,53075,WA,Whitman County,4,11027,Point(-120.4472 47.3826),7170351
962,26053,MI,Gogebic County,7,2809,Point(-85.4102 44.3467),9922576
963,51069,VA,Frederick County,3,5677,Point(-78.8537 37.5215),8382993
964,17075,IL,Iroquois County,6,3688,Point(-89.1965 40.0417),12859995
965,12067,FL,Lafayette County,8,1609,Point(-82.4497 28.6305),20271272
966,8077,CO,Mesa County,3,21922,Point(-105.5478 38.9972),5456574
967,45071,SC,Newberry County,6,6967,Point(-80.8964 33.9169),4896146
968,56013,WY,Fremont County,7,6616,Point(-107.5512 42.9957),586107
969,17133,IL,Monroe County,1,1599,Point(-89.1965 40.0417),12859995
970,29133,MO,Mississippi County,7,3384,Point(-92.458 38.3566),6083672
971,46011,SD,Brookings County,7,4307,,1394928
972,20051,KS,Ellis County,5,3453,Point(-98.3804 38.4937),2911641
973,48463,TX,Uvalde County,7,6761,Point(-99.3312 31.4757),27469114
974,48383,TX,Reagan County,6,423,Point(-99.3312 31.4757),27469114
975,26029,MI,Charlevoix County,7,2981,Point(-85.4102 44.3467),9922576
976,20059,KS,Franklin County,1,2987,Point(-98.3804 38.4937),2911641
977,37021,NC,Buncombe County,2,33631,Point(-79.5 35.5),10042802
978,17087,IL,Johnson County,7,1594,Point(-89.1965 40.0417),12859995
979,21221,KY,Trigg County,3,2046,Point(-85.3021 37.5347),4425092
980,13129,GA,Gordon County,6,9020,Point(-83.437611111 32.662027777),10214860
981,17057,IL,Fulton County,6,4807,Point(-89.1965 40.0417),12859995
982,30081,MT,Ravalli County,6,5773,Point(-109.6333 47.0527),1032949
983,24009,MD,Calvert County,1,5282,Point(-76.7909 39.055),6006401
984,28133,MS,Sunflower County,5,7874,Point(-89.6678 32.7364),2992333
985,26057,MI,Gratiot County,6,6742,Point(-85.4102 44.3467),9922576
986,31179,NE,Wayne County,6,997,Point(-99.7951 41.5378),1896190
987,19123,IA,Mahaska County,7,2640,Point(-93.496 42.0751),3046355
988,48311,TX,McMullen County,8,95,Point(-99.3312 31.4757),27469114
989,16005,ID,Bannock County,3,13780,Point(-114.613 44.3509),1654930
990,37163,NC,Sampson County,6,12114,Point(-79.5 35.5),10042802
991,21047,KY,Christian County,3,13938,Point(-85.3021 37.5347),4425092
992,21133,KY,Letcher County,9,7113,Point(-85.3021 37.5347),4425092
993,8047,CO,Gilpin County,1,440,Point(-105.5478 38.9972),5456574
994,38017,ND,Cass County,3,18151,Point(-100.4659 47.4501),756927
995,47085,TN,Humphreys County,6,3318,Point(-86.3505 35.858),6600299
996,38051,ND,McIntosh County,9,309,Point(-100.4659 47.4501),756927
997,12079,FL,Madison County,6,5205,Point(-82.4497 28.6305),20271272
998,19039,IA,Clarke County,6,1061,Point(-93.496 42.0751),3046355
999,6055,CA,Napa County,3,10958,Point(-119.4696 37.1841),39144818
1000,17049,IL,Effingham County,7,3709,Point(-89.1965 40.0417),12859995
1001,26007,MI,Alpena County,7,4365,Point(-85.4102 44.3467),9922576
1002,47171,TN,Unicoi County,3,3006,Point(-86.3505 35.858),6600299
1003,31035,NE,Clay County,9,681,Point(-99.7951 41.5378),1896190
1004,29097,MO,Jasper County,3,20301,Point(-92.458 38.3566),6083672
1005,26079,MI,Kalkaska County,7,2612,Point(-85.4102 44.3467),9922576
1006,37113,NC,Macon County,7,5585,Point(-79.5 35.5),10042802
1007,40109,OK,Oklahoma County,1,124834,Point(-97.4943 35.5889),3911338
1008,1115,AL,St. Clair County,1,10352,Point(-86.8287 32.7794),4858979
1009,26091,MI,Lenawee County,4,11641,Point(-85.4102 44.3467),9922576
1010,19057,IA,Des Moines County,5,6300,Point(-93.496 42.0751),3046355
1011,42123,PA,Warren County,6,6007,Point(-77.7996 40.8781),12802503
1012,16033,ID,Clark County,8,141,Point(-114.613 44.3509),1654930
1013,49047,UT,Uintah County,7,4094,Point(-111.6703 39.3055),2763885
1014,6097,CA,Sonoma County,2,46604,Point(-119.4696 37.1841),39144818
1015,48221,TX,Hood County,4,5754,Point(-99.3312 31.4757),27469114
1016,37047,NC,Columbus County,6,13110,Point(-79.5 35.5),10042802
1017,31007,NE,Banner County,9,100,Point(-99.7951 41.5378),1896190
1018,13317,GA,Wilkes County,6,2213,Point(-83.437611111 32.662027777),10214860
1019,27135,MN,Roseau County,7,1204,Point(-94.3053 46.2807),5489594
1020,24013,MD,Carroll County,1,8990,Point(-76.7909 39.055),6006401
1021,42101,PA,Philadelphia County,1,384148,Point(-77.7996 40.8781),12802503
1022,51670,VA,Hopewell city,1,4630,Point(-78.8537 37.5215),8382993
1023,22085,LA,Sabine Parish,6,4352,,3976322
1024,16031,ID,Cassia County,7,3282,Point(-114.613 44.3509),1654930
1025,18033,IN,De Kalb County,4,3780,Point(-86.2816 39.8942),6619680
1026,35043,NM,Sandoval County,2,20441,Point(-106.1126 34.4071),2085109
1027,13087,GA,Decatur County,6,7716,Point(-83.437611111 32.662027777),10214860
1028,17117,IL,Macoupin County,1,5962,Point(-89.1965 40.0417),12859995
1029,36095,NY,Schoharie County,2,3802,Point(-75.5268 42.9538),19795791
1030,27017,MN,Carlton County,2,3469,Point(-94.3053 46.2807),5489594
1031,48151,TX,Fisher County,8,597,Point(-99.3312 31.4757),27469114
1032,29029,MO,Camden County,7,7385,Point(-92.458 38.3566),6083672
1033,21037,KY,Campbell County,1,11120,Point(-85.3021 37.5347),4425092
1034,17063,IL,Grundy County,1,3936,Point(-89.1965 40.0417),12859995
1035,27045,MN,Fillmore County,8,2535,Point(-94.3053 46.2807),5489594
1036,16017,ID,Bonner County,6,6476,Point(-114.613 44.3509),1654930
1037,49037,UT,San Juan County,7,5138,Point(-111.6703 39.3055),2763885
1038,34031,NJ,Passaic County,1,85671,Point(-74.6728 40.1907),8958013
1039,21023,KY,Bracken County,1,1386,Point(-85.3021 37.5347),4425092
1040,27099,MN,Mower County,4,5104,Point(-94.3053 46.2807),5489594
1041,30101,MT,Toole County,7,712,Point(-109.6333 47.0527),1032949
1042,51119,VA,Middlesex County,8,1469,Point(-78.8537 37.5215),8382993
1043,56015,WY,Goshen County,7,1776,Point(-107.5512 42.9957),586107
1044,51121,VA,Montgomery County,3,18030,Point(-78.8537 37.5215),8382993
1045,13119,GA,Franklin County,8,4614,Point(-83.437611111 32.662027777),10214860
1046,13257,GA,Stephens County,7,5212,Point(-83.437611111 32.662027777),10214860
1047,17001,IL,Adams County,5,8223,Point(-89.1965 40.0417),12859995
1048,27019,MN,Carver County,1,4225,Point(-94.3053 46.2807),5489594
1049,17121,IL,Marion County,4,5891,Point(-89.1965 40.0417),12859995
1050,30091,MT,Sheridan County,9,379,Point(-109.6333 47.0527),1032949
1051,40077,OK,Latimer County,7,2062,Point(-97.4943 35.5889),3911338
1052,27003,MN,Anoka County,1,23240,Point(-94.3053 46.2807),5489594
1053,51103,VA,Lancaster County,9,1514,Point(-78.8537 37.5215),8382993
1054,36019,NY,Clinton County,5,10701,Point(-75.5268 42.9538),19795791
1055,17083,IL,Jersey County,1,2369,Point(-89.1965 40.0417),12859995
1056,28001,MS,Adams County,5,9045,Point(-89.6678 32.7364),2992333
1057,13205,GA,Mitchell County,6,6032,Point(-83.437611111 32.662027777),10214860
1058,48107,TX,Crosby County,3,1425,Point(-99.3312 31.4757),27469114
1059,48333,TX,Mills County,9,750,Point(-99.3312 31.4757),27469114
1060,25001,MA,Barnstable County,3,15972,Point(-71.8083 42.2596),6794422
1061,42015,PA,Bradford County,6,6904,Point(-77.7996 40.8781),12802503
1062,38081,ND,Sargent County,9,296,Point(-100.4659 47.4501),756927
1063,31133,NE,Pawnee County,9,400,Point(-99.7951 41.5378),1896190
1064,19147,IA,Palo Alto County,7,899,Point(-93.496 42.0751),3046355
1065,13301,GA,Warren County,8,1511,Point(-83.437611111 32.662027777),10214860
1066,48199,TX,Hardin County,2,6001,Point(-99.3312 31.4757),27469114
1067,1099,AL,Monroe County,7,5472,Point(-86.8287 32.7794),4858979
1068,19151,IA,Pocahontas County,9,792,Point(-93.496 42.0751),3046355
1069,18057,IN,Hamilton County,1,14927,Point(-86.2816 39.8942),6619680
1070,48397,TX,Rockwall County,1,4845,Point(-99.3312 31.4757),27469114
1071,28055,MS,Issaquena County,9,409,Point(-89.6678 32.7364),2992333
1072,46005,SD,Beadle County,7,2484,,1394928
1073,28093,MS,Marshall County,1,7772,Point(-89.6678 32.7364),2992333
1074,41051,OR,Multnomah County,1,111262,Point(-120.5583 43.9336),4028977
1075,51139,VA,Page County,6,3833,Point(-78.8537 37.5215),8382993
1076,28073,MS,Lamar County,3,7614,Point(-89.6678 32.7364),2992333
1077,45061,SC,Lee County,6,4443,Point(-80.8964 33.9169),4896146
1078,46003,SD,Aurora County,9,275,,1394928
1079,27137,MN,St. Louis County,2,28177,Point(-94.3053 46.2807),5489594
1080,31059,NE,Fillmore County,9,540,Point(-99.7951 41.5378),1896190
1081,34019,NJ,Hunterdon County,1,5431,Point(-74.6728 40.1907),8958013
1082,42013,PA,Blair County,3,16430,Point(-77.7996 40.8781),12802503
1083,48473,TX,Waller County,1,7591,Point(-99.3312 31.4757),27469114
1084,30099,MT,Teton County,8,824,Point(-109.6333 47.0527),1032949
1085,8115,CO,Sedgwick County,9,352,Point(-105.5478 38.9972),5456574
1086,53029,WA,Island County,4,7577,Point(-120.4472 47.3826),7170351
1087,31093,NE,Howard County,9,663,Point(-99.7951 41.5378),1896190
1088,20153,KS,Rawlins County,9,310,Point(-98.3804 38.4937),2911641
1089,27011,MN,Big Stone County,9,584,Point(-94.3053 46.2807),5489594
1090,30041,MT,Hill County,7,3140,Point(-109.6333 47.0527),1032949
1091,24043,MD,Washington County,3,18771,Point(-76.7909 39.055),6006401
1092,12071,FL,Lee County,2,91333,Point(-82.4497 28.6305),20271272
1093,27147,MN,Steele County,5,3315,Point(-94.3053 46.2807),5489594
1094,17109,IL,McDonough County,5,5470,Point(-89.1965 40.0417),12859995
1095,47145,TN,Roane County,4,7416,Point(-86.3505 35.858),6600299
1096,40083,OK,Logan County,1,6510,Point(-97.4943 35.5889),3911338
1097,17161,IL,Rock Island County,2,21769,Point(-89.1965 40.0417),12859995
1098,27139,MN,Scott County,1,7784,Point(-94.3053 46.2807),5489594
1099,47125,TN,Montgomery County,3,24640,Point(-86.3505 35.858),6600299
1100,51057,VA,Essex County,8,1439,Point(-78.8537 37.5215),8382993
1101,54085,WV,Ritchie County,8,1764,Point(-80.6227 38.6409),1844128
1102,47129,TN,Morgan County,6,4368,Point(-86.3505 35.858),6600299
1103,51143,VA,Pittsylvania County,3,8211,Point(-78.8537 37.5215),8382993
1104,51045,VA,Craig County,2,648,Point(-78.8537 37.5215),8382993
1105,19007,IA,Appanoose County,7,2304,Point(-93.496 42.0751),3046355
1106,51013,VA,Arlington County,1,17151,Point(-78.8537 37.5215),8382993
1107,5069,AR,Jefferson County,3,15094,Point(-92.4426 34.8938),2978204
1108,19011,IA,Benton County,3,1975,Point(-93.496 42.0751),3046355
1109,45049,SC,Hampton County,6,4104,Point(-80.8964 33.9169),4896146
1110,40013,OK,Bryan County,6,7519,Point(-97.4943 35.5889),3911338
1111,18047,IN,Franklin County,1,2414,Point(-86.2816 39.8942),6619680
1112,41003,OR,Benton County,3,15546,Point(-120.5583 43.9336),4028977
1113,51590,VA,Danville city,3,9003,Point(-78.8537 37.5215),8382993
1114,31073,NE,Gosper County,9,189,Point(-99.7951 41.5378),1896190
1115,55025,WI,Dane County,2,56594,Point(-89.9941 44.6243),5771337
1116,17059,IL,Gallatin County,8,1061,Point(-89.1965 40.0417),12859995
1117,13051,GA,Chatham County,2,45636,Point(-83.437611111 32.662027777),10214860
1118,48067,TX,Cass County,6,5206,Point(-99.3312 31.4757),27469114
1119,51036,VA,Charles City County,1,877,Point(-78.8537 37.5215),8382993
1120,24003,MD,Anne Arundel County,1,38816,Point(-76.7909 39.055),6006401
1121,31165,NE,Sioux County,9,192,Point(-99.7951 41.5378),1896190
1122,34003,NJ,Bergen County,1,63789,Point(-74.6728 40.1907),8958013
1123,13235,GA,Pulaski County,6,2505,Point(-83.437611111 32.662027777),10214860
1124,12057,FL,Hillsborough County,1,203350,Point(-82.4497 28.6305),20271272
1125,46047,SD,Fall River County,7,862,,1394928
1126,46045,SD,Edmunds County,9,377,,1394928
1127,18183,IN,Whitley County,2,2954,Point(-86.2816 39.8942),6619680
1128,30057,MT,Madison County,9,877,Point(-109.6333 47.0527),1032949
1129,9001,CT,Fairfield County,2,79966,Point(-72.7273 41.6219),3590886
1130,36031,NY,Essex County,6,4532,Point(-75.5268 42.9538),19795791
1131,17151,IL,Pope County,9,720,Point(-89.1965 40.0417),12859995
1132,35027,NM,Lincoln County,7,3500,Point(-106.1126 34.4071),2085109
1133,30045,MT,Judith Basin County,8,259,Point(-109.6333 47.0527),1032949
1134,29221,MO,Washington County,1,5186,Point(-92.458 38.3566),6083672
1135,30053,MT,Lincoln County,7,3550,Point(-109.6333 47.0527),1032949
1136,2185,AK,North Slope Borough,7,1132,Point(-152.2782 64.0685),738432
1137,45021,SC,Cherokee County,4,10318,Point(-80.8964 33.9169),4896146
1138,20119,KS,Meade County,9,444,Point(-98.3804 38.4937),2911641
1139,20159,KS,Rice County,7,1167,Point(-98.3804 38.4937),2911641
1140,19117,IA,Lucas County,6,1268,Point(-93.496 42.0751),3046355
1141,29001,MO,Adair County,7,5343,Point(-92.458 38.3566),6083672
1142,48281,TX,Lampasas County,2,2793,Point(-99.3312 31.4757),27469114
1143,48503,TX,Young County,6,2599,Point(-99.3312 31.4757),27469114
1144,28025,MS,Clay County,7,4657,Point(-89.6678 32.7364),2992333
1145,8101,CO,Pueblo County,3,32053,Point(-105.5478 38.9972),5456574
1146,37199,NC,Yancey County,8,3350,Point(-79.5 35.5),10042802
1147,26021,MI,Berrien County,3,25215,Point(-85.4102 44.3467),9922576
1148,17031,IL,Cook County,1,770091,Point(-89.1965 40.0417),12859995
1149,55069,WI,Lincoln County,6,2712,Point(-89.9941 44.6243),5771337
1150,20069,KS,Gray County,9,487,Point(-98.3804 38.4937),2911641
1151,37139,NC,Pasquotank County,7,6395,Point(-79.5 35.5),10042802
1152,35041,NM,Roosevelt County,7,4006,Point(-106.1126 34.4071),2085109
1153,21225,KY,Union County,6,2723,Point(-85.3021 37.5347),4425092
1154,21203,KY,Rockcastle County,7,3991,Point(-85.3021 37.5347),4425092
1155,46137,SD,Ziebach County,9,1223,,1394928
1156,51820,VA,Waynesboro city,4,3167,Point(-78.8537 37.5215),8382993
1157,19077,IA,Guthrie County,2,1036,Point(-93.496 42.0751),3046355
1158,48135,TX,Ector County,3,21548,Point(-99.3312 31.4757),27469114
1159,21027,KY,Breckinridge County,8,3386,Point(-85.3021 37.5347),4425092
1160,42049,PA,Erie County,2,41331,Point(-77.7996 40.8781),12802503
1161,1037,AL,Coosa County,8,1801,Point(-86.8287 32.7794),4858979
1162,45087,SC,Union County,6,5756,Point(-80.8964 33.9169),4896146
1163,22037,LA,East Feliciana Parish,2,3459,,3976322
1164,27073,MN,Lac qui Parle County,9,635,Point(-94.3053 46.2807),5489594
1165,35053,NM,Socorro County,6,4181,Point(-106.1126 34.4071),2085109
1166,48071,TX,Chambers County,1,3646,Point(-99.3312 31.4757),27469114
1167,37087,NC,Haywood County,2,9545,Point(-79.5 35.5),10042802
1168,55051,WI,Iron County,9,809,Point(-89.9941 44.6243),5771337
1169,36021,NY,Columbia County,6,7519,Point(-75.5268 42.9538),19795791
1170,54109,WV,Wyoming County,7,5155,Point(-80.6227 38.6409),1844128
1171,39161,OH,Van Wert County,6,2489,Point(-82.7937 40.2862),11613423
1172,29065,MO,Dent County,7,2995,Point(-92.458 38.3566),6083672
1173,21045,KY,Casey County,9,4260,Point(-85.3021 37.5347),4425092
1174,12091,FL,Okaloosa County,3,21032,Point(-82.4497 28.6305),20271272
1175,48321,TX,Matagorda County,4,6392,Point(-99.3312 31.4757),27469114
1176,51760,VA,Richmond city,1,55062,Point(-78.8537 37.5215),8382993
1177,40131,OK,Rogers County,2,8185,Point(-97.4943 35.5889),3911338
1178,26001,MI,Alcona County,9,1657,Point(-85.4102 44.3467),9922576
1179,28039,MS,George County,3,3714,Point(-89.6678 32.7364),2992333
1180,31185,NE,York County,7,1357,Point(-99.7951 41.5378),1896190
1181,12061,FL,Indian River County,3,18518,Point(-82.4497 28.6305),20271272
1182,20209,KS,Wyandotte County,1,31432,Point(-98.3804 38.4937),2911641
1183,28015,MS,Carroll County,9,1719,Point(-89.6678 32.7364),2992333
1184,37029,NC,Camden County,8,902,Point(-79.5 35.5),10042802
1185,28147,MS,Walthall County,9,3476,Point(-89.6678 32.7364),2992333
1186,26077,MI,Kalamazoo County,2,42141,Point(-85.4102 44.3467),9922576
1187,5015,AR,Carroll County,6,4684,Point(-92.4426 34.8938),2978204
1188,39139,OH,Richland County,3,17904,Point(-82.7937 40.2862),11613423
1189,38049,ND,McHenry County,9,641,Point(-100.4659 47.4501),756927
1190,32023,NV,Nye County,6,6724,Point(-116.6312 39.3289),2890845
1191,2188,AK,Northwest Arctic Borough,7,2114,Point(-152.2782 64.0685),738432
1192,40079,OK,Le Flore County,2,10398,Point(-97.4943 35.5889),3911338
1193,17159,IL,Richland County,7,2235,Point(-89.1965 40.0417),12859995
1194,21055,KY,Crittenden County,6,1660,Point(-85.3021 37.5347),4425092
1195,5045,AR,Faulkner County,2,18782,Point(-92.4426 34.8938),2978204
1196,50027,VT,Windsor County,7,5479,Point(-72.6658 44.0687),626042
1197,45051,SC,Horry County,3,47767,Point(-80.8964 33.9169),4896146
1198,20019,KS,Chautauqua County,9,574,Point(-98.3804 38.4937),2911641
1199,38059,ND,Morton County,3,2679,Point(-100.4659 47.4501),756927
1200,9009,CT,New Haven County,2,94687,Point(-72.7273 41.6219),3590886
