d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,capital
572,39061,OH,Hamilton County,1,126002,Columbus
573,42023,PA,Cameron County,7,655,Harrisburg
574,13183,GA,Long County,3,3365,Atlanta
575,51775,VA,Salem city,2,2160,Richmond
576,41029,OR,Jackson County,3,31189,Salem
577,18019,IN,Clark County,1,11983,Indianapolis
578,36017,NY,Chenango County,6,7248,Albany
579,36093,NY,Schenectady County,2,17158,Albany
580,33011,NH,Hillsborough County,2,31972,Concord
581,21171,KY,Monroe County,9,2409,Frankfort
582,18077,IN,Jefferson County,6,4061,Indianapolis
583,21169,KY,Metcalfe County,9,2244,Frankfort
584,26135,MI,Oscoda County,9,1522,Lansing
585,12093,FL,Okeechobee County,4,7547,Tallahassee
586,5059,AR,Hot Spring County,6,4541,Little Rock
587,27107,MN,Norman County,8,777,Saint Paul
588,42071,PA,Lancaster County,2,56082,Harrisburg
589,30071,MT,Phillips County,9,631,Helena
590,46025,SD,Clark County,9,398,
591,12103,FL,Pinellas County,1,125923,Tallahassee
592,48365,TX,Panola County,6,3598,Austin
593,1059,AL,Franklin County,6,6272,Montgomery
594,48205,TX,Hartley County,9,452,Austin
595,1045,AL,Dale County,4,9936,Montgomery
596,22109,LA,Terrebonne Parish,3,23521,
597,32009,NV,Esmeralda County,9,117,Carson City
598,35011,NM,DeBaca County,9,378,Santa Fe
599,13079,GA,Crawford County,3,2355,Atlanta
600,42033,PA,Clearfield County,4,10543,Harrisburg
601,13159,GA,Jasper County,1,2282,Atlanta
602,1087,AL,Macon County,6,5183,Montgomery
603,2240,AK,Southeast Fairbanks Census Area,8,804,Juneau
604,31159,NE,Seward County,2,1252,Lincoln
605,17043,IL,DuPage County,1,64330,Springfield
606,28037,MS,Franklin County,9,1554,Jackson
607,48359,TX,Oldham County,8,261,Austin
608,8085,CO,Montrose County,7,6716,Denver
609,25011,MA,Franklin County,2,6926,Boston
610,46021,SD,Campbell County,9,131,
611,18149,IN,Starke County,6,3694,Indianapolis
612,53059,WA,Skamania County,1,1543,Olympia
613,20011,KS,Bourbon County,6,2465,Topeka
614,13307,GA,Webster County,8,539,Atlanta
615,48449,TX,Titus County,7,4749,Austin
616,54097,WV,Upshur County,7,4705,Charleston
617,19005,IA,Allamakee County,6,1786,Des Moines
618,47095,TN,Lake County,9,2151,Nashville
619,47163,TN,Sullivan County,3,25304,Nashville
620,41027,OR,Hood River County,6,2459,Salem
621,31155,NE,Saunders County,2,1524,Lincoln
622,38069,ND,Pierce County,7,522,Bismarck
623,21101,KY,Henderson County,2,7739,Frankfort
624,31111,NE,Lincoln County,5,3272,Lincoln
625,20175,KS,Seward County,7,3017,Topeka
626,26127,MI,Oceana County,8,4630,Lansing
627,42121,PA,Venango County,4,7507,Harrisburg
628,32011,NV,Eureka County,9,189,Carson City
629,54031,WV,Hardy County,8,2096,Charleston
630,21137,KY,Lincoln County,7,5499,Frankfort
631,6081,CA,San Mateo County,1,50438,Sacramento
632,15007,HI,Kauai County,5,5716,Honolulu
633,27057,MN,Hubbard County,7,2677,Saint Paul
634,42017,PA,Bucks County,1,40872,Harrisburg
635,18129,IN,Posey County,2,2192,Indianapolis
636,51810,VA,Virginia Beach city,1,36494,Richmond
637,39119,OH,Muskingum County,4,12435,Columbus
638,42103,PA,Pike County,1,5397,Harrisburg
639,48505,TX,Zapata County,6,4162,Austin
640,47039,TN,Decatur County,9,2164,Nashville
641,37193,NC,Wilkes County,6,11378,Raleigh
642,53067,WA,Thurston County,3,28354,Olympia
643,34041,NJ,Warren County,2,8708,Trenton
644,8065,CO,Lake County,7,1093,Denver
645,13283,GA,Treutlen County,7,1717,Atlanta
646,13285,GA,Troup County,4,13731,Atlanta
647,31055,NE,Douglas County,2,67359,Lincoln
648,27125,MN,Red Lake County,8,390,Saint Paul
649,45009,SC,Bamberg County,7,3885,Columbia
650,12073,FL,Leon County,2,52124,Tallahassee
651,21061,KY,Edmonson County,3,2668,Frankfort
652,48053,TX,Burnet County,6,5181,Austin
653,47009,TN,Blount County,2,14401,Nashville
654,17125,IL,Mason County,6,1996,Springfield
655,47105,TN,Loudon County,2,5414,Nashville
656,48393,TX,Roberts County,9,60,Austin
657,19073,IA,Greene County,6,998,Des Moines
658,37177,NC,Tyrrell County,9,966,Raleigh
659,21173,KY,Montgomery County,6,4881,Frankfort
660,48115,TX,Dawson County,7,2508,Austin
661,5125,AR,Saline County,2,10160,Little Rock
662,48213,TX,Henderson County,4,13151,Austin
663,21121,KY,Knox County,7,12097,Frankfort
664,19097,IA,Jackson County,6,2497,Des Moines
665,41033,OR,Josephine County,4,15239,Salem
666,35015,NM,Eddy County,5,8674,Santa Fe
667,55065,WI,Lafayette County,8,1937,Madison
668,29151,MO,Osage County,3,1139,Jefferson City
669,29111,MO,Lewis County,9,1590,Jefferson City
670,29213,MO,Taney County,6,9006,Jefferson City
671,45063,SC,Lexington County,2,33254,Columbia
672,6077,CA,San Joaquin County,2,105268,Sacramento
673,12105,FL,Polk County,2,106703,Tallahassee
674,47035,TN,Cumberland County,7,8841,Nashville
675,20127,KS,Morris County,9,646,Topeka
676,48075,TX,Childress County,7,1203,Austin
677,42005,PA,Armstrong County,1,9100,Harrisburg
678,32033,NV,White Pine County,7,1220,Carson City
679,12075,FL,Levy County,8,8467,Tallahassee
680,37175,NC,Transylvania County,6,5415,Raleigh
681,51790,VA,Staunton city,4,2990,Richmond
682,21007,KY,Ballard County,9,1277,Frankfort
683,39017,OH,Butler County,1,45165,Columbus
684,54023,WV,Grant County,6,1737,Charleston
685,47119,TN,Maury County,4,10204,Nashville
686,13237,GA,Putnam County,6,3914,Atlanta
687,55117,WI,Sheboygan County,3,7934,Madison
688,6059,CA,Orange County,1,348173,Sacramento
689,32029,NV,Storey County,2,316,Carson City
690,40085,OK,Love County,9,1376,Oklahoma City
691,17123,IL,Marshall County,2,1144,Springfield
692,6093,CA,Siskiyou County,7,8109,Sacramento
693,12101,FL,Pasco County,1,66980,Tallahassee
694,33005,NH,Cheshire County,4,6078,Concord
695,8073,CO,Lincoln County,8,834,Denver
696,39105,OH,Meigs County,6,4815,Columbus
697,48307,TX,McCulloch County,7,1479,Austin
698,28083,MS,Leflore County,5,10146,Jackson
699,48239,TX,Jackson County,6,1966,Austin
700,19197,IA,Wright County,7,1578,Des Moines
701,13053,GA,Chattahoochee County,2,1639,Atlanta
702,46099,SD,Minnehaha County,3,18046,
703,21095,KY,Harlan County,7,9889,Frankfort
704,48113,TX,Dallas County,1,413956,Austin
705,40123,OK,Pontotoc County,7,5983,Oklahoma City
706,51570,VA,Colonial Heights city,1,1819,Richmond
707,48455,TX,Trinity County,8,2864,Austin
708,18055,IN,Greene County,3,5120,Indianapolis
709,1015,AL,Calhoun County,3,19057,Montgomery
710,19049,IA,Dallas County,2,4118,Des Moines
711,27065,MN,Kanabec County,6,2064,Saint Paul
712,20097,KS,Kiowa County,9,302,Topeka
713,13069,GA,Coffee County,7,9153,Atlanta
714,53057,WA,Skagit County,3,13787,Olympia
715,51520,VA,Bristol city,3,3953,Richmond
716,29057,MO,Dade County,8,1312,Jefferson City
717,56045,WY,Weston County,7,734,Cheyenne
718,6037,CA,Los Angeles County,1,1629450,Sacramento
719,38083,ND,Sheridan County,9,222,Bismarck
720,8087,CO,Morgan County,6,3221,Denver
721,6101,CA,Sutter County,3,16390,Sacramento
722,30069,MT,Petroleum County,9,74,Helena
723,21177,KY,Muhlenberg County,6,5732,Frankfort
724,4011,AZ,Greenlee County,7,1144,Phoenix
725,53071,WA,Walla Walla County,4,7906,Olympia
726,48345,TX,Motley County,8,210,Austin
727,55093,WI,Pierce County,1,3153,Madison
728,26149,MI,St. Joseph County,4,8948,Lansing
729,24019,MD,Dorchester County,6,5531,Annapolis
730,21081,KY,Grant County,1,3787,Frankfort
731,54015,WV,Clay County,2,2541,Charleston
732,48381,TX,Randall County,3,11784,Austin
733,29153,MO,Ozark County,9,2315,Jefferson City
734,54083,WV,Randolph County,7,4974,Charleston
735,4025,AZ,Yavapai County,3,29418,Phoenix
736,45055,SC,Kershaw County,2,9941,Columbia
737,41017,OR,Deschutes County,3,19113,Salem
738,21237,KY,Wolfe County,9,2252,Frankfort
739,48087,TX,Collingsworth County,9,584,Austin
740,21099,KY,Hart County,8,3998,Frankfort
741,19037,IA,Chickasaw County,6,1303,Des Moines
742,28145,MS,Union County,7,3655,Jackson
743,48285,TX,Lavaca County,6,2418,Austin
744,6091,CA,Sierra County,8,419,Sacramento
745,24021,MD,Frederick County,1,16793,Annapolis
746,29043,MO,Christian County,2,8921,Jefferson City
747,46105,SD,Perkins County,9,374,
748,31147,NE,Richardson County,7,973,Lincoln
749,32017,NV,Lincoln County,8,675,Carson City
750,21077,KY,Gallatin County,1,1238,Frankfort
751,29053,MO,Cooper County,6,2362,Jefferson City
752,37159,NC,Rowan County,4,22283,Raleigh
753,22041,LA,Franklin Parish,7,5728,
754,24029,MD,Kent County,6,2565,Annapolis
755,30037,MT,Golden Valley County,8,147,Helena
756,28053,MS,Humphreys County,7,3268,Jackson
757,54011,WV,Cabell County,2,20129,Charleston
758,33017,NH,Strafford County,1,9094,Concord
759,13167,GA,Johnson County,9,2277,Atlanta
760,51051,VA,Dickenson County,9,3684,Richmond
761,28105,MS,Oktibbeha County,5,12741,Jackson
762,20015,KS,Butler County,2,5745,Topeka
763,42037,PA,Columbia County,4,8349,Harrisburg
764,48339,TX,Montgomery County,1,59836,Austin
765,51167,VA,Russell County,6,4584,Richmond
766,38101,ND,Ward County,5,5903,Bismarck
767,49043,UT,Summit County,2,2412,Salt Lake City
768,6063,CA,Plumas County,7,2312,Sacramento
769,1025,AL,Clarke County,7,6977,Montgomery
770,54099,WV,Wayne County,2,8651,Charleston
771,13083,GA,Dade County,2,2377,Atlanta
772,48325,TX,Medina County,1,6746,Austin
773,46117,SD,Stanley County,9,237,
774,37003,NC,Alexander County,2,5401,Raleigh
775,28107,MS,Panola County,6,7699,Jackson
776,18101,IN,Martin County,6,1241,Indianapolis
777,48493,TX,Wilson County,1,4958,Austin
778,51075,VA,Goochland County,1,1393,Richmond
779,38023,ND,Divide County,9,231,Bismarck
780,19023,IA,Butler County,8,1416,Des Moines
781,37085,NC,Harnett County,4,20400,Raleigh
782,34007,NJ,Camden County,1,60385,Trenton
783,13259,GA,Stewart County,8,1634,Atlanta
784,17111,IL,McHenry County,1,22253,Springfield
785,17017,IL,Cass County,6,1708,Springfield
786,55121,WI,Trempealeau County,8,2391,Madison
787,48109,TX,Culberson County,9,516,Austin
788,48263,TX,Kent County,9,83,Austin
789,38019,ND,Cavalier County,9,364,Bismarck
790,55013,WI,Burnett County,8,2068,Madison
791,13277,GA,Tift County,4,8669,Atlanta
792,19169,IA,Story County,3,16340,Des Moines
793,31067,NE,Gage County,6,2430,Lincoln
794,16057,ID,Latah County,4,6326,Boise
795,55041,WI,Forest County,9,1409,Madison
796,51079,VA,Greene County,3,1618,Richmond
797,25021,MA,Norfolk County,1,41497,Boston
798,39121,OH,Noble County,6,1744,Columbus
799,19093,IA,Ida County,8,696,Des Moines
800,36117,NY,Wayne County,1,9296,Albany
801,29205,MO,Shelby County,9,977,Jefferson City
802,5035,AR,Crittenden County,1,12314,Little Rock
803,40113,OK,Osage County,2,7139,Oklahoma City
804,6079,CA,San Luis Obispo County,3,29345,Sacramento
805,54107,WV,Wood County,3,14510,Charleston
806,12087,FL,Monroe County,4,8801,Tallahassee
807,21209,KY,Scott County,2,5400,Frankfort
808,48495,TX,Winkler County,6,1164,Austin
809,44007,RI,Providence County,1,96214,Providence
810,37005,NC,Alleghany County,9,2203,Raleigh
811,48183,TX,Gregg County,3,20929,Austin
812,8039,CO,Elbert County,1,1516,Denver
813,51179,VA,Stafford County,1,7935,Richmond
814,46095,SD,Mellette County,9,676,
815,40073,OK,Kingfisher County,6,1605,Oklahoma City
816,48197,TX,Hardeman County,7,692,Austin
817,21111,KY,Jefferson County,1,111467,Frankfort
818,54043,WV,Lincoln County,2,5101,Charleston
819,48005,TX,Angelina County,5,16085,Austin
820,26019,MI,Benzie County,9,1876,Lansing
821,40103,OK,Noble County,6,1499,Oklahoma City
822,30065,MT,Musselshell County,8,790,Helena
823,51061,VA,Fauquier County,1,3978,Richmond
824,47029,TN,Cocke County,6,8448,Nashville
825,13151,GA,Henry County,1,21101,Atlanta
826,13163,GA,Jefferson County,6,3867,Atlanta
827,50017,VT,Orange County,9,2986,Montpelier
828,48253,TX,Jones County,3,3138,Austin
829,31019,NE,Buffalo County,5,5287,Lincoln
830,28023,MS,Clarke County,9,3296,Jackson
831,12133,FL,Washington County,6,5026,Tallahassee
832,38057,ND,Mercer County,6,561,Bismarck
833,38009,ND,Bottineau County,9,701,Bismarck
834,35045,NM,San Juan County,3,19749,Santa Fe
835,19111,IA,Lee County,5,4643,Des Moines
836,49027,UT,Millard County,7,1407,Salt Lake City
837,48255,TX,Karnes County,6,2677,Austin
838,45011,SC,Barnwell County,6,4789,Columbia
839,37129,NC,New Hanover County,2,37472,Raleigh
840,1119,AL,Sumter County,8,3933,Montgomery
841,37123,NC,Montgomery County,6,5655,Raleigh
842,51067,VA,Franklin County,2,7192,Richmond
843,27155,MN,Traverse County,9,414,Saint Paul
844,29181,MO,Ripley County,9,3776,Jefferson City
845,47099,TN,Lawrence County,6,7076,Nashville
846,46087,SD,McCook County,3,545,
847,21073,KY,Franklin County,4,6708,Frankfort
848,17137,IL,Morgan County,4,4962,Springfield
849,53011,WA,Clark County,1,41909,Olympia
850,19125,IA,Marion County,6,2725,Des Moines
851,15003,HI,Honolulu County,2,81341,Honolulu
852,26147,MI,St. Clair County,1,21781,Lansing
853,47143,TN,Rhea County,6,5739,Nashville
854,26155,MI,Shiawassee County,4,8106,Lansing
855,37145,NC,Person County,2,5962,Raleigh
856,20135,KS,Ness County,9,325,Topeka
857,20189,KS,Stevens County,7,551,Topeka
858,48035,TX,Bosque County,6,2797,Austin
859,40005,OK,Atoka County,7,2596,Oklahoma City
860,51740,VA,Portsmouth city,1,16775,Richmond
861,35021,NM,Harding County,9,95,Santa Fe
862,54079,WV,Putnam County,2,6090,Charleston
863,36105,NY,Sullivan County,4,12240,Albany
864,28061,MS,Jasper County,9,3748,Jackson
865,48033,TX,Borden County,9,67,Austin
866,36075,NY,Oswego County,2,19549,Albany
867,21141,KY,Logan County,6,4581,Frankfort
868,13109,GA,Evans County,6,2500,Atlanta
869,23005,ME,Cumberland County,2,28431,Augusta
870,6113,CA,Yolo County,1,39303,Sacramento
871,19193,IA,Woodbury County,3,13318,Des Moines
872,22015,LA,Bossier Parish,2,20555,
873,5007,AR,Benton County,2,23131,Little Rock
874,39041,OH,Delaware County,1,9083,Columbus
875,18181,IN,White County,6,2571,Indianapolis
876,40059,OK,Harper County,9,388,Oklahoma City
877,5115,AR,Pope County,5,10433,Little Rock
878,8097,CO,Pitkin County,7,1227,Denver
879,22101,LA,St. Mary Parish,4,11371,
880,8025,CO,Crowley County,8,1471,Denver
881,23013,ME,Knox County,7,4376,Augusta
882,46097,SD,Miner County,8,272,
883,37061,NC,Duplin County,6,12418,Raleigh
884,18153,IN,Sullivan County,3,2640,Indianapolis
885,19009,IA,Audubon County,8,616,Des Moines
886,51141,VA,Patrick County,8,3151,Richmond
887,40091,OK,McIntosh County,6,4133,Oklahoma City
888,48349,TX,Navarro County,4,8491,Austin
889,21163,KY,Meade County,1,3716,Frankfort
890,27171,MN,Wright County,1,6912,Saint Paul
891,29137,MO,Monroe County,9,1298,Jefferson City
892,48235,TX,Irion County,3,125,Austin
893,22013,LA,Bienville Parish,6,3171,
894,21085,KY,Grayson County,6,5585,Frankfort
895,38037,ND,Grant County,8,367,Bismarck
896,51113,VA,Madison County,8,1444,Richmond
897,19129,IA,Mills County,2,1276,Des Moines
898,21049,KY,Clark County,2,5618,Frankfort
899,51173,VA,Smyth County,6,5485,Richmond
900,13161,GA,Jeff Davis County,7,3508,Atlanta
901,20195,KS,Trego County,9,309,Topeka
902,30003,MT,Big Horn County,6,3368,Helena
903,5103,AR,Ouachita County,7,5849,Little Rock
904,56017,WY,Hot Springs County,7,624,Cheyenne
905,39083,OH,Knox County,4,7294,Columbus
906,51171,VA,Shenandoah County,6,4592,Richmond
907,17177,IL,Stephenson County,4,6916,Springfield
908,36077,NY,Otsego County,6,8124,Albany
909,23015,ME,Lincoln County,8,3818,Augusta
910,6115,CA,Yuba County,3,12288,Sacramento
911,46125,SD,Turner County,3,752,
912,48001,TX,Anderson County,5,9044,Austin
913,8009,CO,Baca County,9,702,Denver
914,4017,AZ,Navajo County,4,30379,Phoenix
915,12001,FL,Alachua County,3,55990,Tallahassee
916,21039,KY,Carlisle County,9,693,Frankfort
917,22089,LA,St. Charles Parish,1,6812,
918,20141,KS,Osborne County,9,501,Topeka
919,53035,WA,Kitsap County,3,25729,Olympia
920,8043,CO,Fremont County,4,6861,Denver
921,21175,KY,Morgan County,7,3109,Frankfort
922,36001,NY,Albany County,2,35585,Albany
923,6029,CA,Kern County,2,190993,Sacramento
924,37165,NC,Scotland County,6,9033,Raleigh
925,22021,LA,Caldwell Parish,8,2144,
926,37077,NC,Granville County,6,8403,Raleigh
927,5147,AR,Woodruff County,9,1712,Little Rock
928,19103,IA,Johnson County,3,23460,Des Moines
929,19119,IA,Lyon County,8,840,Des Moines
930,47013,TN,Campbell County,6,9398,Nashville
931,29189,MO,St. Louis County,1,90126,Jefferson City
932,21029,KY,Bullitt County,1,8144,Frankfort
933,12053,FL,Hernando County,1,27794,Tallahassee
934,23007,ME,Franklin County,6,4111,Augusta
935,32007,NV,Elko County,5,5329,Carson City
936,18115,IN,Ohio County,1,590,Indianapolis
937,24001,MD,Allegany County,3,11090,Annapolis
938,17147,IL,Piatt County,3,1115,Springfield
939,13199,GA,Meriwether County,1,4417,Atlanta
940,19041,IA,Clay County,7,1457,Des Moines
941,42007,PA,Beaver County,1,15998,Harrisburg
942,40129,OK,Roger Mills County,9,469,Oklahoma City
943,36121,NY,Wyoming County,6,3701,Albany
944,48065,TX,Carson County,3,519,Austin
945,16009,ID,Benewah County,6,1624,Boise
946,29123,MO,Madison County,7,2193,Jefferson City
947,19001,IA,Adair County,8,740,Des Moines
948,51043,VA,Clarke County,1,1115,Richmond
949,39055,OH,Geauga County,1,5451,Columbus
950,18103,IN,Miami County,6,5100,Indianapolis
951,48021,TX,Bastrop County,1,10632,Austin
952,48305,TX,Lynn County,6,1010,Austin
953,51117,VA,Mecklenburg County,7,4759,Richmond
954,40011,OK,Blaine County,6,1682,Oklahoma City
955,55061,WI,Kewaunee County,2,1526,Madison
956,20193,KS,Thomas County,7,787,Topeka
957,41043,OR,Linn County,4,15975,Salem
958,29021,MO,Buchanan County,3,14999,Jefferson City
959,8015,CO,Chaffee County,7,2009,Denver
960,19177,IA,Van Buren County,9,1047,Des Moines
961,53075,WA,Whitman County,4,11027,Olympia
962,26053,MI,Gogebic County,7,2809,Lansing
963,51069,VA,Frederick County,3,5677,Richmond
964,17075,IL,Iroquois County,6,3688,Springfield
965,12067,FL,Lafayette County,8,1609,Tallahassee
966,8077,CO,Mesa County,3,21922,Denver
967,45071,SC,Newberry County,6,6967,Columbia
968,56013,WY,Fremont County,7,6616,Cheyenne
969,17133,IL,Monroe County,1,1599,Springfield
970,29133,MO,Mississippi County,7,3384,Jefferson City
971,46011,SD,Brookings County,7,4307,
972,20051,KS,Ellis County,5,3453,Topeka
973,48463,TX,Uvalde County,7,6761,Austin
974,48383,TX,Reagan County,6,423,Austin
975,26029,MI,Charlevoix County,7,2981,Lansing
976,20059,KS,Franklin County,1,2987,Topeka
977,37021,NC,Buncombe County,2,33631,Raleigh
978,17087,IL,Johnson County,7,1594,Springfield
979,21221,KY,Trigg County,3,2046,Frankfort
980,13129,GA,Gordon County,6,9020,Atlanta
981,17057,IL,Fulton County,6,4807,Springfield
982,30081,MT,Ravalli County,6,5773,Helena
983,24009,MD,Calvert County,1,5282,Annapolis
984,28133,MS,Sunflower County,5,7874,Jackson
985,26057,MI,Gratiot County,6,6742,Lansing
986,31179,NE,Wayne County,6,997,Lincoln
987,19123,IA,Mahaska County,7,2640,Des Moines
988,48311,TX,McMullen County,8,95,Austin
989,16005,ID,Bannock County,3,13780,Boise
990,37163,NC,Sampson County,6,12114,Raleigh
991,21047,KY,Christian County,3,13938,Frankfort
992,21133,KY,Letcher County,9,7113,Frankfort
993,8047,CO,Gilpin County,1,440,Denver
994,38017,ND,Cass County,3,18151,Bismarck
995,47085,TN,Humphreys County,6,3318,Nashville
996,38051,ND,McIntosh County,9,309,Bismarck
997,12079,FL,Madison County,6,5205,Tallahassee
998,19039,IA,Clarke County,6,1061,Des Moines
999,6055,CA,Napa County,3,10958,Sacramento
1000,17049,IL,Effingham County,7,3709,Springfield
1001,26007,MI,Alpena County,7,4365,Lansing
1002,47171,TN,Unicoi County,3,3006,Nashville
1003,31035,NE,Clay County,9,681,Lincoln
1004,29097,MO,Jasper County,3,20301,Jefferson City
1005,26079,MI,Kalkaska County,7,2612,Lansing
1006,37113,NC,Macon County,7,5585,Raleigh
1007,40109,OK,Oklahoma County,1,124834,Oklahoma City
1008,1115,AL,St. Clair County,1,10352,Montgomery
1009,26091,MI,Lenawee County,4,11641,Lansing
1010,19057,IA,Des Moines County,5,6300,Des Moines
1011,42123,PA,Warren County,6,6007,Harrisburg
1012,16033,ID,Clark County,8,141,Boise
1013,49047,UT,Uintah County,7,4094,Salt Lake City
1014,6097,CA,Sonoma County,2,46604,Sacramento
1015,48221,TX,Hood County,4,5754,Austin
1016,37047,NC,Columbus County,6,13110,Raleigh
1017,31007,NE,Banner County,9,100,Lincoln
1018,13317,GA,Wilkes County,6,2213,Atlanta
1019,27135,MN,Roseau County,7,1204,Saint Paul
1020,24013,MD,Carroll County,1,8990,Annapolis
1021,42101,PA,Philadelphia County,1,384148,Harrisburg
1022,51670,VA,Hopewell city,1,4630,Richmond
1023,22085,LA,Sabine Parish,6,4352,
1024,16031,ID,Cassia County,7,3282,Boise
1025,18033,IN,De Kalb County,4,3780,Indianapolis
1026,35043,NM,Sandoval County,2,20441,Santa Fe
1027,13087,GA,Decatur County,6,7716,Atlanta
1028,17117,IL,Macoupin County,1,5962,Springfield
1029,36095,NY,Schoharie County,2,3802,Albany
1030,27017,MN,Carlton County,2,3469,Saint Paul
1031,48151,TX,Fisher County,8,597,Austin
1032,29029,MO,Camden County,7,7385,Jefferson City
1033,21037,KY,Campbell County,1,11120,Frankfort
1034,17063,IL,Grundy County,1,3936,Springfield
1035,27045,MN,Fillmore County,8,2535,Saint Paul
1036,16017,ID,Bonner County,6,6476,Boise
1037,49037,UT,San Juan County,7,5138,Salt Lake City
1038,34031,NJ,Passaic County,1,85671,Trenton
1039,21023,KY,Bracken County,1,1386,Frankfort
1040,27099,MN,Mower County,4,5104,Saint Paul
1041,30101,MT,Toole County,7,712,Helena
1042,51119,VA,Middlesex County,8,1469,Richmond
1043,56015,WY,Goshen County,7,1776,Cheyenne
1044,51121,VA,Montgomery County,3,18030,Richmond
1045,13119,GA,Franklin County,8,4614,Atlanta
1046,13257,GA,Stephens County,7,5212,Atlanta
1047,17001,IL,Adams County,5,8223,Springfield
1048,27019,MN,Carver County,1,4225,Saint Paul
1049,17121,IL,Marion County,4,5891,Springfield
1050,30091,MT,Sheridan County,9,379,Helena
1051,40077,OK,Latimer County,7,2062,Oklahoma City
1052,27003,MN,Anoka County,1,23240,Saint Paul
1053,51103,VA,Lancaster County,9,1514,Richmond
1054,36019,NY,Clinton County,5,10701,Albany
1055,17083,IL,Jersey County,1,2369,Springfield
1056,28001,MS,Adams County,5,9045,Jackson
1057,13205,GA,Mitchell County,6,6032,Atlanta
1058,48107,TX,Crosby County,3,1425,Austin
1059,48333,TX,Mills County,9,750,Austin
1060,25001,MA,Barnstable County,3,15972,Boston
1061,42015,PA,Bradford County,6,6904,Harrisburg
1062,38081,ND,Sargent County,9,296,Bismarck
1063,31133,NE,Pawnee County,9,400,Lincoln
1064,19147,IA,Palo Alto County,7,899,Des Moines
1065,13301,GA,Warren County,8,1511,Atlanta
1066,48199,TX,Hardin County,2,6001,Austin
1067,1099,AL,Monroe County,7,5472,Montgomery
1068,19151,IA,Pocahontas County,9,792,Des Moines
1069,18057,IN,Hamilton County,1,14927,Indianapolis
1070,48397,TX,Rockwall County,1,4845,Austin
1071,28055,MS,Issaquena County,9,409,Jackson
1072,46005,SD,Beadle County,7,2484,
1073,28093,MS,Marshall County,1,7772,Jackson
1074,41051,OR,Multnomah County,1,111262,Salem
1075,51139,VA,Page County,6,3833,Richmond
1076,28073,MS,Lamar County,3,7614,Jackson
1077,45061,SC,Lee County,6,4443,Columbia
1078,46003,SD,Aurora County,9,275,
1079,27137,MN,St. Louis County,2,28177,Saint Paul
1080,31059,NE,Fillmore County,9,540,Lincoln
1081,34019,NJ,Hunterdon County,1,5431,Trenton
1082,42013,PA,Blair County,3,16430,Harrisburg
1083,48473,TX,Waller County,1,7591,Austin
1084,30099,MT,Teton County,8,824,Helena
1085,8115,CO,Sedgwick County,9,352,Denver
1086,53029,WA,Island County,4,7577,Olympia
1087,31093,NE,Howard County,9,663,Lincoln
1088,20153,KS,Rawlins County,9,310,Topeka
1089,27011,MN,Big Stone County,9,584,Saint Paul
1090,30041,MT,Hill County,7,3140,Helena
1091,24043,MD,Washington County,3,18771,Annapolis
1092,12071,FL,Lee County,2,91333,Tallahassee
1093,27147,MN,Steele County,5,3315,Saint Paul
1094,17109,IL,McDonough County,5,5470,Springfield
1095,47145,TN,Roane County,4,7416,Nashville
1096,40083,OK,Logan County,1,6510,Oklahoma City
1097,17161,IL,Rock Island County,2,21769,Springfield
1098,27139,MN,Scott County,1,7784,Saint Paul
1099,47125,TN,Montgomery County,3,24640,Nashville
1100,51057,VA,Essex County,8,1439,Richmond
1101,54085,WV,Ritchie County,8,1764,Charleston
1102,47129,TN,Morgan County,6,4368,Nashville
1103,51143,VA,Pittsylvania County,3,8211,Richmond
1104,51045,VA,Craig County,2,648,Richmond
1105,19007,IA,Appanoose County,7,2304,Des Moines
1106,51013,VA,Arlington County,1,17151,Richmond
1107,5069,AR,Jefferson County,3,15094,Little Rock
1108,19011,IA,Benton County,3,1975,Des Moines
1109,45049,SC,Hampton County,6,4104,Columbia
1110,40013,OK,Bryan County,6,7519,Oklahoma City
1111,18047,IN,Franklin County,1,2414,Indianapolis
1112,41003,OR,Benton County,3,15546,Salem
1113,51590,VA,Danville city,3,9003,Richmond
1114,31073,NE,Gosper County,9,189,Lincoln
1115,55025,WI,Dane County,2,56594,Madison
1116,17059,IL,Gallatin County,8,1061,Springfield
1117,13051,GA,Chatham County,2,45636,Atlanta
1118,48067,TX,Cass County,6,5206,Austin
1119,51036,VA,Charles City County,1,877,Richmond
1120,24003,MD,Anne Arundel County,1,38816,Annapolis
1121,31165,NE,Sioux County,9,192,Lincoln
1122,34003,NJ,Bergen County,1,63789,Trenton
1123,13235,GA,Pulaski County,6,2505,Atlanta
1124,12057,FL,Hillsborough County,1,203350,Tallahassee
1125,46047,SD,Fall River County,7,862,
1126,46045,SD,Edmunds County,9,377,
1127,18183,IN,Whitley County,2,2954,Indianapolis
1128,30057,MT,Madison County,9,877,Helena
1129,9001,CT,Fairfield County,2,79966,Hartford
1130,36031,NY,Essex County,6,4532,Albany
1131,17151,IL,Pope County,9,720,Springfield
1132,35027,NM,Lincoln County,7,3500,Santa Fe
1133,30045,MT,Judith Basin County,8,259,Helena
1134,29221,MO,Washington County,1,5186,Jefferson City
1135,30053,MT,Lincoln County,7,3550,Helena
1136,2185,AK,North Slope Borough,7,1132,Juneau
1137,45021,SC,Cherokee County,4,10318,Columbia
1138,20119,KS,Meade County,9,444,Topeka
