d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,population,short name
530,16041,ID,Franklin County,3,1239,1654930,ID
531,48465,TX,Val Verde County,5,9703,27469114,ustx
532,27061,MN,Itasca County,6,5898,5489594,MN
533,53013,WA,Columbia County,6,543,7170351,Wash.
534,38089,ND,Stark County,7,2433,756927,ND
535,21131,KY,Leslie County,9,3265,4425092,KY
536,46009,SD,Bon Homme County,9,811,1394928,
537,50007,VT,Chittenden County,3,14667,626042,VT
538,30017,MT,Custer County,7,1318,1032949,MT
539,37037,NC,Chatham County,2,8384,10042802,NC
540,1113,AL,Russell County,2,11108,4858979,AL
541,34021,NJ,Mercer County,2,39066,8958013,NJ
542,48479,TX,Webb County,3,85150,27469114,ustx
543,39167,OH,Washington County,3,8100,11613423,OH
544,16055,ID,Kootenai County,3,22165,1654930,ID
545,41061,OR,Union County,7,4058,4028977,OR
546,36113,NY,Warren County,3,7479,19795791,N.Y.
547,18107,IN,Montgomery County,6,4157,6619680,IN
548,13311,GA,White County,8,4030,10214860,GA
549,47001,TN,Anderson County,2,10753,6600299,TN
550,26095,MI,Luce County,7,1092,9922576,MI
551,19173,IA,Taylor County,9,751,3046355,IA
552,51127,VA,New Kent County,1,1202,8382993,VA
553,54093,WV,Tucker County,9,1067,1844128,WV
554,40045,OK,Ellis County,9,523,3911338,OK
555,2020,AK,Anchorage Borough,2,21108,738432,AK
556,48469,TX,Victoria County,3,12900,27469114,ustx
557,31163,NE,Sherman County,9,368,1896190,NE
558,13111,GA,Fannin County,8,3485,10214860,GA
559,39151,OH,Stark County,2,48072,11613423,OH
560,35059,NM,Union County,9,705,2085109,NM
561,21025,KY,Breathitt County,7,4466,4425092,KY
562,19149,IA,Plymouth County,6,2091,3046355,IA
563,10005,DE,Sussex County,4,25212,945934,Del.
564,6105,CA,Trinity County,8,2668,39144818,Cal.
565,20125,KS,Montgomery County,5,5953,2911641,KS
566,26165,MI,Wexford County,7,5812,9922576,MI
567,20101,KS,Lane County,9,164,2911641,KS
568,5011,AR,Bradley County,6,2544,2978204,AR
569,26129,MI,Ogemaw County,9,3564,9922576,MI
570,23017,ME,Oxford County,6,7565,1328361,ME
571,28155,MS,Webster County,9,2002,2992333,MS
572,39061,OH,Hamilton County,1,126002,11613423,OH
573,42023,PA,Cameron County,7,655,12802503,PA
574,13183,GA,Long County,3,3365,10214860,GA
575,51775,VA,Salem city,2,2160,8382993,VA
576,41029,OR,Jackson County,3,31189,4028977,OR
577,18019,IN,Clark County,1,11983,6619680,IN
578,36017,NY,Chenango County,6,7248,19795791,N.Y.
579,36093,NY,Schenectady County,2,17158,19795791,N.Y.
580,33011,NH,Hillsborough County,2,31972,1330608,NH
581,21171,KY,Monroe County,9,2409,4425092,KY
582,18077,IN,Jefferson County,6,4061,6619680,IN
583,21169,KY,Metcalfe County,9,2244,4425092,KY
584,26135,MI,Oscoda County,9,1522,9922576,MI
585,12093,FL,Okeechobee County,4,7547,20271272,Fla.
586,5059,AR,Hot Spring County,6,4541,2978204,AR
587,27107,MN,Norman County,8,777,5489594,MN
588,42071,PA,Lancaster County,2,56082,12802503,PA
589,30071,MT,Phillips County,9,631,1032949,MT
590,46025,SD,Clark County,9,398,1394928,
591,12103,FL,Pinellas County,1,125923,20271272,Fla.
592,48365,TX,Panola County,6,3598,27469114,ustx
593,1059,AL,Franklin County,6,6272,4858979,AL
594,48205,TX,Hartley County,9,452,27469114,ustx
595,1045,AL,Dale County,4,9936,4858979,AL
596,22109,LA,Terrebonne Parish,3,23521,3976322,LA
597,32009,NV,Esmeralda County,9,117,2890845,NV
598,35011,NM,DeBaca County,9,378,2085109,NM
599,13079,GA,Crawford County,3,2355,10214860,GA
600,42033,PA,Clearfield County,4,10543,12802503,PA
601,13159,GA,Jasper County,1,2282,10214860,GA
602,1087,AL,Macon County,6,5183,4858979,AL
603,2240,AK,Southeast Fairbanks Census Area,8,804,738432,AK
604,31159,NE,Seward County,2,1252,1896190,NE
605,17043,IL,DuPage County,1,64330,12859995,IL
606,28037,MS,Franklin County,9,1554,2992333,MS
607,48359,TX,Oldham County,8,261,27469114,ustx
608,8085,CO,Montrose County,7,6716,5456574,Colo.
609,25011,MA,Franklin County,2,6926,6794422,MA
610,46021,SD,Campbell County,9,131,1394928,
611,18149,IN,Starke County,6,3694,6619680,IN
612,53059,WA,Skamania County,1,1543,7170351,Wash.
613,20011,KS,Bourbon County,6,2465,2911641,KS
614,13307,GA,Webster County,8,539,10214860,GA
615,48449,TX,Titus County,7,4749,27469114,ustx
616,54097,WV,Upshur County,7,4705,1844128,WV
617,19005,IA,Allamakee County,6,1786,3046355,IA
618,47095,TN,Lake County,9,2151,6600299,TN
619,47163,TN,Sullivan County,3,25304,6600299,TN
620,41027,OR,Hood River County,6,2459,4028977,OR
621,31155,NE,Saunders County,2,1524,1896190,NE
622,38069,ND,Pierce County,7,522,756927,ND
623,21101,KY,Henderson County,2,7739,4425092,KY
624,31111,NE,Lincoln County,5,3272,1896190,NE
625,20175,KS,Seward County,7,3017,2911641,KS
626,26127,MI,Oceana County,8,4630,9922576,MI
627,42121,PA,Venango County,4,7507,12802503,PA
628,32011,NV,Eureka County,9,189,2890845,NV
629,54031,WV,Hardy County,8,2096,1844128,WV
630,21137,KY,Lincoln County,7,5499,4425092,KY
631,6081,CA,San Mateo County,1,50438,39144818,Cal.
632,15007,HI,Kauai County,5,5716,1431603,HI
633,27057,MN,Hubbard County,7,2677,5489594,MN
634,42017,PA,Bucks County,1,40872,12802503,PA
635,18129,IN,Posey County,2,2192,6619680,IN
636,51810,VA,Virginia Beach city,1,36494,8382993,VA
637,39119,OH,Muskingum County,4,12435,11613423,OH
638,42103,PA,Pike County,1,5397,12802503,PA
639,48505,TX,Zapata County,6,4162,27469114,ustx
640,47039,TN,Decatur County,9,2164,6600299,TN
641,37193,NC,Wilkes County,6,11378,10042802,NC
642,53067,WA,Thurston County,3,28354,7170351,Wash.
643,34041,NJ,Warren County,2,8708,8958013,NJ
644,8065,CO,Lake County,7,1093,5456574,Colo.
645,13283,GA,Treutlen County,7,1717,10214860,GA
646,13285,GA,Troup County,4,13731,10214860,GA
647,31055,NE,Douglas County,2,67359,1896190,NE
648,27125,MN,Red Lake County,8,390,5489594,MN
649,45009,SC,Bamberg County,7,3885,4896146,SC
650,12073,FL,Leon County,2,52124,20271272,Fla.
651,21061,KY,Edmonson County,3,2668,4425092,KY
652,48053,TX,Burnet County,6,5181,27469114,ustx
653,47009,TN,Blount County,2,14401,6600299,TN
654,17125,IL,Mason County,6,1996,12859995,IL
655,47105,TN,Loudon County,2,5414,6600299,TN
656,48393,TX,Roberts County,9,60,27469114,ustx
657,19073,IA,Greene County,6,998,3046355,IA
658,37177,NC,Tyrrell County,9,966,10042802,NC
659,21173,KY,Montgomery County,6,4881,4425092,KY
660,48115,TX,Dawson County,7,2508,27469114,ustx
661,5125,AR,Saline County,2,10160,2978204,AR
662,48213,TX,Henderson County,4,13151,27469114,ustx
663,21121,KY,Knox County,7,12097,4425092,KY
664,19097,IA,Jackson County,6,2497,3046355,IA
665,41033,OR,Josephine County,4,15239,4028977,OR
666,35015,NM,Eddy County,5,8674,2085109,NM
667,55065,WI,Lafayette County,8,1937,5771337,WI
668,29151,MO,Osage County,3,1139,6083672,MO
669,29111,MO,Lewis County,9,1590,6083672,MO
670,29213,MO,Taney County,6,9006,6083672,MO
671,45063,SC,Lexington County,2,33254,4896146,SC
672,6077,CA,San Joaquin County,2,105268,39144818,Cal.
673,12105,FL,Polk County,2,106703,20271272,Fla.
674,47035,TN,Cumberland County,7,8841,6600299,TN
675,20127,KS,Morris County,9,646,2911641,KS
676,48075,TX,Childress County,7,1203,27469114,ustx
677,42005,PA,Armstrong County,1,9100,12802503,PA
678,32033,NV,White Pine County,7,1220,2890845,NV
679,12075,FL,Levy County,8,8467,20271272,Fla.
680,37175,NC,Transylvania County,6,5415,10042802,NC
681,51790,VA,Staunton city,4,2990,8382993,VA
682,21007,KY,Ballard County,9,1277,4425092,KY
683,39017,OH,Butler County,1,45165,11613423,OH
684,54023,WV,Grant County,6,1737,1844128,WV
685,47119,TN,Maury County,4,10204,6600299,TN
686,13237,GA,Putnam County,6,3914,10214860,GA
687,55117,WI,Sheboygan County,3,7934,5771337,WI
688,6059,CA,Orange County,1,348173,39144818,Cal.
689,32029,NV,Storey County,2,316,2890845,NV
690,40085,OK,Love County,9,1376,3911338,OK
691,17123,IL,Marshall County,2,1144,12859995,IL
692,6093,CA,Siskiyou County,7,8109,39144818,Cal.
693,12101,FL,Pasco County,1,66980,20271272,Fla.
694,33005,NH,Cheshire County,4,6078,1330608,NH
695,8073,CO,Lincoln County,8,834,5456574,Colo.
696,39105,OH,Meigs County,6,4815,11613423,OH
697,48307,TX,McCulloch County,7,1479,27469114,ustx
698,28083,MS,Leflore County,5,10146,2992333,MS
699,48239,TX,Jackson County,6,1966,27469114,ustx
700,19197,IA,Wright County,7,1578,3046355,IA
701,13053,GA,Chattahoochee County,2,1639,10214860,GA
702,46099,SD,Minnehaha County,3,18046,1394928,
703,21095,KY,Harlan County,7,9889,4425092,KY
704,48113,TX,Dallas County,1,413956,27469114,ustx
705,40123,OK,Pontotoc County,7,5983,3911338,OK
706,51570,VA,Colonial Heights city,1,1819,8382993,VA
707,48455,TX,Trinity County,8,2864,27469114,ustx
708,18055,IN,Greene County,3,5120,6619680,IN
709,1015,AL,Calhoun County,3,19057,4858979,AL
710,19049,IA,Dallas County,2,4118,3046355,IA
711,27065,MN,Kanabec County,6,2064,5489594,MN
712,20097,KS,Kiowa County,9,302,2911641,KS
713,13069,GA,Coffee County,7,9153,10214860,GA
714,53057,WA,Skagit County,3,13787,7170351,Wash.
715,51520,VA,Bristol city,3,3953,8382993,VA
716,29057,MO,Dade County,8,1312,6083672,MO
717,56045,WY,Weston County,7,734,586107,WY
718,6037,CA,Los Angeles County,1,1629450,39144818,Cal.
719,38083,ND,Sheridan County,9,222,756927,ND
720,8087,CO,Morgan County,6,3221,5456574,Colo.
721,6101,CA,Sutter County,3,16390,39144818,Cal.
722,30069,MT,Petroleum County,9,74,1032949,MT
723,21177,KY,Muhlenberg County,6,5732,4425092,KY
724,4011,AZ,Greenlee County,7,1144,6828065,AZ
725,53071,WA,Walla Walla County,4,7906,7170351,Wash.
726,48345,TX,Motley County,8,210,27469114,ustx
727,55093,WI,Pierce County,1,3153,5771337,WI
728,26149,MI,St. Joseph County,4,8948,9922576,MI
729,24019,MD,Dorchester County,6,5531,6006401,Md.
730,21081,KY,Grant County,1,3787,4425092,KY
731,54015,WV,Clay County,2,2541,1844128,WV
732,48381,TX,Randall County,3,11784,27469114,ustx
733,29153,MO,Ozark County,9,2315,6083672,MO
734,54083,WV,Randolph County,7,4974,1844128,WV
735,4025,AZ,Yavapai County,3,29418,6828065,AZ
736,45055,SC,Kershaw County,2,9941,4896146,SC
737,41017,OR,Deschutes County,3,19113,4028977,OR
738,21237,KY,Wolfe County,9,2252,4425092,KY
739,48087,TX,Collingsworth County,9,584,27469114,ustx
740,21099,KY,Hart County,8,3998,4425092,KY
741,19037,IA,Chickasaw County,6,1303,3046355,IA
742,28145,MS,Union County,7,3655,2992333,MS
743,48285,TX,Lavaca County,6,2418,27469114,ustx
744,6091,CA,Sierra County,8,419,39144818,Cal.
745,24021,MD,Frederick County,1,16793,6006401,Md.
746,29043,MO,Christian County,2,8921,6083672,MO
747,46105,SD,Perkins County,9,374,1394928,
748,31147,NE,Richardson County,7,973,1896190,NE
749,32017,NV,Lincoln County,8,675,2890845,NV
750,21077,KY,Gallatin County,1,1238,4425092,KY
751,29053,MO,Cooper County,6,2362,6083672,MO
752,37159,NC,Rowan County,4,22283,10042802,NC
753,22041,LA,Franklin Parish,7,5728,3976322,LA
754,24029,MD,Kent County,6,2565,6006401,Md.
755,30037,MT,Golden Valley County,8,147,1032949,MT
756,28053,MS,Humphreys County,7,3268,2992333,MS
757,54011,WV,Cabell County,2,20129,1844128,WV
758,33017,NH,Strafford County,1,9094,1330608,NH
759,13167,GA,Johnson County,9,2277,10214860,GA
760,51051,VA,Dickenson County,9,3684,8382993,VA
761,28105,MS,Oktibbeha County,5,12741,2992333,MS
762,20015,KS,Butler County,2,5745,2911641,KS
763,42037,PA,Columbia County,4,8349,12802503,PA
764,48339,TX,Montgomery County,1,59836,27469114,ustx
765,51167,VA,Russell County,6,4584,8382993,VA
766,38101,ND,Ward County,5,5903,756927,ND
767,49043,UT,Summit County,2,2412,2763885,UT
768,6063,CA,Plumas County,7,2312,39144818,Cal.
769,1025,AL,Clarke County,7,6977,4858979,AL
770,54099,WV,Wayne County,2,8651,1844128,WV
771,13083,GA,Dade County,2,2377,10214860,GA
772,48325,TX,Medina County,1,6746,27469114,ustx
773,46117,SD,Stanley County,9,237,1394928,
774,37003,NC,Alexander County,2,5401,10042802,NC
775,28107,MS,Panola County,6,7699,2992333,MS
776,18101,IN,Martin County,6,1241,6619680,IN
777,48493,TX,Wilson County,1,4958,27469114,ustx
778,51075,VA,Goochland County,1,1393,8382993,VA
779,38023,ND,Divide County,9,231,756927,ND
780,19023,IA,Butler County,8,1416,3046355,IA
781,37085,NC,Harnett County,4,20400,10042802,NC
782,34007,NJ,Camden County,1,60385,8958013,NJ
783,13259,GA,Stewart County,8,1634,10214860,GA
784,17111,IL,McHenry County,1,22253,12859995,IL
785,17017,IL,Cass County,6,1708,12859995,IL
786,55121,WI,Trempealeau County,8,2391,5771337,WI
787,48109,TX,Culberson County,9,516,27469114,ustx
788,48263,TX,Kent County,9,83,27469114,ustx
789,38019,ND,Cavalier County,9,364,756927,ND
790,55013,WI,Burnett County,8,2068,5771337,WI
791,13277,GA,Tift County,4,8669,10214860,GA
792,19169,IA,Story County,3,16340,3046355,IA
793,31067,NE,Gage County,6,2430,1896190,NE
794,16057,ID,Latah County,4,6326,1654930,ID
795,55041,WI,Forest County,9,1409,5771337,WI
796,51079,VA,Greene County,3,1618,8382993,VA
797,25021,MA,Norfolk County,1,41497,6794422,MA
798,39121,OH,Noble County,6,1744,11613423,OH
799,19093,IA,Ida County,8,696,3046355,IA
800,36117,NY,Wayne County,1,9296,19795791,N.Y.
801,29205,MO,Shelby County,9,977,6083672,MO
802,5035,AR,Crittenden County,1,12314,2978204,AR
803,40113,OK,Osage County,2,7139,3911338,OK
804,6079,CA,San Luis Obispo County,3,29345,39144818,Cal.
805,54107,WV,Wood County,3,14510,1844128,WV
806,12087,FL,Monroe County,4,8801,20271272,Fla.
807,21209,KY,Scott County,2,5400,4425092,KY
808,48495,TX,Winkler County,6,1164,27469114,ustx
809,44007,RI,Providence County,1,96214,1056298,R.I.
810,37005,NC,Alleghany County,9,2203,10042802,NC
811,48183,TX,Gregg County,3,20929,27469114,ustx
812,8039,CO,Elbert County,1,1516,5456574,Colo.
813,51179,VA,Stafford County,1,7935,8382993,VA
814,46095,SD,Mellette County,9,676,1394928,
815,40073,OK,Kingfisher County,6,1605,3911338,OK
816,48197,TX,Hardeman County,7,692,27469114,ustx
817,21111,KY,Jefferson County,1,111467,4425092,KY
818,54043,WV,Lincoln County,2,5101,1844128,WV
819,48005,TX,Angelina County,5,16085,27469114,ustx
820,26019,MI,Benzie County,9,1876,9922576,MI
821,40103,OK,Noble County,6,1499,3911338,OK
822,30065,MT,Musselshell County,8,790,1032949,MT
823,51061,VA,Fauquier County,1,3978,8382993,VA
824,47029,TN,Cocke County,6,8448,6600299,TN
825,13151,GA,Henry County,1,21101,10214860,GA
826,13163,GA,Jefferson County,6,3867,10214860,GA
827,50017,VT,Orange County,9,2986,626042,VT
828,48253,TX,Jones County,3,3138,27469114,ustx
829,31019,NE,Buffalo County,5,5287,1896190,NE
830,28023,MS,Clarke County,9,3296,2992333,MS
831,12133,FL,Washington County,6,5026,20271272,Fla.
832,38057,ND,Mercer County,6,561,756927,ND
833,38009,ND,Bottineau County,9,701,756927,ND
834,35045,NM,San Juan County,3,19749,2085109,NM
835,19111,IA,Lee County,5,4643,3046355,IA
836,49027,UT,Millard County,7,1407,2763885,UT
837,48255,TX,Karnes County,6,2677,27469114,ustx
838,45011,SC,Barnwell County,6,4789,4896146,SC
839,37129,NC,New Hanover County,2,37472,10042802,NC
840,1119,AL,Sumter County,8,3933,4858979,AL
841,37123,NC,Montgomery County,6,5655,10042802,NC
842,51067,VA,Franklin County,2,7192,8382993,VA
843,27155,MN,Traverse County,9,414,5489594,MN
844,29181,MO,Ripley County,9,3776,6083672,MO
845,47099,TN,Lawrence County,6,7076,6600299,TN
846,46087,SD,McCook County,3,545,1394928,
847,21073,KY,Franklin County,4,6708,4425092,KY
848,17137,IL,Morgan County,4,4962,12859995,IL
849,53011,WA,Clark County,1,41909,7170351,Wash.
850,19125,IA,Marion County,6,2725,3046355,IA
851,15003,HI,Honolulu County,2,81341,1431603,HI
852,26147,MI,St. Clair County,1,21781,9922576,MI
853,47143,TN,Rhea County,6,5739,6600299,TN
854,26155,MI,Shiawassee County,4,8106,9922576,MI
855,37145,NC,Person County,2,5962,10042802,NC
856,20135,KS,Ness County,9,325,2911641,KS
857,20189,KS,Stevens County,7,551,2911641,KS
858,48035,TX,Bosque County,6,2797,27469114,ustx
859,40005,OK,Atoka County,7,2596,3911338,OK
860,51740,VA,Portsmouth city,1,16775,8382993,VA
861,35021,NM,Harding County,9,95,2085109,NM
862,54079,WV,Putnam County,2,6090,1844128,WV
863,36105,NY,Sullivan County,4,12240,19795791,N.Y.
864,28061,MS,Jasper County,9,3748,2992333,MS
865,48033,TX,Borden County,9,67,27469114,ustx
866,36075,NY,Oswego County,2,19549,19795791,N.Y.
867,21141,KY,Logan County,6,4581,4425092,KY
868,13109,GA,Evans County,6,2500,10214860,GA
869,23005,ME,Cumberland County,2,28431,1328361,ME
870,6113,CA,Yolo County,1,39303,39144818,Cal.
871,19193,IA,Woodbury County,3,13318,3046355,IA
872,22015,LA,Bossier Parish,2,20555,3976322,LA
873,5007,AR,Benton County,2,23131,2978204,AR
874,39041,OH,Delaware County,1,9083,11613423,OH
875,18181,IN,White County,6,2571,6619680,IN
876,40059,OK,Harper County,9,388,3911338,OK
877,5115,AR,Pope County,5,10433,2978204,AR
878,8097,CO,Pitkin County,7,1227,5456574,Colo.
879,22101,LA,St. Mary Parish,4,11371,3976322,LA
880,8025,CO,Crowley County,8,1471,5456574,Colo.
881,23013,ME,Knox County,7,4376,1328361,ME
882,46097,SD,Miner County,8,272,1394928,
883,37061,NC,Duplin County,6,12418,10042802,NC
884,18153,IN,Sullivan County,3,2640,6619680,IN
885,19009,IA,Audubon County,8,616,3046355,IA
886,51141,VA,Patrick County,8,3151,8382993,VA
887,40091,OK,McIntosh County,6,4133,3911338,OK
888,48349,TX,Navarro County,4,8491,27469114,ustx
889,21163,KY,Meade County,1,3716,4425092,KY
890,27171,MN,Wright County,1,6912,5489594,MN
891,29137,MO,Monroe County,9,1298,6083672,MO
892,48235,TX,Irion County,3,125,27469114,ustx
893,22013,LA,Bienville Parish,6,3171,3976322,LA
894,21085,KY,Grayson County,6,5585,4425092,KY
895,38037,ND,Grant County,8,367,756927,ND
896,51113,VA,Madison County,8,1444,8382993,VA
897,19129,IA,Mills County,2,1276,3046355,IA
898,21049,KY,Clark County,2,5618,4425092,KY
899,51173,VA,Smyth County,6,5485,8382993,VA
900,13161,GA,Jeff Davis County,7,3508,10214860,GA
901,20195,KS,Trego County,9,309,2911641,KS
902,30003,MT,Big Horn County,6,3368,1032949,MT
903,5103,AR,Ouachita County,7,5849,2978204,AR
904,56017,WY,Hot Springs County,7,624,586107,WY
905,39083,OH,Knox County,4,7294,11613423,OH
906,51171,VA,Shenandoah County,6,4592,8382993,VA
907,17177,IL,Stephenson County,4,6916,12859995,IL
908,36077,NY,Otsego County,6,8124,19795791,N.Y.
909,23015,ME,Lincoln County,8,3818,1328361,ME
910,6115,CA,Yuba County,3,12288,39144818,Cal.
911,46125,SD,Turner County,3,752,1394928,
912,48001,TX,Anderson County,5,9044,27469114,ustx
913,8009,CO,Baca County,9,702,5456574,Colo.
914,4017,AZ,Navajo County,4,30379,6828065,AZ
915,12001,FL,Alachua County,3,55990,20271272,Fla.
916,21039,KY,Carlisle County,9,693,4425092,KY
917,22089,LA,St. Charles Parish,1,6812,3976322,LA
918,20141,KS,Osborne County,9,501,2911641,KS
919,53035,WA,Kitsap County,3,25729,7170351,Wash.
920,8043,CO,Fremont County,4,6861,5456574,Colo.
921,21175,KY,Morgan County,7,3109,4425092,KY
922,36001,NY,Albany County,2,35585,19795791,N.Y.
923,6029,CA,Kern County,2,190993,39144818,Cal.
924,37165,NC,Scotland County,6,9033,10042802,NC
925,22021,LA,Caldwell Parish,8,2144,3976322,LA
926,37077,NC,Granville County,6,8403,10042802,NC
927,5147,AR,Woodruff County,9,1712,2978204,AR
928,19103,IA,Johnson County,3,23460,3046355,IA
929,19119,IA,Lyon County,8,840,3046355,IA
930,47013,TN,Campbell County,6,9398,6600299,TN
931,29189,MO,St. Louis County,1,90126,6083672,MO
932,21029,KY,Bullitt County,1,8144,4425092,KY
933,12053,FL,Hernando County,1,27794,20271272,Fla.
934,23007,ME,Franklin County,6,4111,1328361,ME
935,32007,NV,Elko County,5,5329,2890845,NV
936,18115,IN,Ohio County,1,590,6619680,IN
937,24001,MD,Allegany County,3,11090,6006401,Md.
938,17147,IL,Piatt County,3,1115,12859995,IL
939,13199,GA,Meriwether County,1,4417,10214860,GA
940,19041,IA,Clay County,7,1457,3046355,IA
941,42007,PA,Beaver County,1,15998,12802503,PA
942,40129,OK,Roger Mills County,9,469,3911338,OK
943,36121,NY,Wyoming County,6,3701,19795791,N.Y.
944,48065,TX,Carson County,3,519,27469114,ustx
945,16009,ID,Benewah County,6,1624,1654930,ID
946,29123,MO,Madison County,7,2193,6083672,MO
947,19001,IA,Adair County,8,740,3046355,IA
948,51043,VA,Clarke County,1,1115,8382993,VA
949,39055,OH,Geauga County,1,5451,11613423,OH
950,18103,IN,Miami County,6,5100,6619680,IN
951,48021,TX,Bastrop County,1,10632,27469114,ustx
952,48305,TX,Lynn County,6,1010,27469114,ustx
953,51117,VA,Mecklenburg County,7,4759,8382993,VA
954,40011,OK,Blaine County,6,1682,3911338,OK
955,55061,WI,Kewaunee County,2,1526,5771337,WI
956,20193,KS,Thomas County,7,787,2911641,KS
957,41043,OR,Linn County,4,15975,4028977,OR
958,29021,MO,Buchanan County,3,14999,6083672,MO
959,8015,CO,Chaffee County,7,2009,5456574,Colo.
960,19177,IA,Van Buren County,9,1047,3046355,IA
961,53075,WA,Whitman County,4,11027,7170351,Wash.
962,26053,MI,Gogebic County,7,2809,9922576,MI
963,51069,VA,Frederick County,3,5677,8382993,VA
964,17075,IL,Iroquois County,6,3688,12859995,IL
965,12067,FL,Lafayette County,8,1609,20271272,Fla.
966,8077,CO,Mesa County,3,21922,5456574,Colo.
967,45071,SC,Newberry County,6,6967,4896146,SC
968,56013,WY,Fremont County,7,6616,586107,WY
969,17133,IL,Monroe County,1,1599,12859995,IL
970,29133,MO,Mississippi County,7,3384,6083672,MO
971,46011,SD,Brookings County,7,4307,1394928,
972,20051,KS,Ellis County,5,3453,2911641,KS
973,48463,TX,Uvalde County,7,6761,27469114,ustx
974,48383,TX,Reagan County,6,423,27469114,ustx
975,26029,MI,Charlevoix County,7,2981,9922576,MI
976,20059,KS,Franklin County,1,2987,2911641,KS
977,37021,NC,Buncombe County,2,33631,10042802,NC
978,17087,IL,Johnson County,7,1594,12859995,IL
979,21221,KY,Trigg County,3,2046,4425092,KY
980,13129,GA,Gordon County,6,9020,10214860,GA
981,17057,IL,Fulton County,6,4807,12859995,IL
982,30081,MT,Ravalli County,6,5773,1032949,MT
983,24009,MD,Calvert County,1,5282,6006401,Md.
984,28133,MS,Sunflower County,5,7874,2992333,MS
985,26057,MI,Gratiot County,6,6742,9922576,MI
986,31179,NE,Wayne County,6,997,1896190,NE
987,19123,IA,Mahaska County,7,2640,3046355,IA
988,48311,TX,McMullen County,8,95,27469114,ustx
989,16005,ID,Bannock County,3,13780,1654930,ID
990,37163,NC,Sampson County,6,12114,10042802,NC
991,21047,KY,Christian County,3,13938,4425092,KY
992,21133,KY,Letcher County,9,7113,4425092,KY
993,8047,CO,Gilpin County,1,440,5456574,Colo.
994,38017,ND,Cass County,3,18151,756927,ND
995,47085,TN,Humphreys County,6,3318,6600299,TN
996,38051,ND,McIntosh County,9,309,756927,ND
997,12079,FL,Madison County,6,5205,20271272,Fla.
998,19039,IA,Clarke County,6,1061,3046355,IA
999,6055,CA,Napa County,3,10958,39144818,Cal.
1000,17049,IL,Effingham County,7,3709,12859995,IL
1001,26007,MI,Alpena County,7,4365,9922576,MI
1002,47171,TN,Unicoi County,3,3006,6600299,TN
1003,31035,NE,Clay County,9,681,1896190,NE
1004,29097,MO,Jasper County,3,20301,6083672,MO
1005,26079,MI,Kalkaska County,7,2612,9922576,MI
1006,37113,NC,Macon County,7,5585,10042802,NC
1007,40109,OK,Oklahoma County,1,124834,3911338,OK
1008,1115,AL,St. Clair County,1,10352,4858979,AL
1009,26091,MI,Lenawee County,4,11641,9922576,MI
1010,19057,IA,Des Moines County,5,6300,3046355,IA
1011,42123,PA,Warren County,6,6007,12802503,PA
1012,16033,ID,Clark County,8,141,1654930,ID
1013,49047,UT,Uintah County,7,4094,2763885,UT
1014,6097,CA,Sonoma County,2,46604,39144818,Cal.
1015,48221,TX,Hood County,4,5754,27469114,ustx
1016,37047,NC,Columbus County,6,13110,10042802,NC
1017,31007,NE,Banner County,9,100,1896190,NE
1018,13317,GA,Wilkes County,6,2213,10214860,GA
1019,27135,MN,Roseau County,7,1204,5489594,MN
1020,24013,MD,Carroll County,1,8990,6006401,Md.
1021,42101,PA,Philadelphia County,1,384148,12802503,PA
1022,51670,VA,Hopewell city,1,4630,8382993,VA
1023,22085,LA,Sabine Parish,6,4352,3976322,LA
1024,16031,ID,Cassia County,7,3282,1654930,ID
1025,18033,IN,De Kalb County,4,3780,6619680,IN
1026,35043,NM,Sandoval County,2,20441,2085109,NM
1027,13087,GA,Decatur County,6,7716,10214860,GA
1028,17117,IL,Macoupin County,1,5962,12859995,IL
1029,36095,NY,Schoharie County,2,3802,19795791,N.Y.
1030,27017,MN,Carlton County,2,3469,5489594,MN
1031,48151,TX,Fisher County,8,597,27469114,ustx
1032,29029,MO,Camden County,7,7385,6083672,MO
1033,21037,KY,Campbell County,1,11120,4425092,KY
1034,17063,IL,Grundy County,1,3936,12859995,IL
1035,27045,MN,Fillmore County,8,2535,5489594,MN
1036,16017,ID,Bonner County,6,6476,1654930,ID
1037,49037,UT,San Juan County,7,5138,2763885,UT
1038,34031,NJ,Passaic County,1,85671,8958013,NJ
1039,21023,KY,Bracken County,1,1386,4425092,KY
1040,27099,MN,Mower County,4,5104,5489594,MN
1041,30101,MT,Toole County,7,712,1032949,MT
1042,51119,VA,Middlesex County,8,1469,8382993,VA
1043,56015,WY,Goshen County,7,1776,586107,WY
1044,51121,VA,Montgomery County,3,18030,8382993,VA
1045,13119,GA,Franklin County,8,4614,10214860,GA
1046,13257,GA,Stephens County,7,5212,10214860,GA
1047,17001,IL,Adams County,5,8223,12859995,IL
1048,27019,MN,Carver County,1,4225,5489594,MN
1049,17121,IL,Marion County,4,5891,12859995,IL
1050,30091,MT,Sheridan County,9,379,1032949,MT
1051,40077,OK,Latimer County,7,2062,3911338,OK
1052,27003,MN,Anoka County,1,23240,5489594,MN
1053,51103,VA,Lancaster County,9,1514,8382993,VA
1054,36019,NY,Clinton County,5,10701,19795791,N.Y.
1055,17083,IL,Jersey County,1,2369,12859995,IL
1056,28001,MS,Adams County,5,9045,2992333,MS
1057,13205,GA,Mitchell County,6,6032,10214860,GA
