d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,shares border with
663,21121,KY,Knox County,7,12097,3
664,19097,IA,Jackson County,6,2497,4
665,41033,OR,Josephine County,4,15239,5
666,35015,NM,Eddy County,5,8674,6
667,55065,WI,Lafayette County,8,1937,6
668,29151,MO,Osage County,3,1139,6
669,29111,MO,Lewis County,9,1590,8
670,29213,MO,Taney County,6,9006,7
671,45063,SC,Lexington County,2,33254,6
672,6077,CA,San Joaquin County,2,105268,7
673,12105,FL,Polk County,2,106703,3
674,47035,TN,Cumberland County,7,8841,4
675,20127,KS,Morris County,9,646,7
676,48075,TX,Childress County,7,1203,5
677,42005,PA,Armstrong County,1,9100,6
678,32033,NV,White Pine County,7,1220,3
679,12075,FL,Levy County,8,8467,5
680,37175,NC,Transylvania County,6,5415,7
681,51790,VA,Staunton city,4,2990,
682,21007,KY,Ballard County,9,1277,5
683,39017,OH,Butler County,1,45165,7
684,54023,WV,Grant County,6,1737,8
685,47119,TN,Maury County,4,10204,6
686,13237,GA,Putnam County,6,3914,7
687,55117,WI,Sheboygan County,3,7934,5
688,6059,CA,Orange County,1,348173,5
689,32029,NV,Storey County,2,316,3
690,40085,OK,Love County,9,1376,2
691,17123,IL,Marshall County,2,1144,2
692,6093,CA,Siskiyou County,7,8109,8
693,12101,FL,Pasco County,1,66980,5
694,33005,NH,Cheshire County,4,6078,5
695,8073,CO,Lincoln County,8,834,6
696,39105,OH,Meigs County,6,4815,5
697,48307,TX,McCulloch County,7,1479,6
698,28083,MS,Leflore County,5,10146,1
699,48239,TX,Jackson County,6,1966,4
700,19197,IA,Wright County,7,1578,6
701,13053,GA,Chattahoochee County,2,1639,5
702,46099,SD,Minnehaha County,3,18046,7
703,21095,KY,Harlan County,7,9889,6
704,48113,TX,Dallas County,1,413956,7
705,40123,OK,Pontotoc County,7,5983,7
706,51570,VA,Colonial Heights city,1,1819,3
707,48455,TX,Trinity County,8,2864,5
708,18055,IN,Greene County,3,5120,6
709,1015,AL,Calhoun County,3,19057,2
710,19049,IA,Dallas County,2,4118,7
711,27065,MN,Kanabec County,6,2064,5
712,20097,KS,Kiowa County,9,302,6
713,13069,GA,Coffee County,7,9153,2
714,53057,WA,Skagit County,3,13787,6
715,51520,VA,Bristol city,3,3953,
716,29057,MO,Dade County,8,1312,3
717,56045,WY,Weston County,7,734,7
718,6037,CA,Los Angeles County,1,1629450,4
719,38083,ND,Sheridan County,9,222,5
720,8087,CO,Morgan County,6,3221,5
721,6101,CA,Sutter County,3,16390,6
722,30069,MT,Petroleum County,9,74,1
723,21177,KY,Muhlenberg County,6,5732,
724,4011,AZ,Greenlee County,7,1144,6
725,53071,WA,Walla Walla County,4,7906,4
726,48345,TX,Motley County,8,210,6
727,55093,WI,Pierce County,1,3153,6
728,26149,MI,St. Joseph County,4,8948,1
729,24019,MD,Dorchester County,6,5531,7
730,21081,KY,Grant County,1,3787,8
731,54015,WV,Clay County,2,2541,20
732,48381,TX,Randall County,3,11784,3
733,29153,MO,Ozark County,9,2315,3
734,54083,WV,Randolph County,7,4974,7
735,4025,AZ,Yavapai County,3,29418,5
736,45055,SC,Kershaw County,2,9941,7
737,41017,OR,Deschutes County,3,19113,4
738,21237,KY,Wolfe County,9,2252,6
739,48087,TX,Collingsworth County,9,584,7
740,21099,KY,Hart County,8,3998,1
741,19037,IA,Chickasaw County,6,1303,1
742,28145,MS,Union County,7,3655,
743,48285,TX,Lavaca County,6,2418,6
744,6091,CA,Sierra County,8,419,7
745,24021,MD,Frederick County,1,16793,7
746,29043,MO,Christian County,2,8921,3
747,46105,SD,Perkins County,9,374,3
748,31147,NE,Richardson County,7,973,2
749,32017,NV,Lincoln County,8,675,6
750,21077,KY,Gallatin County,1,1238,3
751,29053,MO,Cooper County,6,2362,7
752,37159,NC,Rowan County,4,22283,7
753,22041,LA,Franklin Parish,7,5728,2
754,24029,MD,Kent County,6,2565,7
755,30037,MT,Golden Valley County,8,147,1
756,28053,MS,Humphreys County,7,3268,5
757,54011,WV,Cabell County,2,20129,6
758,33017,NH,Strafford County,1,9094,5
759,13167,GA,Johnson County,9,2277,6
760,51051,VA,Dickenson County,9,3684,4
761,28105,MS,Oktibbeha County,5,12741,2
762,20015,KS,Butler County,2,5745,7
763,42037,PA,Columbia County,4,8349,7
764,48339,TX,Montgomery County,1,59836,9
765,51167,VA,Russell County,6,4584,7
766,38101,ND,Ward County,5,5903,2
767,49043,UT,Summit County,2,2412,8
768,6063,CA,Plumas County,7,2312,6
769,1025,AL,Clarke County,7,6977,6
770,54099,WV,Wayne County,2,8651,3
771,13083,GA,Dade County,2,2377,3
772,48325,TX,Medina County,1,6746,5
773,46117,SD,Stanley County,9,237,2
774,37003,NC,Alexander County,2,5401,6
775,28107,MS,Panola County,6,7699,1
776,18101,IN,Martin County,6,1241,3
777,48493,TX,Wilson County,1,4958,7
778,51075,VA,Goochland County,1,1393,7
779,38023,ND,Divide County,9,231,7
780,19023,IA,Butler County,8,1416,7
781,37085,NC,Harnett County,4,20400,7
782,34007,NJ,Camden County,1,60385,5
783,13259,GA,Stewart County,8,1634,7
784,17111,IL,McHenry County,1,22253,3
785,17017,IL,Cass County,6,1708,8
786,55121,WI,Trempealeau County,8,2391,5
787,48109,TX,Culberson County,9,516,5
788,48263,TX,Kent County,9,83,7
789,38019,ND,Cavalier County,9,364,7
790,55013,WI,Burnett County,8,2068,6
791,13277,GA,Tift County,4,8669,6
792,19169,IA,Story County,3,16340,6
793,31067,NE,Gage County,6,2430,2
794,16057,ID,Latah County,4,6326,5
795,55041,WI,Forest County,9,1409,5
796,51079,VA,Greene County,3,1618,6
797,25021,MA,Norfolk County,1,41497,6
798,39121,OH,Noble County,6,1744,3
799,19093,IA,Ida County,8,696,2
800,36117,NY,Wayne County,1,9296,3
801,29205,MO,Shelby County,9,977,6
802,5035,AR,Crittenden County,1,12314,9
803,40113,OK,Osage County,2,7139,6
804,6079,CA,San Luis Obispo County,3,29345,4
805,54107,WV,Wood County,3,14510,7
806,12087,FL,Monroe County,4,8801,2
807,21209,KY,Scott County,2,5400,7
808,48495,TX,Winkler County,6,1164,3
809,44007,RI,Providence County,1,96214,6
810,37005,NC,Alleghany County,9,2203,7
811,48183,TX,Gregg County,3,20929,2
812,8039,CO,Elbert County,1,1516,1
813,51179,VA,Stafford County,1,7935,8
814,46095,SD,Mellette County,9,676,5
815,40073,OK,Kingfisher County,6,1605,6
816,48197,TX,Hardeman County,7,692,8
817,21111,KY,Jefferson County,1,111467,6
818,54043,WV,Lincoln County,2,5101,6
819,48005,TX,Angelina County,5,16085,8
820,26019,MI,Benzie County,9,1876,6
821,40103,OK,Noble County,6,1499,3
822,30065,MT,Musselshell County,8,790,2
823,51061,VA,Fauquier County,1,3978,7
824,47029,TN,Cocke County,6,8448,6
825,13151,GA,Henry County,1,21101,1
826,13163,GA,Jefferson County,6,3867,6
827,50017,VT,Orange County,9,2986,5
828,48253,TX,Jones County,3,3138,5
829,31019,NE,Buffalo County,5,5287,5
830,28023,MS,Clarke County,9,3296,6
831,12133,FL,Washington County,6,5026,16
832,38057,ND,Mercer County,6,561,7
833,38009,ND,Bottineau County,9,701,10
834,35045,NM,San Juan County,3,19749,14
835,19111,IA,Lee County,5,4643,4
836,49027,UT,Millard County,7,1407,6
837,48255,TX,Karnes County,6,2677,7
838,45011,SC,Barnwell County,6,4789,5
839,37129,NC,New Hanover County,2,37472,2
840,1119,AL,Sumter County,8,3933,2
841,37123,NC,Montgomery County,6,5655,9
842,51067,VA,Franklin County,2,7192,6
843,27155,MN,Traverse County,9,414,2
844,29181,MO,Ripley County,9,3776,2
845,47099,TN,Lawrence County,6,7076,6
846,46087,SD,McCook County,3,545,6
847,21073,KY,Franklin County,4,6708,6
848,17137,IL,Morgan County,4,4962,5
849,53011,WA,Clark County,1,41909,5
850,19125,IA,Marion County,6,2725,
851,15003,HI,Honolulu County,2,81341,2
852,26147,MI,St. Clair County,1,21781,3
853,47143,TN,Rhea County,6,5739,5
854,26155,MI,Shiawassee County,4,8106,2
855,37145,NC,Person County,2,5962,5
856,20135,KS,Ness County,9,325,8
857,20189,KS,Stevens County,7,551,6
858,48035,TX,Bosque County,6,2797,7
859,40005,OK,Atoka County,7,2596,6
860,51740,VA,Portsmouth city,1,16775,
861,35021,NM,Harding County,9,95,6
862,54079,WV,Putnam County,2,6090,7
863,36105,NY,Sullivan County,4,12240,5
864,28061,MS,Jasper County,9,3748,2
865,48033,TX,Borden County,9,67,6
866,36075,NY,Oswego County,2,19549,6
867,21141,KY,Logan County,6,4581,4
868,13109,GA,Evans County,6,2500,5
869,23005,ME,Cumberland County,2,28431,4
870,6113,CA,Yolo County,1,39303,6
871,19193,IA,Woodbury County,3,13318,2
872,22015,LA,Bossier Parish,2,20555,6
873,5007,AR,Benton County,2,23131,4
874,39041,OH,Delaware County,1,9083,8
875,18181,IN,White County,6,2571,7
876,40059,OK,Harper County,9,388,6
877,5115,AR,Pope County,5,10433,7
878,8097,CO,Pitkin County,7,1227,2
879,22101,LA,St. Mary Parish,4,11371,4
880,8025,CO,Crowley County,8,1471,5
881,23013,ME,Knox County,7,4376,3
882,46097,SD,Miner County,8,272,4
883,37061,NC,Duplin County,6,12418,6
884,18153,IN,Sullivan County,3,2640,5
885,19009,IA,Audubon County,8,616,6
886,51141,VA,Patrick County,8,3151,6
887,40091,OK,McIntosh County,6,4133,4
888,48349,TX,Navarro County,4,8491,5
889,21163,KY,Meade County,1,3716,5
890,27171,MN,Wright County,1,6912,6
891,29137,MO,Monroe County,9,1298,2
892,48235,TX,Irion County,3,125,4
893,22013,LA,Bienville Parish,6,3171,8
894,21085,KY,Grayson County,6,5585,7
895,38037,ND,Grant County,8,367,8
896,51113,VA,Madison County,8,1444,5
897,19129,IA,Mills County,2,1276,5
898,21049,KY,Clark County,2,5618,5
899,51173,VA,Smyth County,6,5485,6
900,13161,GA,Jeff Davis County,7,3508,7
901,20195,KS,Trego County,9,309,5
902,30003,MT,Big Horn County,6,3368,4
903,5103,AR,Ouachita County,7,5849,6
904,56017,WY,Hot Springs County,7,624,3
905,39083,OH,Knox County,4,7294,3
906,51171,VA,Shenandoah County,6,4592,5
907,17177,IL,Stephenson County,4,6916,5
908,36077,NY,Otsego County,6,8124,7
909,23015,ME,Lincoln County,8,3818,6
910,6115,CA,Yuba County,3,12288,6
911,46125,SD,Turner County,3,752,6
912,48001,TX,Anderson County,5,9044,6
913,8009,CO,Baca County,9,702,7
914,4017,AZ,Navajo County,4,30379,5
915,12001,FL,Alachua County,3,55990,7
916,21039,KY,Carlisle County,9,693,1
917,22089,LA,St. Charles Parish,1,6812,3
918,20141,KS,Osborne County,9,501,7
919,53035,WA,Kitsap County,3,25729,6
920,8043,CO,Fremont County,4,6861,8
921,21175,KY,Morgan County,7,3109,5
922,36001,NY,Albany County,2,35585,6
923,6029,CA,Kern County,2,190993,8
924,37165,NC,Scotland County,6,9033,5
925,22021,LA,Caldwell Parish,8,2144,1
926,37077,NC,Granville County,6,8403,7
927,5147,AR,Woodruff County,9,1712,6
928,19103,IA,Johnson County,3,23460,6
929,19119,IA,Lyon County,8,840,7
930,47013,TN,Campbell County,6,9398,6
931,29189,MO,St. Louis County,1,90126,4
932,21029,KY,Bullitt County,1,8144,
933,12053,FL,Hernando County,1,27794,3
934,23007,ME,Franklin County,6,4111,6
935,32007,NV,Elko County,5,5329,4
936,18115,IN,Ohio County,1,590,5
937,24001,MD,Allegany County,3,11090,8
938,17147,IL,Piatt County,3,1115,4
939,13199,GA,Meriwether County,1,4417,7
940,19041,IA,Clay County,7,1457,20
941,42007,PA,Beaver County,1,15998,5
942,40129,OK,Roger Mills County,9,469,6
943,36121,NY,Wyoming County,6,3701,6
944,48065,TX,Carson County,3,519,6
945,16009,ID,Benewah County,6,1624,2
946,29123,MO,Madison County,7,2193,5
947,19001,IA,Adair County,8,740,2
948,51043,VA,Clarke County,1,1115,6
949,39055,OH,Geauga County,1,5451,6
950,18103,IN,Miami County,6,5100,5
951,48021,TX,Bastrop County,1,10632,5
952,48305,TX,Lynn County,6,1010,6
953,51117,VA,Mecklenburg County,7,4759,7
954,40011,OK,Blaine County,6,1682,5
955,55061,WI,Kewaunee County,2,1526,5
956,20193,KS,Thomas County,7,787,6
957,41043,OR,Linn County,4,15975,2
958,29021,MO,Buchanan County,3,14999,6
959,8015,CO,Chaffee County,7,2009,6
960,19177,IA,Van Buren County,9,1047,6
961,53075,WA,Whitman County,4,11027,10
962,26053,MI,Gogebic County,7,2809,5
963,51069,VA,Frederick County,3,5677,7
964,17075,IL,Iroquois County,6,3688,4
965,12067,FL,Lafayette County,8,1609,6
966,8077,CO,Mesa County,3,21922,3
967,45071,SC,Newberry County,6,6967,7
968,56013,WY,Fremont County,7,6616,8
969,17133,IL,Monroe County,1,1599,2
970,29133,MO,Mississippi County,7,3384,8
971,46011,SD,Brookings County,7,4307,6
972,20051,KS,Ellis County,5,3453,7
973,48463,TX,Uvalde County,7,6761,8
974,48383,TX,Reagan County,6,423,6
975,26029,MI,Charlevoix County,7,2981,6
976,20059,KS,Franklin County,1,2987,6
977,37021,NC,Buncombe County,2,33631,7
978,17087,IL,Johnson County,7,1594,6
979,21221,KY,Trigg County,3,2046,
980,13129,GA,Gordon County,6,9020,8
981,17057,IL,Fulton County,6,4807,10
982,30081,MT,Ravalli County,6,5773,2
983,24009,MD,Calvert County,1,5282,
984,28133,MS,Sunflower County,5,7874,6
985,26057,MI,Gratiot County,6,6742,7
986,31179,NE,Wayne County,6,997,3
987,19123,IA,Mahaska County,7,2640,6
988,48311,TX,McMullen County,8,95,6
989,16005,ID,Bannock County,3,13780,5
990,37163,NC,Sampson County,6,12114,7
991,21047,KY,Christian County,3,13938,3
992,21133,KY,Letcher County,9,7113,5
993,8047,CO,Gilpin County,1,440,2
994,38017,ND,Cass County,3,18151,8
995,47085,TN,Humphreys County,6,3318,5
996,38051,ND,McIntosh County,9,309,4
997,12079,FL,Madison County,6,5205,5
998,19039,IA,Clarke County,6,1061,6
999,6055,CA,Napa County,3,10958,4
1000,17049,IL,Effingham County,7,3709,6
1001,26007,MI,Alpena County,7,4365,3
1002,47171,TN,Unicoi County,3,3006,6
1003,31035,NE,Clay County,9,681,20
1004,29097,MO,Jasper County,3,20301,2
1005,26079,MI,Kalkaska County,7,2612,2
1006,37113,NC,Macon County,7,5585,7
1007,40109,OK,Oklahoma County,1,124834,6
1008,1115,AL,St. Clair County,1,10352,3
1009,26091,MI,Lenawee County,4,11641,6
1010,19057,IA,Des Moines County,5,6300,5
1011,42123,PA,Warren County,6,6007,4
1012,16033,ID,Clark County,8,141,5
1013,49047,UT,Uintah County,7,4094,9
1014,6097,CA,Sonoma County,2,46604,
1015,48221,TX,Hood County,4,5754,5
1016,37047,NC,Columbus County,6,13110,6
1017,31007,NE,Banner County,9,100,2
1018,13317,GA,Wilkes County,6,2213,8
1019,27135,MN,Roseau County,7,1204,1
1020,24013,MD,Carroll County,1,8990,24
1021,42101,PA,Philadelphia County,1,384148,6
1022,51670,VA,Hopewell city,1,4630,
1023,22085,LA,Sabine Parish,6,4352,2
1024,16031,ID,Cassia County,7,3282,2
1025,18033,IN,De Kalb County,4,3780,8
1026,35043,NM,Sandoval County,2,20441,7
1027,13087,GA,Decatur County,6,7716,6
1028,17117,IL,Macoupin County,1,5962,5
1029,36095,NY,Schoharie County,2,3802,6
1030,27017,MN,Carlton County,2,3469,3
1031,48151,TX,Fisher County,8,597,5
1032,29029,MO,Camden County,7,7385,5
1033,21037,KY,Campbell County,1,11120,6
1034,17063,IL,Grundy County,1,3936,5
1035,27045,MN,Fillmore County,8,2535,2
1036,16017,ID,Bonner County,6,6476,3
1037,49037,UT,San Juan County,7,5138,14
1038,34031,NJ,Passaic County,1,85671,6
1039,21023,KY,Bracken County,1,1386,6
1040,27099,MN,Mower County,4,5104,2
1041,30101,MT,Toole County,7,712,1
1042,51119,VA,Middlesex County,8,1469,5
1043,56015,WY,Goshen County,7,1776,6
1044,51121,VA,Montgomery County,3,18030,9
1045,13119,GA,Franklin County,8,4614,6
1046,13257,GA,Stephens County,7,5212,6
1047,17001,IL,Adams County,5,8223,6
1048,27019,MN,Carver County,1,4225,5
1049,17121,IL,Marion County,4,5891,
1050,30091,MT,Sheridan County,9,379,5
1051,40077,OK,Latimer County,7,2062,4
1052,27003,MN,Anoka County,1,23240,6
1053,51103,VA,Lancaster County,9,1514,7
1054,36019,NY,Clinton County,5,10701,7
1055,17083,IL,Jersey County,1,2369,1
1056,28001,MS,Adams County,5,9045,6
1057,13205,GA,Mitchell County,6,6032,5
1058,48107,TX,Crosby County,3,1425,4
1059,48333,TX,Mills County,9,750,5
1060,25001,MA,Barnstable County,3,15972,2
1061,42015,PA,Bradford County,6,6904,7
1062,38081,ND,Sargent County,9,296,6
1063,31133,NE,Pawnee County,9,400,6
1064,19147,IA,Palo Alto County,7,899,2
1065,13301,GA,Warren County,8,1511,4
1066,48199,TX,Hardin County,2,6001,8
1067,1099,AL,Monroe County,7,5472,2
1068,19151,IA,Pocahontas County,9,792,6
1069,18057,IN,Hamilton County,1,14927,7
1070,48397,TX,Rockwall County,1,4845,4
1071,28055,MS,Issaquena County,9,409,2
1072,46005,SD,Beadle County,7,2484,6
1073,28093,MS,Marshall County,1,7772,2
1074,41051,OR,Multnomah County,1,111262,6
1075,51139,VA,Page County,6,3833,6
1076,28073,MS,Lamar County,3,7614,2
1077,45061,SC,Lee County,6,4443,4
1078,46003,SD,Aurora County,9,275,6
1079,27137,MN,St. Louis County,2,28177,4
1080,31059,NE,Fillmore County,9,540,2
1081,34019,NJ,Hunterdon County,1,5431,5
1082,42013,PA,Blair County,3,16430,5
1083,48473,TX,Waller County,1,7591,3
1084,30099,MT,Teton County,8,824,8
1085,8115,CO,Sedgwick County,9,352,6
1086,53029,WA,Island County,4,7577,4
1087,31093,NE,Howard County,9,663,6
1088,20153,KS,Rawlins County,9,310,7
1089,27011,MN,Big Stone County,9,584,2
1090,30041,MT,Hill County,7,3140,2
1091,24043,MD,Washington County,3,18771,16
1092,12071,FL,Lee County,2,91333,4
1093,27147,MN,Steele County,5,3315,5
1094,17109,IL,McDonough County,5,5470,5
1095,47145,TN,Roane County,4,7416,5
1096,40083,OK,Logan County,1,6510,4
1097,17161,IL,Rock Island County,2,21769,4
1098,27139,MN,Scott County,1,7784,7
1099,47125,TN,Montgomery County,3,24640,9
1100,51057,VA,Essex County,8,1439,7
1101,54085,WV,Ritchie County,8,1764,7
1102,47129,TN,Morgan County,6,4368,5
1103,51143,VA,Pittsylvania County,3,8211,8
1104,51045,VA,Craig County,2,648,6
1105,19007,IA,Appanoose County,7,2304,5
1106,51013,VA,Arlington County,1,17151,6
1107,5069,AR,Jefferson County,3,15094,6
1108,19011,IA,Benton County,3,1975,4
1109,45049,SC,Hampton County,6,4104,7
1110,40013,OK,Bryan County,6,7519,7
1111,18047,IN,Franklin County,1,2414,6
1112,41003,OR,Benton County,3,15546,4
1113,51590,VA,Danville city,3,9003,
1114,31073,NE,Gosper County,9,189,2
1115,55025,WI,Dane County,2,56594,7
1116,17059,IL,Gallatin County,8,1061,3
1117,13051,GA,Chatham County,2,45636,3
1118,48067,TX,Cass County,6,5206,8
1119,51036,VA,Charles City County,1,877,7
1120,24003,MD,Anne Arundel County,1,38816,8
1121,31165,NE,Sioux County,9,192,2
1122,34003,NJ,Bergen County,1,63789,8
1123,13235,GA,Pulaski County,6,2505,3
1124,12057,FL,Hillsborough County,1,203350,7
1125,46047,SD,Fall River County,7,862,5
1126,46045,SD,Edmunds County,9,377,6
1127,18183,IN,Whitley County,2,2954,6
1128,30057,MT,Madison County,9,877,5
1129,9001,CT,Fairfield County,2,79966,5
1130,36031,NY,Essex County,6,4532,7
1131,17151,IL,Pope County,9,720,7
1132,35027,NM,Lincoln County,7,3500,6
1133,30045,MT,Judith Basin County,8,259,3
1134,29221,MO,Washington County,1,5186,16
1135,30053,MT,Lincoln County,7,3550,6
1136,2185,AK,North Slope Borough,7,1132,3
1137,45021,SC,Cherokee County,4,10318,7
1138,20119,KS,Meade County,9,444,5
1139,20159,KS,Rice County,7,1167,7
1140,19117,IA,Lucas County,6,1268,6
1141,29001,MO,Adair County,7,5343,2
1142,48281,TX,Lampasas County,2,2793,6
1143,48503,TX,Young County,6,2599,5
1144,28025,MS,Clay County,7,4657,20
1145,8101,CO,Pueblo County,3,32053,3
1146,37199,NC,Yancey County,8,3350,5
1147,26021,MI,Berrien County,3,25215,7
1148,17031,IL,Cook County,1,770091,6
1149,55069,WI,Lincoln County,6,2712,6
1150,20069,KS,Gray County,9,487,8
1151,37139,NC,Pasquotank County,7,6395,4
1152,35041,NM,Roosevelt County,7,4006,4
1153,21225,KY,Union County,6,2723,
1154,21203,KY,Rockcastle County,7,3991,6
1155,46137,SD,Ziebach County,9,1223,2
1156,51820,VA,Waynesboro city,4,3167,
1157,19077,IA,Guthrie County,2,1036,2
1158,48135,TX,Ector County,3,21548,4
1159,21027,KY,Breckinridge County,8,3386,6
1160,42049,PA,Erie County,2,41331,6
1161,1037,AL,Coosa County,8,1801,6
1162,45087,SC,Union County,6,5756,
1163,22037,LA,East Feliciana Parish,2,3459,5
1164,27073,MN,Lac qui Parle County,9,635,2
1165,35053,NM,Socorro County,6,4181,6
1166,48071,TX,Chambers County,1,3646,4
1167,37087,NC,Haywood County,2,9545,8
1168,55051,WI,Iron County,9,809,5
1169,36021,NY,Columbia County,6,7519,7
1170,54109,WV,Wyoming County,7,5155,6
1171,39161,OH,Van Wert County,6,2489,7
1172,29065,MO,Dent County,7,2995,3
1173,21045,KY,Casey County,9,4260,7
1174,12091,FL,Okaloosa County,3,21032,4
1175,48321,TX,Matagorda County,4,6392,4
1176,51760,VA,Richmond city,1,55062,2
1177,40131,OK,Rogers County,2,8185,6
1178,26001,MI,Alcona County,9,1657,5
1179,28039,MS,George County,3,3714,2
1180,31185,NE,York County,7,1357,5
1181,12061,FL,Indian River County,3,18518,4
1182,20209,KS,Wyandotte County,1,31432,5
1183,28015,MS,Carroll County,9,1719,24
1184,37029,NC,Camden County,8,902,5
1185,28147,MS,Walthall County,9,3476,5
1186,26077,MI,Kalamazoo County,2,42141,2
1187,5015,AR,Carroll County,6,4684,24
1188,39139,OH,Richland County,3,17904,6
1189,38049,ND,McHenry County,9,641,3
1190,32023,NV,Nye County,6,6724,9
1191,2188,AK,Northwest Arctic Borough,7,2114,3
1192,40079,OK,Le Flore County,2,10398,1
1193,17159,IL,Richland County,7,2235,6
1194,21055,KY,Crittenden County,6,1660,9
1195,5045,AR,Faulkner County,2,18782,2
1196,50027,VT,Windsor County,7,5479,7
1197,45051,SC,Horry County,3,47767,6
1198,20019,KS,Chautauqua County,9,574,4
1199,38059,ND,Morton County,3,2679,7
1200,9009,CT,New Haven County,2,94687,4
1201,13003,GA,Atkinson County,9,2176,5
1202,38091,ND,Steele County,8,162,5
1203,40093,OK,Major County,9,925,7
1204,39043,OH,Erie County,3,9171,6
1205,13091,GA,Dodge County,7,4730,7
1206,13229,GA,Pierce County,6,3282,6
1207,32001,NV,Churchill County,6,3371,6
1208,24045,MD,Wicomico County,3,17634,4
1209,48229,TX,Hudspeth County,8,848,7
1210,42133,PA,York County,2,42508,5
1211,27169,MN,Winona County,4,5416,7
1212,28095,MS,Monroe County,7,6869,2
1213,8071,CO,Las Animas County,7,2869,8
1214,13219,GA,Oconee County,3,2480,10
1215,27109,MN,Olmsted County,3,13027,1
1216,17203,IL,Woodford County,2,2515,2
1217,28129,MS,Smith County,8,2990,7
1218,48225,TX,Houston County,7,4437,7
1219,47097,TN,Lauderdale County,6,6025,8
1220,27031,MN,Cook County,9,526,6
1221,45005,SC,Allendale County,6,3013,6
1222,48301,TX,Loving County,9,15,6
1223,21143,KY,Lyon County,8,1152,7
1224,5025,AR,Cleveland County,3,1295,6
1225,21075,KY,Fulton County,7,1712,10
1226,56025,WY,Natrona County,3,8244,5
1227,8083,CO,Montezuma County,6,4031,6
1228,56021,WY,Laramie County,3,9697,7
1229,47049,TN,Fentress County,9,3812,6
1230,20173,KS,Sedgwick County,2,75334,6
1231,26107,MI,Mecosta County,6,8248,4
1232,48413,TX,Schleicher County,8,503,8
1233,34023,NJ,Middlesex County,1,69642,5
1234,5099,AR,Nevada County,7,1680,4
1235,9003,CT,Hartford County,1,95010,6
1236,55078,WI,Menominee County,8,1214,3
1237,48309,TX,McLennan County,3,44099,6
1238,42001,PA,Adams County,4,9218,6
1239,48091,TX,Comal County,1,11496,5
1240,45075,SC,Orangeburg County,4,19239,9
1241,29081,MO,Harrison County,7,1520,3
1242,16061,ID,Lewis County,8,611,8
1243,51095,VA,James City County,1,4739,7
1244,48351,TX,Newton County,8,3023,6
1245,48459,TX,Upshur County,3,6235,5
1246,29199,MO,Scotland County,9,778,5
1247,41001,OR,Baker County,7,2762,6
1248,19121,IA,Madison County,2,1218,5
1249,28009,MS,Benton County,8,2064,4
1250,8059,CO,Jefferson County,1,39397,6
1251,17081,IL,Jefferson County,7,5697,6
1252,21093,KY,Hardin County,3,14306,8
1253,8093,CO,Park County,1,1572,8
1254,45017,SC,Calhoun County,2,2370,2
1255,8121,CO,Washington County,9,674,16
1256,36057,NY,Montgomery County,4,9610,9
1257,38043,ND,Kidder County,8,303,6
1258,48177,TX,Gonzales County,6,3519,7
1259,29177,MO,Ray County,1,2453,2
1260,1131,AL,Wilcox County,8,3466,2
1261,49041,UT,Sevier County,7,2907,6
1262,20017,KS,Chase County,8,287,5
1263,45007,SC,Anderson County,3,29703,6
1264,48023,TX,Baylor County,6,630,5
1265,37069,NC,Franklin County,2,9624,6
1266,27097,MN,Morrison County,6,3871,2
1267,6099,CA,Stanislaus County,2,77913,7
1268,13247,GA,Rockdale County,1,12943,5
1269,27075,MN,Lake County,6,946,6
1270,29051,MO,Cole County,3,7821,3
1271,49023,UT,Juab County,2,1157,5
1272,28057,MS,Itawamba County,7,4062,6
1273,21035,KY,Calloway County,7,7430,1
1274,19107,IA,Keokuk County,8,1199,3
1275,31131,NE,Otoe County,6,1489,4
1276,12119,FL,Sumter County,4,12115,2
1277,27167,MN,Wilkin County,6,553,2
1278,41023,OR,Grant County,9,1132,8
1279,37189,NC,Watauga County,6,11717,5
1280,40119,OK,Payne County,4,18413,5
1281,40095,OK,Marshall County,6,2499,2
1282,18121,IN,Parke County,6,2497,6
1283,4015,AZ,Mohave County,4,36665,8
1284,37051,NC,Cumberland County,2,59570,4
1285,19167,IA,Sioux County,6,2374,2
1286,20057,KS,Ford County,5,4453,2
1287,47015,TN,Cannon County,1,2149,5
1288,13299,GA,Ware County,4,8501,8
1289,26071,MI,Iron County,7,1672,5
1290,17095,IL,Knox County,4,8036,3
1291,26089,MI,Leelanau County,9,1739,7
1292,6009,CA,Calaveras County,6,5833,5
1293,27027,MN,Clay County,3,7167,20
1294,29165,MO,Platte County,1,5915,5
1295,20099,KS,Labette County,7,4161,6
1296,29113,MO,Lincoln County,1,6132,6
1297,46102,SD,Oglala Lakota County,7,5854,4
1298,33019,NH,Sullivan County,7,4016,5
1299,47181,TN,Wayne County,8,3032,3
1300,26097,MI,Mackinac County,7,1465,6
1301,56033,WY,Sheridan County,7,2691,5
1302,17037,IL,DeKalb County,1,15566,5
1303,29035,MO,Carter County,9,1298,3
1304,5091,AR,Miller County,3,9504,7
1305,28069,MS,Kemper County,9,2532,3
1306,42019,PA,Butler County,1,13334,7
1307,18081,IN,Johnson County,1,11300,6
1308,29023,MO,Butler County,7,9237,7
1309,34015,NJ,Gloucester County,1,22402,7
1310,51087,VA,Henrico County,1,29583,7
1311,1047,AL,Dallas County,4,13987,7
1312,36041,NY,Hamilton County,8,463,7
