d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,motto text,population
767,49043,UT,Summit County,2,2412,Industry,38486
768,6063,CA,Plumas County,7,2312,Eureka,18859
769,1025,AL,Clarke County,7,6977,Audemus iura nostra defendere,25207
770,54099,WV,Wayne County,2,8651,Montani semper liberi,1775273
771,13083,GA,Dade County,2,2377,"Wisdom, Justice, Moderation",2617176
772,48325,TX,Medina County,1,6746,Friendship,47399
773,46117,SD,Stanley County,9,237,,2981
774,37003,NC,Alexander County,2,5401,Esse quam videri,6780
775,28107,MS,Panola County,6,7699,Virtute et armis,34402
776,18101,IN,Martin County,6,1241,The Crossroads of America,20422
777,48493,TX,Wilson County,1,4958,Friendship,121945
778,51075,VA,Goochland County,1,1393,Sic semper tyrannis,21626
779,38023,ND,Divide County,9,231,Serit ut alteri saeclo prosit,2314
780,19023,IA,Butler County,8,1416,Our liberties we prize and our rights we will maintain,371272
781,37085,NC,Harnett County,4,20400,Esse quam videri,124987
782,34007,NJ,Camden County,1,60385,Liberty and prosperity,43862
783,13259,GA,Stewart County,8,1634,"Wisdom, Justice, Moderation",13362
784,17111,IL,McHenry County,1,22253,"State sovereignty, national union",307409
785,17017,IL,Cass County,6,1708,"State sovereignty, national union",28555
786,55121,WI,Trempealeau County,8,2391,Forward,29582
787,48109,TX,Culberson County,9,516,Friendship,2277
788,48263,TX,Kent County,9,83,Friendship,621700
789,38019,ND,Cavalier County,9,364,Serit ut alteri saeclo prosit,3896
790,55013,WI,Burnett County,8,2068,Forward,15333
791,13277,GA,Tift County,4,8669,"Wisdom, Justice, Moderation",40286
792,19169,IA,Story County,3,16340,Our liberties we prize and our rights we will maintain,92406
793,31067,NE,Gage County,6,2430,Equality before the law,21864
794,16057,ID,Latah County,4,6326,Esto perpetua,38078
795,55041,WI,Forest County,9,1409,Forward,9126
796,51079,VA,Greene County,3,1618,Sic semper tyrannis,68267
797,25021,MA,Norfolk County,1,41497,Ense petit placidam sub libertate quietem,687802
798,39121,OH,Noble County,6,1744,The Heart of It All,47570
799,19093,IA,Ida County,8,696,Our liberties we prize and our rights we will maintain,7141
800,36117,NY,Wayne County,1,9296,Excelsior,1775273
801,29205,MO,Shelby County,9,977,Salus populi suprema lex esto,939465
802,5035,AR,Crittenden County,1,12314,Regnat populus,49746
803,40113,OK,Osage County,2,7139,Labor omnia vincit,47987
804,6079,CA,San Luis Obispo County,3,29345,Eureka,276443
805,54107,WV,Wood County,3,14510,Montani semper liberi,86569
806,12087,FL,Monroe County,4,8801,In God We Trust,76351
807,21209,KY,Scott County,2,5400,Deo gratiam habeamus,22015
808,48495,TX,Winkler County,6,1164,Friendship,7606
809,44007,RI,Providence County,1,96214,Hope,628600
810,37005,NC,Alleghany County,9,2203,Esse quam videri,16161
811,48183,TX,Gregg County,3,20929,Friendship,123024
812,8039,CO,Elbert County,1,1516,Nil sine numine,23733
813,51179,VA,Stafford County,1,7935,Sic semper tyrannis,136788
814,46095,SD,Mellette County,9,676,,2081
815,40073,OK,Kingfisher County,6,1605,Labor omnia vincit,15276
816,48197,TX,Hardeman County,7,692,Friendship,26306
817,21111,KY,Jefferson County,1,111467,Deo gratiam habeamus,659479
818,54043,WV,Lincoln County,2,5101,Montani semper liberi,5245
819,48005,TX,Angelina County,5,16085,Friendship,87441
820,26019,MI,Benzie County,9,1876,Si quaeris peninsulam amoenam circumspice,17428
821,40103,OK,Noble County,6,1499,Labor omnia vincit,47570
822,30065,MT,Musselshell County,8,790,Oro y Plata,4629
823,51061,VA,Fauquier County,1,3978,Sic semper tyrannis,67207
824,47029,TN,Cocke County,6,8448,Agriculture and Commerce,35479
825,13151,GA,Henry County,1,21101,"Wisdom, Justice, Moderation",49044
826,13163,GA,Jefferson County,6,3867,"Wisdom, Justice, Moderation",659479
827,50017,VT,Orange County,9,2986,Stella quarta decima fulgeat,3114363
828,48253,TX,Jones County,3,3138,Friendship,1001
829,31019,NE,Buffalo County,5,5287,Equality before the law,13357
830,28023,MS,Clarke County,9,3296,Virtute et armis,25207
831,12133,FL,Washington County,6,5026,In God We Trust,32190
832,38057,ND,Mercer County,6,561,Serit ut alteri saeclo prosit,61984
833,38009,ND,Bottineau County,9,701,Serit ut alteri saeclo prosit,6736
834,35045,NM,San Juan County,3,19749,Crescit eundo,14973
835,19111,IA,Lee County,5,4643,Our liberties we prize and our rights we will maintain,661115
836,49027,UT,Millard County,7,1407,Industry,12662
837,48255,TX,Karnes County,6,2677,Friendship,15081
838,45011,SC,Barnwell County,6,4789,Dum spiro spero,22119
839,37129,NC,New Hanover County,2,37472,Esse quam videri,213267
840,1119,AL,Sumter County,8,3933,Audemus iura nostra defendere,13361
841,37123,NC,Montgomery County,6,5655,Esse quam videri,1058810
842,51067,VA,Franklin County,2,7192,Sic semper tyrannis,71221
843,27155,MN,Traverse County,9,414,L’Étoile du Nord,3445
844,29181,MO,Ripley County,9,3776,Salus populi suprema lex esto,14032
845,47099,TN,Lawrence County,6,7076,Agriculture and Commerce,33587
846,46087,SD,McCook County,3,545,,5654
847,21073,KY,Franklin County,4,6708,Deo gratiam habeamus,71221
848,17137,IL,Morgan County,4,4962,"State sovereignty, national union",119787
849,53011,WA,Clark County,1,41909,bye and bye,2027868
850,19125,IA,Marion County,6,2725,Our liberties we prize and our rights we will maintain,323614
851,15003,HI,Honolulu County,2,81341,Ua Mau ke Ea o ka ʻĀina i ka Pono,983429
852,26147,MI,St. Clair County,1,21781,Si quaeris peninsulam amoenam circumspice,160469
853,47143,TN,Rhea County,6,5739,Agriculture and Commerce,32513
854,26155,MI,Shiawassee County,4,8106,Si quaeris peninsulam amoenam circumspice,68900
855,37145,NC,Person County,2,5962,Esse quam videri,39276
856,20135,KS,Ness County,9,325,Ad astra per aspera,3073
857,20189,KS,Stevens County,7,551,Ad astra per aspera,43430
858,48035,TX,Bosque County,6,2797,Friendship,17855
859,40005,OK,Atoka County,7,2596,Labor omnia vincit,13898
860,51740,VA,Portsmouth city,1,16775,Sic semper tyrannis,
861,35021,NM,Harding County,9,95,Crescit eundo,1262
862,54079,WV,Putnam County,2,6090,Montani semper liberi,72577
863,36105,NY,Sullivan County,4,12240,Excelsior,76665
864,28061,MS,Jasper County,9,3748,Virtute et armis,35649
865,48033,TX,Borden County,9,67,Friendship,637
866,36075,NY,Oswego County,2,19549,Excelsior,121165
867,21141,KY,Logan County,6,4581,Deo gratiam habeamus,35987
868,13109,GA,Evans County,6,2500,"Wisdom, Justice, Moderation",10833
869,23005,ME,Cumberland County,2,28431,Dirigo,285456
870,6113,CA,Yolo County,1,39303,Eureka,204593
871,19193,IA,Woodbury County,3,13318,Our liberties we prize and our rights we will maintain,102130
872,22015,LA,Bossier Parish,2,20555,,123823
873,5007,AR,Benton County,2,23131,Regnat populus,86591
874,39041,OH,Delaware County,1,9083,The Heart of It All,46722
875,18181,IN,White County,6,2571,The Crossroads of America,78483
876,40059,OK,Harper County,9,388,Labor omnia vincit,3813
877,5115,AR,Pope County,5,10433,Regnat populus,62547
878,8097,CO,Pitkin County,7,1227,Nil sine numine,17379
879,22101,LA,St. Mary Parish,4,11371,,53543
880,8025,CO,Crowley County,8,1471,Nil sine numine,5322
881,23013,ME,Knox County,7,4376,Dirigo,39550
882,46097,SD,Miner County,8,272,,2333
883,37061,NC,Duplin County,6,12418,Esse quam videri,60084
884,18153,IN,Sullivan County,3,2640,The Crossroads of America,76665
885,19009,IA,Audubon County,8,616,Our liberties we prize and our rights we will maintain,5873
886,51141,VA,Patrick County,8,3151,Sic semper tyrannis,18368
887,40091,OK,McIntosh County,6,4133,Labor omnia vincit,14007
888,48349,TX,Navarro County,4,8491,Friendship,48038
889,21163,KY,Meade County,1,3716,Deo gratiam habeamus,27202
890,27171,MN,Wright County,1,6912,L’Étoile du Nord,128470
891,29137,MO,Monroe County,9,1298,Salus populi suprema lex esto,76351
892,48235,TX,Irion County,3,125,Friendship,1612
893,22013,LA,Bienville Parish,6,3171,,13981
894,21085,KY,Grayson County,6,5585,Deo gratiam habeamus,122353
895,38037,ND,Grant County,8,367,Serit ut alteri saeclo prosit,7283
896,51113,VA,Madison County,8,1444,Sic semper tyrannis,7712
897,19129,IA,Mills County,2,1276,Our liberties we prize and our rights we will maintain,4907
898,21049,KY,Clark County,2,5618,Deo gratiam habeamus,2027868
899,51173,VA,Smyth County,6,5485,Sic semper tyrannis,31652
900,13161,GA,Jeff Davis County,7,3508,"Wisdom, Justice, Moderation",2253
901,20195,KS,Trego County,9,309,Ad astra per aspera,2980
902,30003,MT,Big Horn County,6,3368,Oro y Plata,13042
903,5103,AR,Ouachita County,7,5849,Regnat populus,25002
904,56017,WY,Hot Springs County,7,624,Equal Rights,4847
905,39083,OH,Knox County,4,7294,The Heart of It All,39550
906,51171,VA,Shenandoah County,6,4592,Sic semper tyrannis,42684
907,17177,IL,Stephenson County,4,6916,"State sovereignty, national union",46740
908,36077,NY,Otsego County,6,8124,Excelsior,61683
909,23015,ME,Lincoln County,8,3818,Dirigo,5245
910,6115,CA,Yuba County,3,12288,Eureka,73340
911,46125,SD,Turner County,3,752,,8134
912,48001,TX,Anderson County,5,9044,Friendship,75542
913,8009,CO,Baca County,9,702,Nil sine numine,3682
914,4017,AZ,Navajo County,4,30379,Ditat Deus,107322
915,12001,FL,Alachua County,3,55990,In God We Trust,253451
916,21039,KY,Carlisle County,9,693,Deo gratiam habeamus,5001
917,22089,LA,St. Charles Parish,1,6812,,52617
918,20141,KS,Osborne County,9,501,Ad astra per aspera,3818
919,53035,WA,Kitsap County,3,25729,bye and bye,253968
920,8043,CO,Fremont County,4,6861,Nil sine numine,40998
921,21175,KY,Morgan County,7,3109,Deo gratiam habeamus,119787
922,36001,NY,Albany County,2,35585,Excelsior,37422
923,6029,CA,Kern County,2,190993,Eureka,864124
924,37165,NC,Scotland County,6,9033,Esse quam videri,36025
925,22021,LA,Caldwell Parish,8,2144,,9989
926,37077,NC,Granville County,6,8403,Esse quam videri,58275
927,5147,AR,Woodruff County,9,1712,Regnat populus,7072
928,19103,IA,Johnson County,3,23460,Our liberties we prize and our rights we will maintain,8628
929,19119,IA,Lyon County,8,840,Our liberties we prize and our rights we will maintain,51557
930,47013,TN,Campbell County,6,9398,Agriculture and Commerce,48176
931,29189,MO,St. Louis County,1,90126,Salus populi suprema lex esto,200540
932,21029,KY,Bullitt County,1,8144,Deo gratiam habeamus,76854
933,12053,FL,Hernando County,1,27794,In God We Trust,174441
934,23007,ME,Franklin County,6,4111,Dirigo,71221
935,32007,NV,Elko County,5,5329,All For Our Country,52384
936,18115,IN,Ohio County,1,590,The Crossroads of America,43727
937,24001,MD,Allegany County,3,11090,"Fatti maschii, parole femine",73521
938,17147,IL,Piatt County,3,1115,"State sovereignty, national union",16433
939,13199,GA,Meriwether County,1,4417,"Wisdom, Justice, Moderation",21232
940,19041,IA,Clay County,7,1457,Our liberties we prize and our rights we will maintain,10584
941,42007,PA,Beaver County,1,15998,"Virtue, liberty, and independence",6459
942,40129,OK,Roger Mills County,9,469,Labor omnia vincit,3743
943,36121,NY,Wyoming County,6,3701,Excelsior,23019
944,48065,TX,Carson County,3,519,Friendship,6010
945,16009,ID,Benewah County,6,1624,Esto perpetua,9044
946,29123,MO,Madison County,7,2193,Salus populi suprema lex esto,7712
947,19001,IA,Adair County,8,740,Our liberties we prize and our rights we will maintain,22194
948,51043,VA,Clarke County,1,1115,Sic semper tyrannis,25207
949,39055,OH,Geauga County,1,5451,The Heart of It All,93972
950,18103,IN,Miami County,6,5100,The Crossroads of America,103439
951,48021,TX,Bastrop County,1,10632,Friendship,75825
952,48305,TX,Lynn County,6,1010,Friendship,5723
953,51117,VA,Mecklenburg County,7,4759,Sic semper tyrannis,990977
954,40011,OK,Blaine County,6,1682,Labor omnia vincit,21329
955,55061,WI,Kewaunee County,2,1526,Forward,20505
956,20193,KS,Thomas County,7,787,Ad astra per aspera,44869
957,41043,OR,Linn County,4,15975,Alis volat propriis,118765
958,29021,MO,Buchanan County,3,14999,Salus populi suprema lex esto,23597
959,8015,CO,Chaffee County,7,2009,Nil sine numine,18510
960,19177,IA,Van Buren County,9,1047,Our liberties we prize and our rights we will maintain,16932
961,53075,WA,Whitman County,4,11027,bye and bye,46570
962,26053,MI,Gogebic County,7,2809,Si quaeris peninsulam amoenam circumspice,15916
963,51069,VA,Frederick County,3,5677,Sic semper tyrannis,241409
964,17075,IL,Iroquois County,6,3688,"State sovereignty, national union",28982
965,12067,FL,Lafayette County,8,1609,In God We Trust,32943
966,8077,CO,Mesa County,3,21922,Nil sine numine,147554
967,45071,SC,Newberry County,6,6967,Dum spiro spero,37521
968,56013,WY,Fremont County,7,6616,Equal Rights,40998
969,17133,IL,Monroe County,1,1599,"State sovereignty, national union",76351
970,29133,MO,Mississippi County,7,3384,Salus populi suprema lex esto,44765
971,46011,SD,Brookings County,7,4307,,32968
972,20051,KS,Ellis County,5,3453,Ad astra per aspera,155976
973,48463,TX,Uvalde County,7,6761,Friendship,26926
974,48383,TX,Reagan County,6,423,Friendship,3601
975,26029,MI,Charlevoix County,7,2981,Si quaeris peninsulam amoenam circumspice,26129
976,20059,KS,Franklin County,1,2987,Ad astra per aspera,71221
977,37021,NC,Buncombe County,2,33631,Esse quam videri,247912
978,17087,IL,Johnson County,7,1594,"State sovereignty, national union",8628
979,21221,KY,Trigg County,3,2046,Deo gratiam habeamus,14293
980,13129,GA,Gordon County,6,9020,"Wisdom, Justice, Moderation",55757
981,17057,IL,Fulton County,6,4807,"State sovereignty, national union",984293
982,30081,MT,Ravalli County,6,5773,Oro y Plata,40823
983,24009,MD,Calvert County,1,5282,"Fatti maschii, parole femine",
984,28133,MS,Sunflower County,5,7874,Virtute et armis,27997
985,26057,MI,Gratiot County,6,6742,Si quaeris peninsulam amoenam circumspice,41968
986,31179,NE,Wayne County,6,997,Equality before the law,1775273
987,19123,IA,Mahaska County,7,2640,Our liberties we prize and our rights we will maintain,22417
988,48311,TX,McMullen County,8,95,Friendship,764
989,16005,ID,Bannock County,3,13780,Esto perpetua,83249
990,37163,NC,Sampson County,6,12114,Esse quam videri,64150
991,21047,KY,Christian County,3,13938,Deo gratiam habeamus,80899
992,21133,KY,Letcher County,9,7113,Deo gratiam habeamus,23619
993,8047,CO,Gilpin County,1,440,Nil sine numine,5601
994,38017,ND,Cass County,3,18151,Serit ut alteri saeclo prosit,28555
995,47085,TN,Humphreys County,6,3318,Agriculture and Commerce,18243
996,38051,ND,McIntosh County,9,309,Serit ut alteri saeclo prosit,14007
997,12079,FL,Madison County,6,5205,In God We Trust,7712
998,19039,IA,Clarke County,6,1061,Our liberties we prize and our rights we will maintain,25207
999,6055,CA,Napa County,3,10958,Eureka,140326
1000,17049,IL,Effingham County,7,3709,"State sovereignty, national union",54456
1001,26007,MI,Alpena County,7,4365,Si quaeris peninsulam amoenam circumspice,29091
1002,47171,TN,Unicoi County,3,3006,Agriculture and Commerce,18082
1003,31035,NE,Clay County,9,681,Equality before the law,10584
1004,29097,MO,Jasper County,3,20301,Salus populi suprema lex esto,35649
1005,26079,MI,Kalkaska County,7,2612,Si quaeris peninsulam amoenam circumspice,17196
1006,37113,NC,Macon County,7,5585,Esse quam videri,33857
1007,40109,OK,Oklahoma County,1,124834,Labor omnia vincit,755245
1008,1115,AL,St. Clair County,1,10352,Audemus iura nostra defendere,160469
1009,26091,MI,Lenawee County,4,11641,Si quaeris peninsulam amoenam circumspice,99188
1010,19057,IA,Des Moines County,5,6300,Our liberties we prize and our rights we will maintain,40480
1011,42123,PA,Warren County,6,6007,"Virtue, liberty, and independence",65337
1012,16033,ID,Clark County,8,141,Esto perpetua,2027868
1013,49047,UT,Uintah County,7,4094,Industry,35555
1014,6097,CA,Sonoma County,2,46604,Eureka,
1015,48221,TX,Hood County,4,5754,Friendship,52905
1016,37047,NC,Columbus County,6,13110,Esse quam videri,57246
1017,31007,NE,Banner County,9,100,Equality before the law,759
1018,13317,GA,Wilkes County,6,2213,"Wisdom, Justice, Moderation",69023
1019,27135,MN,Roseau County,7,1204,L’Étoile du Nord,15520
1020,24013,MD,Carroll County,1,8990,"Fatti maschii, parole femine",47499
1021,42101,PA,Philadelphia County,1,384148,"Virtue, liberty, and independence",1553165
1022,51670,VA,Hopewell city,1,4630,Sic semper tyrannis,
1023,22085,LA,Sabine Parish,6,4352,,24235
1024,16031,ID,Cassia County,7,3282,Esto perpetua,23331
1025,18033,IN,De Kalb County,4,3780,The Crossroads of America,104741
1026,35043,NM,Sandoval County,2,20441,Crescit eundo,136575
1027,13087,GA,Decatur County,6,7716,"Wisdom, Justice, Moderation",11661
1028,17117,IL,Macoupin County,1,5962,"State sovereignty, national union",46880
1029,36095,NY,Schoharie County,2,3802,Excelsior,31844
1030,27017,MN,Carlton County,2,3469,L’Étoile du Nord,35460
1031,48151,TX,Fisher County,8,597,Friendship,3856
1032,29029,MO,Camden County,7,7385,Salus populi suprema lex esto,43862
1033,21037,KY,Campbell County,1,11120,Deo gratiam habeamus,48176
1034,17063,IL,Grundy County,1,3936,"State sovereignty, national union",50228
1035,27045,MN,Fillmore County,8,2535,L’Étoile du Nord,20835
1036,16017,ID,Bonner County,6,6476,Esto perpetua,40699
1037,49037,UT,San Juan County,7,5138,Industry,14973
1038,34031,NJ,Passaic County,1,85671,Liberty and prosperity,505672
1039,21023,KY,Bracken County,1,1386,Deo gratiam habeamus,8416
1040,27099,MN,Mower County,4,5104,L’Étoile du Nord,39327
1041,30101,MT,Toole County,7,712,Oro y Plata,5138
1042,51119,VA,Middlesex County,8,1469,Sic semper tyrannis,1552802
1043,56015,WY,Goshen County,7,1776,Equal Rights,13612
1044,51121,VA,Montgomery County,3,18030,Sic semper tyrannis,1058810
1045,13119,GA,Franklin County,8,4614,"Wisdom, Justice, Moderation",71221
1046,13257,GA,Stephens County,7,5212,"Wisdom, Justice, Moderation",44919
1047,17001,IL,Adams County,5,8223,"State sovereignty, national union",3828
1048,27019,MN,Carver County,1,4225,L’Étoile du Nord,95562
1049,17121,IL,Marion County,4,5891,"State sovereignty, national union",323614
1050,30091,MT,Sheridan County,9,379,Oro y Plata,29824
1051,40077,OK,Latimer County,7,2062,Labor omnia vincit,10775
1052,27003,MN,Anoka County,1,23240,L’Étoile du Nord,339534
1053,51103,VA,Lancaster County,9,1514,Sic semper tyrannis,529600
1054,36019,NY,Clinton County,5,10701,Excelsior,81591
1055,17083,IL,Jersey County,1,2369,"State sovereignty, national union",22641
1056,28001,MS,Adams County,5,9045,Virtute et armis,3828
1057,13205,GA,Mitchell County,6,6032,"Wisdom, Justice, Moderation",15328
1058,48107,TX,Crosby County,3,1425,Friendship,5991
1059,48333,TX,Mills County,9,750,Friendship,4907
1060,25001,MA,Barnstable County,3,15972,Ense petit placidam sub libertate quietem,214990
1061,42015,PA,Bradford County,6,6904,"Virtue, liberty, and independence",62316
1062,38081,ND,Sargent County,9,296,Serit ut alteri saeclo prosit,3890
1063,31133,NE,Pawnee County,9,400,Equality before the law,2709
1064,19147,IA,Palo Alto County,7,899,Our liberties we prize and our rights we will maintain,9185
1065,13301,GA,Warren County,8,1511,"Wisdom, Justice, Moderation",65337
1066,48199,TX,Hardin County,2,6001,Friendship,26034
1067,1099,AL,Monroe County,7,5472,Audemus iura nostra defendere,76351
1068,19151,IA,Pocahontas County,9,792,Our liberties we prize and our rights we will maintain,8669
1069,18057,IN,Hamilton County,1,14927,The Crossroads of America,4773
1070,48397,TX,Rockwall County,1,4845,Friendship,85245
1071,28055,MS,Issaquena County,9,409,Virtute et armis,1395
1072,46005,SD,Beadle County,7,2484,,18080
1073,28093,MS,Marshall County,1,7772,Virtute et armis,94760
1074,41051,OR,Multnomah County,1,111262,Alis volat propriis,766135
1075,51139,VA,Page County,6,3833,Sic semper tyrannis,23821
1076,28073,MS,Lamar County,3,7614,Virtute et armis,49426
1077,45061,SC,Lee County,6,4443,Dum spiro spero,661115
1078,46003,SD,Aurora County,9,275,,2720
1079,27137,MN,St. Louis County,2,28177,L’Étoile du Nord,200540
1080,31059,NE,Fillmore County,9,540,Equality before the law,20835
1081,34019,NJ,Hunterdon County,1,5431,Liberty and prosperity,126250
1082,42013,PA,Blair County,3,16430,"Virtue, liberty, and independence",126314
1083,48473,TX,Waller County,1,7591,Friendship,45213
1084,30099,MT,Teton County,8,824,Oro y Plata,22268
1085,8115,CO,Sedgwick County,9,352,Nil sine numine,505415
1086,53029,WA,Island County,4,7577,bye and bye,78801
1087,31093,NE,Howard County,9,663,Equality before the law,304580
1088,20153,KS,Rawlins County,9,310,Ad astra per aspera,2589
1089,27011,MN,Big Stone County,9,584,L’Étoile du Nord,5122
1090,30041,MT,Hill County,7,3140,Oro y Plata,16568
1091,24043,MD,Washington County,3,18771,"Fatti maschii, parole femine",32190
1092,12071,FL,Lee County,2,91333,In God We Trust,661115
1093,27147,MN,Steele County,5,3315,L’Étoile du Nord,36465
1094,17109,IL,McDonough County,5,5470,"State sovereignty, national union",32464
1095,47145,TN,Roane County,4,7416,Agriculture and Commerce,14656
1096,40083,OK,Logan County,1,6510,Labor omnia vincit,35987
1097,17161,IL,Rock Island County,2,21769,"State sovereignty, national union",147258
1098,27139,MN,Scott County,1,7784,L’Étoile du Nord,22015
1099,47125,TN,Montgomery County,3,24640,Agriculture and Commerce,1058810
1100,51057,VA,Essex County,8,1439,Sic semper tyrannis,38762
1101,54085,WV,Ritchie County,8,1764,Montani semper liberi,10073
1102,47129,TN,Morgan County,6,4368,Agriculture and Commerce,119787
1103,51143,VA,Pittsylvania County,3,8211,Sic semper tyrannis,62426
1104,51045,VA,Craig County,2,648,Sic semper tyrannis,5210
1105,19007,IA,Appanoose County,7,2304,Our liberties we prize and our rights we will maintain,12692
1106,51013,VA,Arlington County,1,17151,Sic semper tyrannis,224906
1107,5069,AR,Jefferson County,3,15094,Regnat populus,659479
1108,19011,IA,Benton County,3,1975,Our liberties we prize and our rights we will maintain,86591
1109,45049,SC,Hampton County,6,4104,Dum spiro spero,20408
1110,40013,OK,Bryan County,6,7519,Labor omnia vincit,44244
1111,18047,IN,Franklin County,1,2414,The Crossroads of America,71221
1112,41003,OR,Benton County,3,15546,Alis volat propriis,86591
1113,51590,VA,Danville city,3,9003,Sic semper tyrannis,
1114,31073,NE,Gosper County,9,189,Equality before the law,1972
1115,55025,WI,Dane County,2,56594,Forward,509939
1116,17059,IL,Gallatin County,8,1061,"State sovereignty, national union",94720
1117,13051,GA,Chatham County,2,45636,"Wisdom, Justice, Moderation",278434
1118,48067,TX,Cass County,6,5206,Friendship,28555
1119,51036,VA,Charles City County,1,877,Sic semper tyrannis,7130
1120,24003,MD,Anne Arundel County,1,38816,"Fatti maschii, parole femine",555743
1121,31165,NE,Sioux County,9,192,Equality before the law,1313
1122,34003,NJ,Bergen County,1,63789,Liberty and prosperity,925328
1123,13235,GA,Pulaski County,6,2505,"Wisdom, Justice, Moderation",391284
1124,12057,FL,Hillsborough County,1,203350,In God We Trust,403985
1125,46047,SD,Fall River County,7,862,,6839
1126,46045,SD,Edmunds County,9,377,,4041
1127,18183,IN,Whitley County,2,2954,The Crossroads of America,35766
1128,30057,MT,Madison County,9,877,Oro y Plata,7712
1129,9001,CT,Fairfield County,2,79966,Qui transtulit sustinet,939904
1130,36031,NY,Essex County,6,4532,Excelsior,38762
1131,17151,IL,Pope County,9,720,"State sovereignty, national union",62547
1132,35027,NM,Lincoln County,7,3500,Crescit eundo,5245
1133,30045,MT,Judith Basin County,8,259,Oro y Plata,2016
1134,29221,MO,Washington County,1,5186,Salus populi suprema lex esto,32190
1135,30053,MT,Lincoln County,7,3550,Oro y Plata,5245
1136,2185,AK,North Slope Borough,7,1132,North to the Future,9686
1137,45021,SC,Cherokee County,4,10318,Dum spiro spero,27218
1138,20119,KS,Meade County,9,444,Ad astra per aspera,27202
1139,20159,KS,Rice County,7,1167,Ad astra per aspera,65049
1140,19117,IA,Lucas County,6,1268,Our liberties we prize and our rights we will maintain,436393
1141,29001,MO,Adair County,7,5343,Salus populi suprema lex esto,22194
1142,48281,TX,Lampasas County,2,2793,Friendship,20222
1143,48503,TX,Young County,6,2599,Friendship,18341
1144,28025,MS,Clay County,7,4657,Virtute et armis,10584
1145,8101,CO,Pueblo County,3,32053,Nil sine numine,161451
1146,37199,NC,Yancey County,8,3350,Esse quam videri,17566
1147,26021,MI,Berrien County,3,25215,Si quaeris peninsulam amoenam circumspice,155252
1148,17031,IL,Cook County,1,770091,"State sovereignty, national union",5240700
1149,55069,WI,Lincoln County,6,2712,Forward,5245
1150,20069,KS,Gray County,9,487,Ad astra per aspera,23043
1151,37139,NC,Pasquotank County,7,6395,Esse quam videri,39981
1152,35041,NM,Roosevelt County,7,4006,Crescit eundo,11125
1153,21225,KY,Union County,6,2723,Deo gratiam habeamus,25652
1154,21203,KY,Rockcastle County,7,3991,Deo gratiam habeamus,16693
1155,46137,SD,Ziebach County,9,1223,,2834
1156,51820,VA,Waynesboro city,4,3167,Sic semper tyrannis,
1157,19077,IA,Guthrie County,2,1036,Our liberties we prize and our rights we will maintain,10687
1158,48135,TX,Ector County,3,21548,Friendship,149378
1159,21027,KY,Breckinridge County,8,3386,Deo gratiam habeamus,20040
1160,42049,PA,Erie County,2,41331,"Virtue, liberty, and independence",919866
1161,1037,AL,Coosa County,8,1801,Audemus iura nostra defendere,10898
1162,45087,SC,Union County,6,5756,Dum spiro spero,25652
1163,22037,LA,East Feliciana Parish,2,3459,,19728
1164,27073,MN,Lac qui Parle County,9,635,L’Étoile du Nord,7027
1165,35053,NM,Socorro County,6,4181,Crescit eundo,17584
1166,48071,TX,Chambers County,1,3646,Friendship,36812
1167,37087,NC,Haywood County,2,9545,Esse quam videri,59183
1168,55051,WI,Iron County,9,809,Forward,46780
1169,36021,NY,Columbia County,6,7519,Excelsior,49344
1170,54109,WV,Wyoming County,7,5155,Montani semper liberi,23019
1171,39161,OH,Van Wert County,6,2489,The Heart of It All,28459
1172,29065,MO,Dent County,7,2995,Salus populi suprema lex esto,15730
1173,21045,KY,Casey County,9,4260,Deo gratiam habeamus,16067
1174,12091,FL,Okaloosa County,3,21032,In God We Trust,193811
1175,48321,TX,Matagorda County,4,6392,Friendship,36592
1176,51760,VA,Richmond city,1,55062,Sic semper tyrannis,223170
1177,40131,OK,Rogers County,2,8185,Labor omnia vincit,89044
1178,26001,MI,Alcona County,9,1657,Si quaeris peninsulam amoenam circumspice,10578
1179,28039,MS,George County,3,3714,Virtute et armis,23159
1180,31185,NE,York County,7,1357,Equality before the law,199431
1181,12061,FL,Indian River County,3,18518,In God We Trust,141994
1182,20209,KS,Wyandotte County,1,31432,Ad astra per aspera,160384
1183,28015,MS,Carroll County,9,1719,Virtute et armis,47499
1184,37029,NC,Camden County,8,902,Esse quam videri,43862
1185,28147,MS,Walthall County,9,3476,Virtute et armis,14931
1186,26077,MI,Kalamazoo County,2,42141,Si quaeris peninsulam amoenam circumspice,256725
1187,5015,AR,Carroll County,6,4684,Regnat populus,47499
1188,39139,OH,Richland County,3,17904,The Heart of It All,399256
1189,38049,ND,McHenry County,9,641,Serit ut alteri saeclo prosit,307409
1190,32023,NV,Nye County,6,6724,All For Our Country,42297
1191,2188,AK,Northwest Arctic Borough,7,2114,North to the Future,7685
1192,40079,OK,Le Flore County,2,10398,Labor omnia vincit,49774
1193,17159,IL,Richland County,7,2235,"State sovereignty, national union",399256
1194,21055,KY,Crittenden County,6,1660,Deo gratiam habeamus,49746
1195,5045,AR,Faulkner County,2,18782,Regnat populus,119580
1196,50027,VT,Windsor County,7,5479,Stella quarta decima fulgeat,56067
1197,45051,SC,Horry County,3,47767,Dum spiro spero,289650
1198,20019,KS,Chautauqua County,9,574,Ad astra per aspera,133080
