d3mIndex,Month,State,County,Rate,State - area,County - area,State - coordinate location
364,April,Texas,Comal County,3.4,696241,1069,Point(-100.0 31.0)
365,February,Maryland,Saint Marys County,5.2,32133,3548,Point(-76.7 39.0)
366,March,Texas,Brazos County,3.1,696241,15565,Point(-100.0 31.0)
367,May,Virginia,Mecklenburg County,6.2,110862,1888,Point(-79.0 37.5)
368,June,West Virginia,Gilmer County,7.6,62755,2168,Point(-80.5 39.0)
369,October,South Carolina,Allendale County,10.1,82931,2362,Point(-81.0 34.0)
370,August,Iowa,Adams County,2.6,145746,2225,Point(-93.0 42.0)
371,October,Nebraska,Cherry County,2.3,200520,878,Point(-100.0 41.5)
372,December,New Hampshire,Cheshire County,2.7,24214,611,Point(-71.5 44.0)
373,July,Ohio,Fairfield County,4.4,116096,1074,Point(-82.5 40.5)
374,May,Texas,Hemphill County,3.4,696241,3203,Point(-100.0 31.0)
375,August,Virginia,Charlotte County,5.6,110862,1020,Point(-79.0 37.5)
376,February,Kentucky,Letcher County,10.9,104659,2152,Point(-85.0 37.5)
377,May,Indiana,Vanderburgh County,4.3,94321,575,Point(-86.216666666 39.933333333)
378,February,Pennsylvania,Mifflin County,6.8,119283,2059,Point(-77.5 41.0)
379,March,Minnesota,Houston County,5,225163,1881,Point(-94.0 46.0)
380,July,South Carolina,McCormick County,6.8,82931,1741,Point(-81.0 34.0)
381,August,Arkansas,Pope County,5.5,137733,3474,Point(-92.2 34.8)
382,June,Iowa,Mitchell County,3,145746,1345,Point(-93.0 42.0)
383,April,South Carolina,Greenville County,4.9,82931,1361,Point(-81.0 34.0)
384,March,Virginia,Albemarle County,4,110862,914,Point(-79.0 37.5)
385,September,Kentucky,Wayne County,6.7,104659,2863,Point(-85.0 37.5)
386,April,Louisiana,Vernon Parish,7.5,135382,12368,Point(-92.0 31.0)
387,September,Alabama,Macon County,7.7,135765,4513,Point(-86.7 32.7)
388,April,North Carolina,Currituck County,5.4,139390,2737,Point(-80.0 35.5)
389,October,Kentucky,Knott County,9.5,104659,2353,Point(-85.0 37.5)
390,February,Oklahoma,Grady County,4.1,181195,1875,Point(-98.0 35.5)
391,April,Colorado,Las Animas County,5.6,269837,6089,Point(-105.5 39.0)
392,August,Arkansas,Prairie County,4.4,137733,5288,Point(-92.2 34.8)
393,July,Texas,Coryell County,5.1,696241,2173,Point(-100.0 31.0)
394,August,North Carolina,Onslow County,6.2,139390,2704,Point(-80.0 35.5)
395,March,South Carolina,Laurens County,6.7,82931,2257,Point(-81.0 34.0)
396,November,Indiana,Hancock County,4,94321,6030,Point(-86.216666666 39.933333333)
397,March,Wisconsin,Bayfield County,10.7,169640,2807,Point(-89.5 44.5)
398,January,Oklahoma,Muskogee County,5.5,181195,4787,Point(-98.0 35.5)
399,July,Mississippi,Covington County,6.5,125443,1999,Point(-90.0 33.0)
400,August,Kansas,Kearny County,3.4,213100,20955,Point(-98.0 38.5)
401,October,North Dakota,McLean County,2.2,183108,2911,Point(-100.5 47.5)
402,March,Texas,Comanche County,4.5,696241,2515,Point(-100.0 31.0)
403,July,Arizona,Greenlee County,7.9,295234,714,Point(-111.656944 34.286667)
404,February,Wisconsin,Richland County,5.4,169640,4874,Point(-89.5 44.5)
405,November,Arkansas,Clark County,4.4,137733,1699,Point(-92.2 34.8)
406,March,Montana,Jefferson County,4.6,381154,13489,Point(-110.0 47.0)
407,May,Virginia,Augusta County,4.2,110862,3139,Point(-79.0 37.5)
408,April,Minnesota,Wright County,3.6,225163,556,Point(-94.0 46.0)
409,February,Colorado,Summit County,2.7,269837,2423,Point(-105.5 39.0)
410,November,Maryland,Garrett County,6,32133,1925,Point(-76.7 39.0)
411,February,Colorado,Garfield County,5.1,269837,2438,Point(-105.5 39.0)
412,April,Illinois,Lee County,4.7,149998,27549,Point(-89.0 40.0)
413,January,Iowa,Webster County,5.3,145746,2988,Point(-93.0 42.0)
414,November,Texas,Tyler County,7.4,696241,2365,Point(-100.0 31.0)
415,May,California,Alpine County,9.2,423970,1246,Point(-120.0 37.0)
416,June,Nebraska,Frontier County,2.5,200520,1906,Point(-100.0 41.5)
417,August,Washington,Lincoln County,5,177,2911,Point(-77.036666666 38.895)
418,February,Pennsylvania,Clearfield County,7.7,119283,2813,Point(-77.5 41.0)
419,March,South Carolina,Sumter County,6.7,82931,1400,Point(-81.0 34.0)
420,August,Oklahoma,Woodward County,5,181195,10934,Point(-98.0 35.5)
421,July,Kansas,Pratt County,4.7,213100,2087,Point(-98.0 38.5)
422,June,Arkansas,Jefferson County,7.7,137733,769,Point(-92.2 34.8)
423,April,Texas,Navarro County,3.9,696241,3889,Point(-100.0 31.0)
424,May,Kansas,Harvey County,4,213100,1196,Point(-98.0 38.5)
425,March,Montana,Teton County,4.4,381154,6262,Point(-110.0 47.0)
426,December,South Carolina,Chesterfield County,5.5,82931,1795,Point(-81.0 34.0)
427,January,Virginia,Greensville County,6.2,110862,3093,Point(-79.0 37.5)
428,May,Kentucky,Oldham County,4,104659,1395,Point(-85.0 37.5)
429,December,Mississippi,Oktibbeha County,6.7,125443,5280,Point(-90.0 33.0)
430,March,Nebraska,Holt County,2.6,200520,17162,Point(-100.0 41.5)
431,November,Ohio,Ross County,5,116096,4037,Point(-82.5 40.5)
432,July,Mississippi,Marion County,8,125443,1442,Point(-90.0 33.0)
433,August,Oklahoma,Harmon County,2.8,181195,9679,Point(-98.0 35.5)
434,April,Illinois,Union County,6.6,149998,1293,Point(-89.0 40.0)
435,May,New Mexico,Otero County,6.2,315194,1367,Point(-106.0 34.0)
436,January,Texas,Uvalde County,5.2,696241,465,Point(-100.0 31.0)
437,September,Tennessee,Humphreys County,6.6,109247,1381,Point(-86.0 36.0)
438,June,Pennsylvania,Monroe County,6.5,119283,1334,Point(-77.5 41.0)
439,May,Tennessee,Gibson County,7.7,109247,2328,Point(-86.0 36.0)
440,October,Minnesota,Big Stone County,3,225163,976,Point(-94.0 46.0)
441,September,Virginia,Wythe County,5,110862,571,Point(-79.0 37.5)
442,October,Arkansas,Scott County,4.2,137733,2407,Point(-92.2 34.8)
443,November,North Dakota,Burke County,3.2,183108,27549,Point(-100.5 47.5)
444,August,Texas,Cooke County,4,696241,1695,Point(-100.0 31.0)
445,February,Illinois,Jersey County,6.8,149998,9059,Point(-89.0 40.0)
446,March,Mississippi,Clay County,9.4,125443,3802,Point(-90.0 33.0)
447,March,Texas,Gray County,4.6,696241,1892,Point(-100.0 31.0)
448,February,Minnesota,Lincoln County,5.8,225163,1481,Point(-94.0 46.0)
449,September,Kansas,Coffey County,5.7,213100,3256,Point(-98.0 38.5)
450,May,Montana,Lewis and Clark County,2.9,381154,3244,Point(-110.0 47.0)
451,June,Oklahoma,Delaware County,5.2,181195,5040,Point(-98.0 35.5)
452,April,Illinois,Saline County,6.5,149998,7257,Point(-89.0 40.0)
453,January,Iowa,Black Hawk County,5.5,145746,873,Point(-93.0 42.0)
454,April,New York,Oneida County,5.5,1214,2271,Point(-73.94 40.67)
455,March,Mississippi,Clarke County,7.6,125443,5307,Point(-90.0 33.0)
456,April,Montana,Toole County,2.9,381154,1808,Point(-110.0 47.0)
457,September,South Dakota,Jackson County,3.3,199729,1999,Point(-100.0 44.5)
458,June,Virginia,Gloucester County,4.1,110862,2511,Point(-79.0 37.5)
459,December,Minnesota,Norman County,5.1,225163,502,Point(-94.0 46.0)
460,December,Oregon,Morrow County,6.1,255026,1554,Point(-120.575 43.935833)
461,June,Missouri,New Madrid County,6.6,181533,2922,Point(-92.5 38.5)
462,October,Montana,Richland County,3.1,381154,2086,Point(-110.0 47.0)
463,September,Indiana,Jasper County,4.9,94321,1234,Point(-86.216666666 39.933333333)
464,June,West Virginia,Wyoming County,10.4,62755,1619,Point(-80.5 39.0)
465,March,Arkansas,Miller County,5.5,137733,6203,Point(-92.2 34.8)
466,July,South Carolina,Orangeburg County,12.3,82931,1443,Point(-81.0 34.0)
467,March,Colorado,Arapahoe County,4.4,269837,2478,Point(-105.5 39.0)
468,October,Missouri,Daviess County,3.1,181533,1479,Point(-92.5 38.5)
469,August,Texas,Haskell County,3.5,696241,990,Point(-100.0 31.0)
470,March,Oregon,Wasco County,6.7,255026,6045,Point(-120.575 43.935833)
471,August,South Carolina,Barnwell County,9.1,82931,2869,Point(-81.0 34.0)
472,April,Wisconsin,Brown County,4,169640,1671,Point(-89.5 44.5)
473,February,Nebraska,Loup County,3.1,200520,11168,Point(-100.0 41.5)
474,May,Virginia,Culpeper County,4.5,110862,743,Point(-79.0 37.5)
475,October,New Mexico,Debaca County,5.1,315194,6580,Point(-106.0 34.0)
476,June,Texas,Kerr County,4,696241,1520,Point(-100.0 31.0)
477,December,Virginia,Portsmouth City,5.8,110862,2976,Point(-79.0 37.5)
478,February,Minnesota,Meeker County,5.9,225163,3099,Point(-94.0 46.0)
479,April,Washington,Yakima County,7.7,177,2477,Point(-77.036666666 38.895)
480,March,Washington,Wahkiakum County,9.6,177,1871,Point(-77.036666666 38.895)
481,December,Kansas,Stevens County,4.2,213100,2696,Point(-98.0 38.5)
482,April,Arkansas,Baxter County,5.9,137733,948,Point(-92.2 34.8)
483,August,Wisconsin,Oconto County,4.3,169640,1578,Point(-89.5 44.5)
484,May,Kansas,Cheyenne County,3.2,213100,1971,Point(-98.0 38.5)
485,October,New Hampshire,Merrimack County,2.6,24214,1614,Point(-71.5 44.0)
486,August,Minnesota,Nobles County,2.7,225163,1529,Point(-94.0 46.0)
487,May,Oklahoma,Harper County,3.1,181195,2178,Point(-98.0 35.5)
488,July,West Virginia,Monongalia County,5.4,62755,1861,Point(-80.5 39.0)
489,January,West Virginia,Raleigh County,7.9,62755,1728,Point(-80.5 39.0)
490,January,South Dakota,Ziebach County,4.7,199729,1318,Point(-100.0 44.5)
491,February,Indiana,Marshall County,5,94321,1294,Point(-86.216666666 39.933333333)
492,April,Mississippi,Simpson County,5.1,125443,1663,Point(-90.0 33.0)
493,August,Texas,Winkler County,6.2,696241,1721,Point(-100.0 31.0)
494,February,Kansas,Cloud County,4.1,213100,21648,Point(-98.0 38.5)
495,January,Arkansas,Searcy County,7.6,137733,1862,Point(-92.2 34.8)
496,February,Missouri,Sainte Genevieve County,6.4,181533,4682,Point(-92.5 38.5)
497,July,Tennessee,Hawkins County,7,109247,6172,Point(-86.0 36.0)
498,December,Louisiana,Jefferson Parish,4.5,135382,5983,Point(-92.0 31.0)
499,June,Texas,Armstrong County,2.9,696241,27549,Point(-100.0 31.0)
500,May,Illinois,Lake County,4.8,149998,2050,Point(-89.0 40.0)
501,June,Mississippi,Lauderdale County,7.4,125443,2087,Point(-90.0 33.0)
502,December,New York,Hamilton County,8.7,1214,2536,Point(-73.94 40.67)
503,January,Texas,Dawson County,4.5,696241,1999,Point(-100.0 31.0)
504,June,Missouri,Linn County,7.3,181533,2511,Point(-92.5 38.5)
505,September,Colorado,Lincoln County,2.7,269837,1931,Point(-105.5 39.0)
506,January,Missouri,Oregon County,6.9,181533,1393,Point(-92.5 38.5)
507,July,Virginia,Chesterfield County,4.5,110862,2700,Point(-79.0 37.5)
508,November,Minnesota,Todd County,4.1,225163,1350,Point(-94.0 46.0)
509,June,Connecticut,New London County,5.7,14357,4336,Point(-72.7 41.6)
510,February,Texas,Jasper County,7.3,696241,1060,Point(-100.0 31.0)
511,April,Nebraska,Scotts Bluff County,3.2,200520,1310,Point(-100.0 41.5)
512,September,Virginia,Surry County,4.9,110862,1209,Point(-79.0 37.5)
513,July,Illinois,White County,6.1,149998,1709,Point(-89.0 40.0)
514,March,Virginia,Loudoun County,3.8,110862,6042,Point(-79.0 37.5)
515,May,Montana,Petroleum County,3.9,381154,1649,Point(-110.0 47.0)
516,February,Mississippi,Jefferson Davis County,8.2,125443,1520,Point(-90.0 33.0)
517,June,Minnesota,McLeod County,4,225163,743,Point(-94.0 46.0)
518,May,South Carolina,Cherokee County,7.5,82931,1380,Point(-81.0 34.0)
519,November,North Carolina,Buncombe County,4,139390,7257,Point(-80.0 35.5)
520,March,Kentucky,Powell County,7.9,104659,2282,Point(-85.0 37.5)
521,April,South Dakota,Deuel County,5.8,199729,4361,Point(-100.0 44.5)
522,February,Arkansas,Baxter County,6.6,137733,1299,Point(-92.2 34.8)
523,June,Washington,Wahkiakum County,8.8,177,2911,Point(-77.036666666 38.895)
524,December,South Dakota,Jerauld County,2.6,199729,18044,Point(-100.0 44.5)
525,May,North Carolina,Jackson County,6.3,139390,2233,Point(-80.0 35.5)
526,March,Texas,Fort Bend County,3.9,696241,1295,Point(-100.0 31.0)
527,May,Washington,Skamania County,7.3,177,1578,Point(-77.036666666 38.895)
528,September,New York,Cortland County,4.9,1214,849,Point(-73.94 40.67)
529,February,Kentucky,Jefferson County,5.2,104659,3372,Point(-85.0 37.5)
530,October,Wyoming,Park County,3.7,253348,2775,Point(-107.5 43.0)
531,July,Connecticut,New Haven County,6.4,14357,426,Point(-72.7 41.6)
532,December,New York,Westchester County,4,1214,377,Point(-73.94 40.67)
533,October,West Virginia,Raleigh County,6.3,62755,8430,Point(-80.5 39.0)
534,August,Illinois,Will County,5.6,149998,795,Point(-89.0 40.0)
535,March,Texas,Zavala County,10.2,696241,1313,Point(-100.0 31.0)
536,January,Kansas,Gove County,2.6,213100,1862,Point(-98.0 38.5)
537,August,Louisiana,West Feliciana Parish,5,135382,1826,Point(-92.0 31.0)
538,June,Ohio,Wood County,4.5,116096,1235,Point(-82.5 40.5)
539,June,Indiana,Washington County,5,94321,2358,Point(-86.216666666 39.933333333)
540,May,Indiana,Dearborn County,5,94321,2305,Point(-86.216666666 39.933333333)
541,September,Virginia,Montgomery County,3.9,110862,3184,Point(-79.0 37.5)
542,March,Montana,Silver Bow County,4.8,381154,4189,Point(-110.0 47.0)
543,January,Texas,Panola County,4.6,696241,2168,Point(-100.0 31.0)
544,July,Virginia,Russell County,6.5,110862,6545,Point(-79.0 37.5)
545,November,Texas,Dewitt County,4.3,696241,3802,Point(-100.0 31.0)
546,August,Montana,Wibaux County,3,381154,1350,Point(-110.0 47.0)
547,November,Texas,Starr County,13.6,696241,4732,Point(-100.0 31.0)
548,September,South Dakota,Tripp County,2.4,199729,1069,Point(-100.0 44.5)
549,October,South Carolina,Fairfield County,7.8,82931,5280,Point(-81.0 34.0)
550,October,Montana,Sheridan County,2.2,381154,27549,Point(-110.0 47.0)
551,January,Ohio,Delaware County,4.3,116096,4235,Point(-82.5 40.5)
552,December,Oklahoma,Coal County,6.5,181195,3046,Point(-98.0 35.5)
553,May,South Dakota,Haakon County,2.2,199729,21648,Point(-100.0 44.5)
554,June,South Carolina,Allendale County,11.6,82931,2958,Point(-81.0 34.0)
555,September,Illinois,Union County,6.9,149998,5150,Point(-89.0 40.0)
556,July,Oklahoma,Lincoln County,4.4,181195,1877,Point(-98.0 35.5)
557,March,Wyoming,Crook County,4.1,253348,1552,Point(-107.5 43.0)
558,May,Texas,Liberty County,6.6,696241,2258,Point(-100.0 31.0)
559,September,Montana,Lake County,4.3,381154,2138,Point(-110.0 47.0)
560,December,Indiana,Knox County,4.8,94321,1402,Point(-86.216666666 39.933333333)
561,June,Oregon,Curry County,8.1,255026,1510,Point(-120.575 43.935833)
562,August,Ohio,Franklin County,3.8,116096,8430,Point(-82.5 40.5)
563,April,Tennessee,Morgan County,7.3,109247,830,Point(-86.0 36.0)
564,July,Alabama,Chambers County,6.9,135765,1504,Point(-86.7 32.7)
565,June,New York,Dutchess County,4.7,1214,1860,Point(-73.94 40.67)
566,June,Ohio,Belmont County,6.5,116096,2693,Point(-82.5 40.5)
567,September,Minnesota,Mahnomen County,4.1,225163,5280,Point(-94.0 46.0)
568,January,Missouri,Washington County,8.3,181533,1646,Point(-92.5 38.5)
569,February,West Virginia,Doddridge County,6.7,62755,2635,Point(-80.5 39.0)
570,July,Oklahoma,Nowata County,5.8,181195,750,Point(-98.0 35.5)
571,September,Alabama,Lawrence County,7.4,135765,1860,Point(-86.7 32.7)
572,November,Indiana,Randolph County,4.4,94321,5222,Point(-86.216666666 39.933333333)
573,August,Iowa,Union County,3.7,145746,8430,Point(-93.0 42.0)
574,June,Texas,Milam County,5.6,696241,27549,Point(-100.0 31.0)
575,August,Tennessee,Bedford County,6.6,109247,3240,Point(-86.0 36.0)
576,February,North Carolina,Pasquotank County,8.1,139390,853,Point(-80.0 35.5)
577,October,Ohio,Lawrence County,5.3,116096,9020,Point(-82.5 40.5)
578,March,Nevada,Lyon County,9.7,286380,502,Point(-117.0 39.0)
579,June,Virginia,Washington County,5,110862,2582,Point(-79.0 37.5)
580,November,Kansas,Lincoln County,3,213100,1582,Point(-98.0 38.5)
581,December,Texas,Kimble County,4.2,696241,2546,Point(-100.0 31.0)
582,May,Wisconsin,Washburn County,4.9,169640,1741,Point(-89.5 44.5)
583,April,Kentucky,Meade County,5.3,104659,1047,Point(-85.0 37.5)
584,June,Pennsylvania,Wyoming County,6.1,119283,1952,Point(-77.5 41.0)
585,May,Pennsylvania,Sullivan County,6.4,119283,283,Point(-77.5 41.0)
586,March,Alabama,Crenshaw County,5.8,135765,1559,Point(-86.7 32.7)
587,February,Alabama,Marengo County,7.9,135765,2110,Point(-86.7 32.7)
588,July,Nebraska,Wayne County,3.5,200520,3132,Point(-100.0 41.5)
589,June,North Carolina,Person County,7.4,139390,1305,Point(-80.0 35.5)
590,June,Texas,Karnes County,4.7,696241,1218,Point(-100.0 31.0)
591,February,New Mexico,Los Alamos County,4.2,315194,2973,Point(-106.0 34.0)
592,June,Idaho,Jerome County,3.1,216699,2294,Point(-114.0 45.0)
593,March,South Dakota,Hughes County,3,199729,1023,Point(-100.0 44.5)
594,October,Utah,Wasatch County,3.3,219653,4580,Point(-111.5 39.5)
595,February,Iowa,Buchanan County,5.5,145746,1313,Point(-93.0 42.0)
596,June,Mississippi,Forrest County,7.1,125443,27549,Point(-90.0 33.0)
597,November,Illinois,La Salle County,7.5,149998,959,Point(-89.0 40.0)
598,April,Texas,Collin County,3.4,696241,1838,Point(-100.0 31.0)
599,January,Illinois,Henry County,7.1,149998,3789,Point(-89.0 40.0)
600,October,California,Sonoma County,4.2,423970,2739,Point(-120.0 37.0)
601,February,Ohio,Montgomery County,5.6,116096,2391,Point(-82.5 40.5)
602,September,Arkansas,Lincoln County,5.7,137733,1059,Point(-92.2 34.8)
603,April,Maine,Sagadahoc County,3.7,91646,2981,Point(-69.0 45.5)
604,January,Wisconsin,Buffalo County,6.1,169640,1119,Point(-89.5 44.5)
605,March,California,Mariposa County,9.8,423970,2152,Point(-120.0 37.0)
606,October,Texas,Red River County,6.2,696241,1414,Point(-100.0 31.0)
607,April,Ohio,Lorain County,5.4,116096,1741,Point(-82.5 40.5)
608,May,Indiana,Hendricks County,3.9,94321,702,Point(-86.216666666 39.933333333)
609,March,North Dakota,Lamoure County,3.6,183108,3548,Point(-100.5 47.5)
610,May,Iowa,Ida County,2.9,145746,1726,Point(-93.0 42.0)
611,August,Illinois,Pope County,7.7,149998,18874,Point(-89.0 40.0)
612,May,Virginia,Botetourt County,4.3,110862,3306,Point(-79.0 37.5)
613,May,North Carolina,Wayne County,6.4,139390,2335,Point(-80.0 35.5)
614,October,Illinois,Dekalb County,5.6,149998,1838,Point(-89.0 40.0)
615,April,Colorado,Adams County,4.4,269837,5533,Point(-105.5 39.0)
616,January,Alabama,Coosa County,7.8,135765,6769,Point(-86.7 32.7)
617,August,Utah,Tooele County,4.2,219653,840,Point(-111.5 39.5)
618,August,Texas,Cameron County,7.1,696241,2132,Point(-100.0 31.0)
619,January,Texas,Ector County,3.4,696241,3132,Point(-100.0 31.0)
620,May,South Dakota,Buffalo County,7.5,199729,1337,Point(-100.0 44.5)
621,July,Ohio,Huron County,5.8,116096,13489,Point(-82.5 40.5)
622,May,California,Plumas County,9.4,423970,1616,Point(-120.0 37.0)
623,December,Oregon,Hood River County,4.9,255026,1234,Point(-120.575 43.935833)
624,December,Mississippi,Newton County,7.1,125443,2381,Point(-90.0 33.0)
625,November,Utah,Wasatch County,3.2,219653,893,Point(-111.5 39.5)
626,November,Minnesota,Rice County,2.7,225163,1475,Point(-94.0 46.0)
627,June,Washington,Garfield County,5.3,177,1552,Point(-77.036666666 38.895)
628,April,Mississippi,Greene County,6.7,125443,3099,Point(-90.0 33.0)
629,June,Nebraska,Dixon County,3.6,200520,2911,Point(-100.0 41.5)
630,December,Iowa,Taylor County,2.9,145746,3184,Point(-93.0 42.0)
631,August,Iowa,Decatur County,3.1,145746,878,Point(-93.0 42.0)
632,May,Iowa,Palo Alto County,2.9,145746,1971,Point(-93.0 42.0)
633,August,Tennessee,Morgan County,7.2,109247,12786,Point(-86.0 36.0)
634,February,Kansas,Cheyenne County,2.9,213100,6030,Point(-98.0 38.5)
635,January,Missouri,Jefferson County,6,181533,1759,Point(-92.5 38.5)
636,April,Texas,Starr County,13.1,696241,2147,Point(-100.0 31.0)
637,March,Iowa,Woodbury County,4.2,145746,34886,Point(-93.0 42.0)
638,September,South Dakota,Ziebach County,3.9,199729,5952,Point(-100.0 44.5)
639,August,Oklahoma,Custer County,3.9,181195,6042,Point(-98.0 35.5)
640,December,North Dakota,McLean County,3.8,183108,1494,Point(-100.5 47.5)
641,July,Arkansas,Benton County,4.1,137733,1866,Point(-92.2 34.8)
642,May,Missouri,Stoddard County,6.5,181533,2700,Point(-92.5 38.5)
643,December,Arizona,Mohave County,7.5,295234,2578,Point(-111.656944 34.286667)
644,February,North Dakota,Stutsman County,3.7,183108,18.037146,Point(-100.5 47.5)
645,January,Montana,Powell County,5.9,381154,934,Point(-110.0 47.0)
646,December,Missouri,Adair County,4.3,181533,2693,Point(-92.5 38.5)
647,August,Nebraska,Furnas County,2.6,200520,1166,Point(-100.0 41.5)
648,June,Illinois,White County,5.6,149998,1868,Point(-89.0 40.0)
649,July,California,Sacramento County,6.3,423970,9876,Point(-120.0 37.0)
650,August,Virginia,Emporia City,7.6,110862,338,Point(-79.0 37.5)
651,March,Mississippi,Yazoo County,7.6,125443,1477,Point(-90.0 33.0)
652,March,Missouri,Randolph County,6.7,181533,3911,Point(-92.5 38.5)
653,August,Indiana,Parke County,4.9,94321,1303,Point(-86.216666666 39.933333333)
654,November,Vermont,Orleans County,5.1,24923,3306,Point(-72.7 44.0)
655,May,Colorado,Mineral County,4,269837,1149,Point(-105.5 39.0)
656,October,North Carolina,Yadkin County,4.7,139390,26486,Point(-80.0 35.5)
657,December,Missouri,Cooper County,4.2,181533,6030,Point(-92.5 38.5)
658,December,North Dakota,Cavalier County,2.9,183108,2353,Point(-100.5 47.5)
659,April,Nebraska,Boone County,2.2,200520,642,Point(-100.0 41.5)
660,October,Texas,Cameron County,6.7,696241,976,Point(-100.0 31.0)
661,January,Kentucky,Laurel County,7,104659,1213,Point(-85.0 37.5)
662,December,Oregon,Harney County,7.4,255026,4732,Point(-120.575 43.935833)
663,September,Kentucky,McLean County,4.5,104659,3152,Point(-85.0 37.5)
664,December,Texas,Hockley County,4.1,696241,1016,Point(-100.0 31.0)
665,January,Minnesota,Winona County,4,225163,2517,Point(-94.0 46.0)
666,April,Illinois,Jersey County,5.4,149998,1218,Point(-89.0 40.0)
667,May,Kansas,Leavenworth County,4.6,213100,3399,Point(-98.0 38.5)
668,December,South Dakota,Haakon County,2.4,199729,4968,Point(-100.0 44.5)
669,March,Virginia,Cumberland County,6,110862,2470,Point(-79.0 37.5)
670,August,North Carolina,Hoke County,8.4,139390,2704,Point(-80.0 35.5)
671,July,Mississippi,Jones County,6.2,125443,3888,Point(-90.0 33.0)
672,December,Alabama,Butler County,7.4,135765,4823,Point(-86.7 32.7)
673,March,New York,Oswego County,8,1214,7257,Point(-73.94 40.67)
674,November,Utah,Sevier County,3.8,219653,1909,Point(-111.5 39.5)
675,May,North Carolina,Columbus County,7.8,139390,571,Point(-80.0 35.5)
676,March,Mississippi,Covington County,5.6,125443,1862,Point(-90.0 33.0)
677,November,Texas,Andrews County,3.9,696241,1062,Point(-100.0 31.0)
678,November,Montana,Sweet Grass County,2.8,381154,52073,Point(-110.0 47.0)
679,February,Missouri,Jackson County,7.1,181533,5174,Point(-92.5 38.5)
680,October,Mississippi,Attala County,7.4,125443,6089,Point(-90.0 33.0)
681,December,Kentucky,Clay County,10.7,104659,1741,Point(-85.0 37.5)
682,January,Tennessee,Lauderdale County,10,109247,3207,Point(-86.0 36.0)
683,June,Idaho,Payette County,4.9,216699,1385,Point(-114.0 45.0)
684,December,Virginia,Norfolk City,5.2,110862,3919,Point(-79.0 37.5)
685,November,California,San Bernardino County,6,423970,2650,Point(-120.0 37.0)
686,October,Arkansas,Polk County,5,137733,1572,Point(-92.2 34.8)
687,February,Iowa,Hancock County,3.2,145746,6172,Point(-93.0 42.0)
688,September,West Virginia,Wayne County,6.2,62755,2329,Point(-80.5 39.0)
689,September,California,Santa Cruz County,5.5,423970,2528,Point(-120.0 37.0)
690,November,West Virginia,McDowell County,10.8,62755,3022,Point(-80.5 39.0)
691,August,North Dakota,Barnes County,3.1,183108,1380,Point(-100.5 47.5)
692,February,Texas,Travis County,3.4,696241,887,Point(-100.0 31.0)
693,November,Texas,Limestone County,5.4,696241,2635,Point(-100.0 31.0)
694,February,Texas,Dawson County,4.5,696241,7308,Point(-100.0 31.0)
695,August,Texas,Castro County,3.5,696241,4682,Point(-100.0 31.0)
696,September,West Virginia,Harrison County,5.7,62755,1337,Point(-80.5 39.0)
697,November,North Dakota,Bowman County,1.7,183108,1753,Point(-100.5 47.5)
698,April,South Dakota,Jerauld County,2.2,199729,974,Point(-100.0 44.5)
699,November,Indiana,Perry County,4.5,94321,1313,Point(-86.216666666 39.933333333)
700,September,Virginia,Bedford County,4.1,110862,516,Point(-79.0 37.5)
701,May,New York,Saint Lawrence County,6.9,1214,1700,Point(-73.94 40.67)
702,August,Ohio,Hamilton County,4.2,116096,2308,Point(-82.5 40.5)
703,November,West Virginia,Braxton County,7.8,62755,1303,Point(-80.5 39.0)
704,August,Texas,Loving County,5.7,696241,2004,Point(-100.0 31.0)
705,April,New York,Yates County,5.2,1214,1126,Point(-73.94 40.67)
706,July,Virginia,Montgomery County,4.7,110862,8897,Point(-79.0 37.5)
707,January,New York,Rockland County,5.3,1214,2570,Point(-73.94 40.67)
708,February,Alabama,Hale County,8,135765,1023,Point(-86.7 32.7)
709,December,Texas,Stephens County,4.7,696241,2381,Point(-100.0 31.0)
710,April,Iowa,Boone County,3,145746,6262,Point(-93.0 42.0)
711,January,Texas,Falls County,4.7,696241,1925,Point(-100.0 31.0)
712,February,Mississippi,Sharkey County,11.1,125443,13297,Point(-90.0 33.0)
713,April,Nevada,White Pine County,5.9,286380,5974,Point(-117.0 39.0)
714,July,Indiana,Carroll County,4.4,94321,1034,Point(-86.216666666 39.933333333)
715,June,Indiana,Henry County,5,94321,1861,Point(-86.216666666 39.933333333)
716,March,Iowa,Taylor County,3.3,145746,10495,Point(-93.0 42.0)
717,February,Nebraska,Holt County,2.7,200520,2149,Point(-100.0 41.5)
718,December,California,Alpine County,5.9,423970,2824,Point(-120.0 37.0)
719,January,Kansas,Douglas County,4.2,213100,6843,Point(-98.0 38.5)
720,July,Washington,King County,4.6,177,1861,Point(-77.036666666 38.895)
721,December,Missouri,Cole County,2.9,181533,2347,Point(-92.5 38.5)
722,July,West Virginia,Calhoun County,10.4,62755,5038,Point(-80.5 39.0)
723,February,Iowa,Humboldt County,4.3,145746,1313,Point(-93.0 42.0)
724,January,North Carolina,Halifax County,9.3,139390,2152,Point(-80.0 35.5)
725,May,Iowa,Van Buren County,3.6,145746,1385,Point(-93.0 42.0)
726,April,Texas,Reeves County,4.2,696241,1881,Point(-100.0 31.0)
727,February,Nebraska,Hitchcock County,3.6,200520,985,Point(-100.0 41.5)
728,February,Texas,Borden County,2.4,696241,1543,Point(-100.0 31.0)
