d3mIndex,FIPS,State,Area,RUCCode,POVALL_2016,population
632,15007,HI,Kauai County,5,5716,69512
633,27057,MN,Hubbard County,7,2677,20658
634,42017,PA,Bucks County,1,40872,626976
635,18129,IN,Posey County,2,2192,25486
636,51810,VA,Virginia Beach city,1,36494,
637,39119,OH,Muskingum County,4,12435,85231
638,42103,PA,Pike County,1,5397,63380
639,48505,TX,Zapata County,6,4162,14390
640,47039,TN,Decatur County,9,2164,11661
641,37193,NC,Wilkes County,6,11378,69023
642,53067,WA,Thurston County,3,28354,262388
643,34041,NJ,Warren County,2,8708,65337
644,8065,CO,Lake County,7,1093,63860
645,13283,GA,Treutlen County,7,1717,6712
646,13285,GA,Troup County,4,13731,69053
647,31055,NE,Douglas County,2,67359,106940
648,27125,MN,Red Lake County,8,390,4057
649,45009,SC,Bamberg County,7,3885,15430
650,12073,FL,Leon County,2,52124,16742
651,21061,KY,Edmonson County,3,2668,12062
652,48053,TX,Burnet County,6,5181,43823
653,47009,TN,Blount County,2,14401,125099
654,17125,IL,Mason County,6,1996,27126
655,47105,TN,Loudon County,2,5414,50448
656,48393,TX,Roberts County,9,60,10251
657,19073,IA,Greene County,6,998,68267
658,37177,NC,Tyrrell County,9,966,4109
659,21173,KY,Montgomery County,6,4881,1058810
660,48115,TX,Dawson County,7,2508,9445
661,5125,AR,Saline County,2,10160,114404
662,48213,TX,Henderson County,4,13151,109540
663,21121,KY,Knox County,7,12097,39550
664,19097,IA,Jackson County,6,2497,208545
665,41033,OR,Josephine County,4,15239,83306
666,35015,NM,Eddy County,5,8674,55471
667,55065,WI,Lafayette County,8,1937,32943
668,29151,MO,Osage County,3,1139,47987
669,29111,MO,Lewis County,9,1590,75081
670,29213,MO,Taney County,6,9006,53575
671,45063,SC,Lexington County,2,33254,273752
672,6077,CA,San Joaquin County,2,105268,704379
673,12105,FL,Polk County,2,106703,31569
674,47035,TN,Cumberland County,7,8841,285456
675,20127,KS,Morris County,9,646,499397
676,48075,TX,Childress County,7,1203,7095
677,42005,PA,Armstrong County,1,9100,68107
678,32033,NV,White Pine County,7,1220,10057
679,12075,FL,Levy County,8,8467,39644
680,37175,NC,Transylvania County,6,5415,32903
681,51790,VA,Staunton city,4,2990,
682,21007,KY,Ballard County,9,1277,8332
683,39017,OH,Butler County,1,45165,371272
684,54023,WV,Grant County,6,1737,7283
685,47119,TN,Maury County,4,10204,83761
686,13237,GA,Putnam County,6,3914,72577
687,55117,WI,Sheboygan County,3,7934,114922
688,6059,CA,Orange County,1,348173,3114363
689,32029,NV,Storey County,2,316,3942
690,40085,OK,Love County,9,1376,9742
691,17123,IL,Marshall County,2,1144,94760
692,6093,CA,Siskiyou County,7,8109,43799
693,12101,FL,Pasco County,1,66980,475502
694,33005,NH,Cheshire County,4,6078,76610
695,8073,CO,Lincoln County,8,834,5245
696,39105,OH,Meigs County,6,4815,11649
697,48307,TX,McCulloch County,7,1479,8330
698,28083,MS,Leflore County,5,10146,49774
699,48239,TX,Jackson County,6,1966,208545
700,19197,IA,Wright County,7,1578,128470
701,13053,GA,Chattahoochee County,2,1639,12842
702,46099,SD,Minnehaha County,3,18046,179640
703,21095,KY,Harlan County,7,9889,28499
704,48113,TX,Dallas County,1,413956,2480331
705,40123,OK,Pontotoc County,7,5983,37992
706,51570,VA,Colonial Heights city,1,1819,17634
707,48455,TX,Trinity County,8,2864,13448
708,18055,IN,Greene County,3,5120,68267
709,1015,AL,Calhoun County,3,19057,135012
710,19049,IA,Dallas County,2,4118,2480331
711,27065,MN,Kanabec County,6,2064,15996
712,20097,KS,Kiowa County,9,302,9341
713,13069,GA,Coffee County,7,9153,50938
714,53057,WA,Skagit County,3,13787,118837
715,51520,VA,Bristol city,3,3953,
716,29057,MO,Dade County,8,1312,2617176
717,56045,WY,Weston County,7,734,7158
718,6037,CA,Los Angeles County,1,1629450,10017068
719,38083,ND,Sheridan County,9,222,29824
720,8087,CO,Morgan County,6,3221,119787
721,6101,CA,Sutter County,3,16390,95350
722,30069,MT,Petroleum County,9,74,506
723,21177,KY,Muhlenberg County,6,5732,31179
724,4011,AZ,Greenlee County,7,1144,9049
725,53071,WA,Walla Walla County,4,7906,59530
726,48345,TX,Motley County,8,210,1196
727,55093,WI,Pierce County,1,3153,819743
728,26149,MI,St. Joseph County,4,8948,266709
729,24019,MD,Dorchester County,6,5531,32660
730,21081,KY,Grant County,1,3787,7283
731,54015,WV,Clay County,2,2541,10584
732,48381,TX,Randall County,3,11784,126474
733,29153,MO,Ozark County,9,2315,9560
734,54083,WV,Randolph County,7,4974,29415
735,4025,AZ,Yavapai County,3,29418,215133
736,45055,SC,Kershaw County,2,9941,63603
737,41017,OR,Deschutes County,3,19113,165954
738,21237,KY,Wolfe County,9,2252,7248
739,48087,TX,Collingsworth County,9,584,3099
740,21099,KY,Hart County,8,3998,18573
741,19037,IA,Chickasaw County,6,1303,17311
742,28145,MS,Union County,7,3655,25652
743,48285,TX,Lavaca County,6,2418,19581
744,6091,CA,Sierra County,8,419,11572
745,24021,MD,Frederick County,1,16793,241409
746,29043,MO,Christian County,2,8921,80899
747,46105,SD,Perkins County,9,374,3037
748,31147,NE,Richardson County,7,973,8125
749,32017,NV,Lincoln County,8,675,5245
750,21077,KY,Gallatin County,1,1238,94720
751,29053,MO,Cooper County,6,2362,17647
752,37159,NC,Rowan County,4,22283,23527
753,22041,LA,Franklin Parish,7,5728,20571
754,24029,MD,Kent County,6,2565,621700
755,30037,MT,Golden Valley County,8,147,1823
756,28053,MS,Humphreys County,7,3268,18243
757,54011,WV,Cabell County,2,20129,97133
758,33017,NH,Strafford County,1,9094,124593
759,13167,GA,Johnson County,9,2277,8628
760,51051,VA,Dickenson County,9,3684,15486
761,28105,MS,Oktibbeha County,5,12741,49043
762,20015,KS,Butler County,2,5745,371272
763,42037,PA,Columbia County,4,8349,49344
764,48339,TX,Montgomery County,1,59836,1058810
765,51167,VA,Russell County,6,4584,28264
766,38101,ND,Ward County,5,5903,67990
767,49043,UT,Summit County,2,2412,38486
768,6063,CA,Plumas County,7,2312,18859
769,1025,AL,Clarke County,7,6977,25207
770,54099,WV,Wayne County,2,8651,1775273
771,13083,GA,Dade County,2,2377,2617176
772,48325,TX,Medina County,1,6746,47399
773,46117,SD,Stanley County,9,237,2981
774,37003,NC,Alexander County,2,5401,6780
775,28107,MS,Panola County,6,7699,34402
776,18101,IN,Martin County,6,1241,20422
777,48493,TX,Wilson County,1,4958,121945
778,51075,VA,Goochland County,1,1393,21626
779,38023,ND,Divide County,9,231,2314
780,19023,IA,Butler County,8,1416,371272
781,37085,NC,Harnett County,4,20400,124987
782,34007,NJ,Camden County,1,60385,43862
783,13259,GA,Stewart County,8,1634,13362
784,17111,IL,McHenry County,1,22253,307409
785,17017,IL,Cass County,6,1708,28555
786,55121,WI,Trempealeau County,8,2391,29582
787,48109,TX,Culberson County,9,516,2277
788,48263,TX,Kent County,9,83,621700
789,38019,ND,Cavalier County,9,364,3896
790,55013,WI,Burnett County,8,2068,15333
791,13277,GA,Tift County,4,8669,40286
792,19169,IA,Story County,3,16340,92406
793,31067,NE,Gage County,6,2430,21864
794,16057,ID,Latah County,4,6326,38078
795,55041,WI,Forest County,9,1409,9126
796,51079,VA,Greene County,3,1618,68267
797,25021,MA,Norfolk County,1,41497,687802
798,39121,OH,Noble County,6,1744,47570
799,19093,IA,Ida County,8,696,7141
800,36117,NY,Wayne County,1,9296,1775273
801,29205,MO,Shelby County,9,977,939465
802,5035,AR,Crittenden County,1,12314,49746
803,40113,OK,Osage County,2,7139,47987
804,6079,CA,San Luis Obispo County,3,29345,276443
805,54107,WV,Wood County,3,14510,86569
806,12087,FL,Monroe County,4,8801,76351
807,21209,KY,Scott County,2,5400,22015
808,48495,TX,Winkler County,6,1164,7606
809,44007,RI,Providence County,1,96214,628600
810,37005,NC,Alleghany County,9,2203,16161
811,48183,TX,Gregg County,3,20929,123024
812,8039,CO,Elbert County,1,1516,23733
813,51179,VA,Stafford County,1,7935,136788
814,46095,SD,Mellette County,9,676,2081
815,40073,OK,Kingfisher County,6,1605,15276
816,48197,TX,Hardeman County,7,692,26306
817,21111,KY,Jefferson County,1,111467,659479
818,54043,WV,Lincoln County,2,5101,5245
819,48005,TX,Angelina County,5,16085,87441
820,26019,MI,Benzie County,9,1876,17428
821,40103,OK,Noble County,6,1499,47570
822,30065,MT,Musselshell County,8,790,4629
823,51061,VA,Fauquier County,1,3978,67207
824,47029,TN,Cocke County,6,8448,35479
825,13151,GA,Henry County,1,21101,49044
826,13163,GA,Jefferson County,6,3867,659479
827,50017,VT,Orange County,9,2986,3114363
828,48253,TX,Jones County,3,3138,1001
829,31019,NE,Buffalo County,5,5287,13357
830,28023,MS,Clarke County,9,3296,25207
831,12133,FL,Washington County,6,5026,32190
832,38057,ND,Mercer County,6,561,61984
833,38009,ND,Bottineau County,9,701,6736
834,35045,NM,San Juan County,3,19749,14973
835,19111,IA,Lee County,5,4643,661115
836,49027,UT,Millard County,7,1407,12662
837,48255,TX,Karnes County,6,2677,15081
838,45011,SC,Barnwell County,6,4789,22119
839,37129,NC,New Hanover County,2,37472,213267
840,1119,AL,Sumter County,8,3933,13361
841,37123,NC,Montgomery County,6,5655,1058810
842,51067,VA,Franklin County,2,7192,71221
843,27155,MN,Traverse County,9,414,3445
844,29181,MO,Ripley County,9,3776,14032
845,47099,TN,Lawrence County,6,7076,33587
846,46087,SD,McCook County,3,545,5654
847,21073,KY,Franklin County,4,6708,71221
848,17137,IL,Morgan County,4,4962,119787
849,53011,WA,Clark County,1,41909,2027868
850,19125,IA,Marion County,6,2725,323614
851,15003,HI,Honolulu County,2,81341,983429
852,26147,MI,St. Clair County,1,21781,160469
853,47143,TN,Rhea County,6,5739,32513
854,26155,MI,Shiawassee County,4,8106,68900
855,37145,NC,Person County,2,5962,39276
856,20135,KS,Ness County,9,325,3073
857,20189,KS,Stevens County,7,551,43430
858,48035,TX,Bosque County,6,2797,17855
859,40005,OK,Atoka County,7,2596,13898
860,51740,VA,Portsmouth city,1,16775,
861,35021,NM,Harding County,9,95,1262
862,54079,WV,Putnam County,2,6090,72577
863,36105,NY,Sullivan County,4,12240,76665
864,28061,MS,Jasper County,9,3748,35649
865,48033,TX,Borden County,9,67,637
866,36075,NY,Oswego County,2,19549,121165
867,21141,KY,Logan County,6,4581,35987
868,13109,GA,Evans County,6,2500,10833
869,23005,ME,Cumberland County,2,28431,285456
870,6113,CA,Yolo County,1,39303,204593
871,19193,IA,Woodbury County,3,13318,102130
872,22015,LA,Bossier Parish,2,20555,123823
873,5007,AR,Benton County,2,23131,86591
874,39041,OH,Delaware County,1,9083,46722
875,18181,IN,White County,6,2571,78483
876,40059,OK,Harper County,9,388,3813
877,5115,AR,Pope County,5,10433,62547
878,8097,CO,Pitkin County,7,1227,17379
879,22101,LA,St. Mary Parish,4,11371,53543
880,8025,CO,Crowley County,8,1471,5322
881,23013,ME,Knox County,7,4376,39550
882,46097,SD,Miner County,8,272,2333
883,37061,NC,Duplin County,6,12418,60084
884,18153,IN,Sullivan County,3,2640,76665
885,19009,IA,Audubon County,8,616,5873
886,51141,VA,Patrick County,8,3151,18368
887,40091,OK,McIntosh County,6,4133,14007
888,48349,TX,Navarro County,4,8491,48038
889,21163,KY,Meade County,1,3716,27202
890,27171,MN,Wright County,1,6912,128470
891,29137,MO,Monroe County,9,1298,76351
892,48235,TX,Irion County,3,125,1612
893,22013,LA,Bienville Parish,6,3171,13981
894,21085,KY,Grayson County,6,5585,122353
895,38037,ND,Grant County,8,367,7283
896,51113,VA,Madison County,8,1444,7712
897,19129,IA,Mills County,2,1276,4907
898,21049,KY,Clark County,2,5618,2027868
899,51173,VA,Smyth County,6,5485,31652
900,13161,GA,Jeff Davis County,7,3508,2253
901,20195,KS,Trego County,9,309,2980
902,30003,MT,Big Horn County,6,3368,13042
903,5103,AR,Ouachita County,7,5849,25002
904,56017,WY,Hot Springs County,7,624,4847
905,39083,OH,Knox County,4,7294,39550
906,51171,VA,Shenandoah County,6,4592,42684
907,17177,IL,Stephenson County,4,6916,46740
908,36077,NY,Otsego County,6,8124,61683
909,23015,ME,Lincoln County,8,3818,5245
910,6115,CA,Yuba County,3,12288,73340
911,46125,SD,Turner County,3,752,8134
912,48001,TX,Anderson County,5,9044,75542
913,8009,CO,Baca County,9,702,3682
914,4017,AZ,Navajo County,4,30379,107322
915,12001,FL,Alachua County,3,55990,253451
916,21039,KY,Carlisle County,9,693,5001
917,22089,LA,St. Charles Parish,1,6812,52617
918,20141,KS,Osborne County,9,501,3818
919,53035,WA,Kitsap County,3,25729,253968
920,8043,CO,Fremont County,4,6861,40998
921,21175,KY,Morgan County,7,3109,119787
922,36001,NY,Albany County,2,35585,37422
923,6029,CA,Kern County,2,190993,864124
924,37165,NC,Scotland County,6,9033,36025
925,22021,LA,Caldwell Parish,8,2144,9989
926,37077,NC,Granville County,6,8403,58275
927,5147,AR,Woodruff County,9,1712,7072
928,19103,IA,Johnson County,3,23460,8628
929,19119,IA,Lyon County,8,840,51557
930,47013,TN,Campbell County,6,9398,48176
931,29189,MO,St. Louis County,1,90126,200540
932,21029,KY,Bullitt County,1,8144,76854
933,12053,FL,Hernando County,1,27794,174441
934,23007,ME,Franklin County,6,4111,71221
935,32007,NV,Elko County,5,5329,52384
936,18115,IN,Ohio County,1,590,43727
937,24001,MD,Allegany County,3,11090,73521
938,17147,IL,Piatt County,3,1115,16433
939,13199,GA,Meriwether County,1,4417,21232
940,19041,IA,Clay County,7,1457,10584
941,42007,PA,Beaver County,1,15998,6459
942,40129,OK,Roger Mills County,9,469,3743
943,36121,NY,Wyoming County,6,3701,23019
944,48065,TX,Carson County,3,519,6010
945,16009,ID,Benewah County,6,1624,9044
946,29123,MO,Madison County,7,2193,7712
947,19001,IA,Adair County,8,740,22194
948,51043,VA,Clarke County,1,1115,25207
949,39055,OH,Geauga County,1,5451,93972
950,18103,IN,Miami County,6,5100,103439
951,48021,TX,Bastrop County,1,10632,75825
952,48305,TX,Lynn County,6,1010,5723
953,51117,VA,Mecklenburg County,7,4759,990977
954,40011,OK,Blaine County,6,1682,21329
955,55061,WI,Kewaunee County,2,1526,20505
956,20193,KS,Thomas County,7,787,44869
957,41043,OR,Linn County,4,15975,118765
958,29021,MO,Buchanan County,3,14999,23597
959,8015,CO,Chaffee County,7,2009,18510
960,19177,IA,Van Buren County,9,1047,16932
961,53075,WA,Whitman County,4,11027,46570
962,26053,MI,Gogebic County,7,2809,15916
963,51069,VA,Frederick County,3,5677,241409
964,17075,IL,Iroquois County,6,3688,28982
965,12067,FL,Lafayette County,8,1609,32943
966,8077,CO,Mesa County,3,21922,147554
967,45071,SC,Newberry County,6,6967,37521
968,56013,WY,Fremont County,7,6616,40998
969,17133,IL,Monroe County,1,1599,76351
970,29133,MO,Mississippi County,7,3384,44765
971,46011,SD,Brookings County,7,4307,32968
972,20051,KS,Ellis County,5,3453,155976
973,48463,TX,Uvalde County,7,6761,26926
974,48383,TX,Reagan County,6,423,3601
975,26029,MI,Charlevoix County,7,2981,26129
976,20059,KS,Franklin County,1,2987,71221
977,37021,NC,Buncombe County,2,33631,247912
978,17087,IL,Johnson County,7,1594,8628
979,21221,KY,Trigg County,3,2046,14293
980,13129,GA,Gordon County,6,9020,55757
981,17057,IL,Fulton County,6,4807,984293
982,30081,MT,Ravalli County,6,5773,40823
983,24009,MD,Calvert County,1,5282,
984,28133,MS,Sunflower County,5,7874,27997
985,26057,MI,Gratiot County,6,6742,41968
986,31179,NE,Wayne County,6,997,1775273
987,19123,IA,Mahaska County,7,2640,22417
988,48311,TX,McMullen County,8,95,764
989,16005,ID,Bannock County,3,13780,83249
990,37163,NC,Sampson County,6,12114,64150
991,21047,KY,Christian County,3,13938,80899
992,21133,KY,Letcher County,9,7113,23619
993,8047,CO,Gilpin County,1,440,5601
994,38017,ND,Cass County,3,18151,28555
995,47085,TN,Humphreys County,6,3318,18243
996,38051,ND,McIntosh County,9,309,14007
997,12079,FL,Madison County,6,5205,7712
998,19039,IA,Clarke County,6,1061,25207
999,6055,CA,Napa County,3,10958,140326
1000,17049,IL,Effingham County,7,3709,54456
1001,26007,MI,Alpena County,7,4365,29091
1002,47171,TN,Unicoi County,3,3006,18082
1003,31035,NE,Clay County,9,681,10584
1004,29097,MO,Jasper County,3,20301,35649
1005,26079,MI,Kalkaska County,7,2612,17196
1006,37113,NC,Macon County,7,5585,33857
1007,40109,OK,Oklahoma County,1,124834,755245
1008,1115,AL,St. Clair County,1,10352,160469
1009,26091,MI,Lenawee County,4,11641,99188
1010,19057,IA,Des Moines County,5,6300,40480
1011,42123,PA,Warren County,6,6007,65337
1012,16033,ID,Clark County,8,141,2027868
1013,49047,UT,Uintah County,7,4094,35555
1014,6097,CA,Sonoma County,2,46604,
1015,48221,TX,Hood County,4,5754,52905
1016,37047,NC,Columbus County,6,13110,57246
1017,31007,NE,Banner County,9,100,759
1018,13317,GA,Wilkes County,6,2213,69023
1019,27135,MN,Roseau County,7,1204,15520
1020,24013,MD,Carroll County,1,8990,47499
1021,42101,PA,Philadelphia County,1,384148,1553165
1022,51670,VA,Hopewell city,1,4630,
1023,22085,LA,Sabine Parish,6,4352,24235
1024,16031,ID,Cassia County,7,3282,23331
1025,18033,IN,De Kalb County,4,3780,104741
1026,35043,NM,Sandoval County,2,20441,136575
1027,13087,GA,Decatur County,6,7716,11661
1028,17117,IL,Macoupin County,1,5962,46880
1029,36095,NY,Schoharie County,2,3802,31844
1030,27017,MN,Carlton County,2,3469,35460
1031,48151,TX,Fisher County,8,597,3856
1032,29029,MO,Camden County,7,7385,43862
1033,21037,KY,Campbell County,1,11120,48176
1034,17063,IL,Grundy County,1,3936,50228
1035,27045,MN,Fillmore County,8,2535,20835
1036,16017,ID,Bonner County,6,6476,40699
1037,49037,UT,San Juan County,7,5138,14973
1038,34031,NJ,Passaic County,1,85671,505672
1039,21023,KY,Bracken County,1,1386,8416
1040,27099,MN,Mower County,4,5104,39327
1041,30101,MT,Toole County,7,712,5138
1042,51119,VA,Middlesex County,8,1469,1552802
1043,56015,WY,Goshen County,7,1776,13612
1044,51121,VA,Montgomery County,3,18030,1058810
1045,13119,GA,Franklin County,8,4614,71221
1046,13257,GA,Stephens County,7,5212,44919
1047,17001,IL,Adams County,5,8223,3828
1048,27019,MN,Carver County,1,4225,95562
1049,17121,IL,Marion County,4,5891,323614
1050,30091,MT,Sheridan County,9,379,29824
1051,40077,OK,Latimer County,7,2062,10775
1052,27003,MN,Anoka County,1,23240,339534
1053,51103,VA,Lancaster County,9,1514,529600
1054,36019,NY,Clinton County,5,10701,81591
1055,17083,IL,Jersey County,1,2369,22641
1056,28001,MS,Adams County,5,9045,3828
1057,13205,GA,Mitchell County,6,6032,15328
1058,48107,TX,Crosby County,3,1425,5991
1059,48333,TX,Mills County,9,750,4907
1060,25001,MA,Barnstable County,3,15972,214990
1061,42015,PA,Bradford County,6,6904,62316
1062,38081,ND,Sargent County,9,296,3890
1063,31133,NE,Pawnee County,9,400,2709
1064,19147,IA,Palo Alto County,7,899,9185
1065,13301,GA,Warren County,8,1511,65337
1066,48199,TX,Hardin County,2,6001,26034
1067,1099,AL,Monroe County,7,5472,76351
1068,19151,IA,Pocahontas County,9,792,8669
1069,18057,IN,Hamilton County,1,14927,4773
1070,48397,TX,Rockwall County,1,4845,85245
1071,28055,MS,Issaquena County,9,409,1395
1072,46005,SD,Beadle County,7,2484,18080
1073,28093,MS,Marshall County,1,7772,94760
1074,41051,OR,Multnomah County,1,111262,766135
1075,51139,VA,Page County,6,3833,23821
1076,28073,MS,Lamar County,3,7614,49426
1077,45061,SC,Lee County,6,4443,661115
1078,46003,SD,Aurora County,9,275,2720
1079,27137,MN,St. Louis County,2,28177,200540
1080,31059,NE,Fillmore County,9,540,20835
1081,34019,NJ,Hunterdon County,1,5431,126250
1082,42013,PA,Blair County,3,16430,126314
1083,48473,TX,Waller County,1,7591,45213
1084,30099,MT,Teton County,8,824,22268
1085,8115,CO,Sedgwick County,9,352,505415
1086,53029,WA,Island County,4,7577,78801
1087,31093,NE,Howard County,9,663,304580
1088,20153,KS,Rawlins County,9,310,2589
1089,27011,MN,Big Stone County,9,584,5122
1090,30041,MT,Hill County,7,3140,16568
1091,24043,MD,Washington County,3,18771,32190
1092,12071,FL,Lee County,2,91333,661115
1093,27147,MN,Steele County,5,3315,36465
1094,17109,IL,McDonough County,5,5470,32464
1095,47145,TN,Roane County,4,7416,14656
1096,40083,OK,Logan County,1,6510,35987
1097,17161,IL,Rock Island County,2,21769,147258
1098,27139,MN,Scott County,1,7784,22015
1099,47125,TN,Montgomery County,3,24640,1058810
1100,51057,VA,Essex County,8,1439,38762
1101,54085,WV,Ritchie County,8,1764,10073
1102,47129,TN,Morgan County,6,4368,119787
1103,51143,VA,Pittsylvania County,3,8211,62426
1104,51045,VA,Craig County,2,648,5210
1105,19007,IA,Appanoose County,7,2304,12692
1106,51013,VA,Arlington County,1,17151,224906
1107,5069,AR,Jefferson County,3,15094,659479
1108,19011,IA,Benton County,3,1975,86591
1109,45049,SC,Hampton County,6,4104,20408
1110,40013,OK,Bryan County,6,7519,44244
1111,18047,IN,Franklin County,1,2414,71221
1112,41003,OR,Benton County,3,15546,86591
1113,51590,VA,Danville city,3,9003,
1114,31073,NE,Gosper County,9,189,1972
1115,55025,WI,Dane County,2,56594,509939
1116,17059,IL,Gallatin County,8,1061,94720
1117,13051,GA,Chatham County,2,45636,278434
1118,48067,TX,Cass County,6,5206,28555
1119,51036,VA,Charles City County,1,877,7130
1120,24003,MD,Anne Arundel County,1,38816,555743
1121,31165,NE,Sioux County,9,192,1313
1122,34003,NJ,Bergen County,1,63789,925328
1123,13235,GA,Pulaski County,6,2505,391284
1124,12057,FL,Hillsborough County,1,203350,403985
1125,46047,SD,Fall River County,7,862,6839
1126,46045,SD,Edmunds County,9,377,4041
1127,18183,IN,Whitley County,2,2954,35766
1128,30057,MT,Madison County,9,877,7712
1129,9001,CT,Fairfield County,2,79966,939904
1130,36031,NY,Essex County,6,4532,38762
1131,17151,IL,Pope County,9,720,62547
1132,35027,NM,Lincoln County,7,3500,5245
1133,30045,MT,Judith Basin County,8,259,2016
1134,29221,MO,Washington County,1,5186,32190
1135,30053,MT,Lincoln County,7,3550,5245
1136,2185,AK,North Slope Borough,7,1132,9686
1137,45021,SC,Cherokee County,4,10318,27218
1138,20119,KS,Meade County,9,444,27202
1139,20159,KS,Rice County,7,1167,65049
1140,19117,IA,Lucas County,6,1268,436393
1141,29001,MO,Adair County,7,5343,22194
1142,48281,TX,Lampasas County,2,2793,20222
1143,48503,TX,Young County,6,2599,18341
1144,28025,MS,Clay County,7,4657,10584
1145,8101,CO,Pueblo County,3,32053,161451
1146,37199,NC,Yancey County,8,3350,17566
1147,26021,MI,Berrien County,3,25215,155252
1148,17031,IL,Cook County,1,770091,5240700
1149,55069,WI,Lincoln County,6,2712,5245
1150,20069,KS,Gray County,9,487,23043
1151,37139,NC,Pasquotank County,7,6395,39981
1152,35041,NM,Roosevelt County,7,4006,11125
1153,21225,KY,Union County,6,2723,25652
1154,21203,KY,Rockcastle County,7,3991,16693
1155,46137,SD,Ziebach County,9,1223,2834
1156,51820,VA,Waynesboro city,4,3167,
1157,19077,IA,Guthrie County,2,1036,10687
1158,48135,TX,Ector County,3,21548,149378
1159,21027,KY,Breckinridge County,8,3386,20040
1160,42049,PA,Erie County,2,41331,919866
1161,1037,AL,Coosa County,8,1801,10898
1162,45087,SC,Union County,6,5756,25652
1163,22037,LA,East Feliciana Parish,2,3459,19728
1164,27073,MN,Lac qui Parle County,9,635,7027
1165,35053,NM,Socorro County,6,4181,17584
1166,48071,TX,Chambers County,1,3646,36812
1167,37087,NC,Haywood County,2,9545,59183
1168,55051,WI,Iron County,9,809,46780
1169,36021,NY,Columbia County,6,7519,49344
1170,54109,WV,Wyoming County,7,5155,23019
1171,39161,OH,Van Wert County,6,2489,28459
1172,29065,MO,Dent County,7,2995,15730
1173,21045,KY,Casey County,9,4260,16067
1174,12091,FL,Okaloosa County,3,21032,193811
1175,48321,TX,Matagorda County,4,6392,36592
1176,51760,VA,Richmond city,1,55062,223170
1177,40131,OK,Rogers County,2,8185,89044
1178,26001,MI,Alcona County,9,1657,10578
1179,28039,MS,George County,3,3714,23159
1180,31185,NE,York County,7,1357,199431
1181,12061,FL,Indian River County,3,18518,141994
1182,20209,KS,Wyandotte County,1,31432,160384
1183,28015,MS,Carroll County,9,1719,47499
1184,37029,NC,Camden County,8,902,43862
1185,28147,MS,Walthall County,9,3476,14931
1186,26077,MI,Kalamazoo County,2,42141,256725
1187,5015,AR,Carroll County,6,4684,47499
1188,39139,OH,Richland County,3,17904,399256
1189,38049,ND,McHenry County,9,641,307409
1190,32023,NV,Nye County,6,6724,42297
1191,2188,AK,Northwest Arctic Borough,7,2114,7685
1192,40079,OK,Le Flore County,2,10398,49774
1193,17159,IL,Richland County,7,2235,399256
1194,21055,KY,Crittenden County,6,1660,49746
1195,5045,AR,Faulkner County,2,18782,119580
1196,50027,VT,Windsor County,7,5479,56067
1197,45051,SC,Horry County,3,47767,289650
1198,20019,KS,Chautauqua County,9,574,133080
1199,38059,ND,Morton County,3,2679,28990
1200,9009,CT,New Haven County,2,94687,862287
1201,13003,GA,Atkinson County,9,2176,8290
1202,38091,ND,Steele County,8,162,36465
1203,40093,OK,Major County,9,925,7683
1204,39043,OH,Erie County,3,9171,919866
1205,13091,GA,Dodge County,7,4730,88344
1206,13229,GA,Pierce County,6,3282,819743
1207,32001,NV,Churchill County,6,3371,24063
1208,24045,MD,Wicomico County,3,17634,100896
1209,48229,TX,Hudspeth County,8,848,3318
1210,42133,PA,York County,2,42508,199431
1211,27169,MN,Winona County,4,5416,51232
1212,28095,MS,Monroe County,7,6869,76351
1213,8071,CO,Las Animas County,7,2869,14446
1214,13219,GA,Oconee County,3,2480,75045
1215,27109,MN,Olmsted County,3,13027,149226
1216,17203,IL,Woodford County,2,2515,39273
1217,28129,MS,Smith County,8,2990,216080
1218,48225,TX,Houston County,7,4437,22911
1219,47097,TN,Lauderdale County,6,6025,92797
1220,27031,MN,Cook County,9,526,5240700
1221,45005,SC,Allendale County,6,3013,9839
1222,48301,TX,Loving County,9,15,95
1223,21143,KY,Lyon County,8,1152,51557
1224,5025,AR,Cleveland County,3,1295,97047
1225,21075,KY,Fulton County,7,1712,984293
1226,56025,WY,Natrona County,3,8244,80973
1227,8083,CO,Montezuma County,6,4031,25642
1228,56021,WY,Laramie County,3,9697,95809
1229,47049,TN,Fentress County,9,3812,17909
1230,20173,KS,Sedgwick County,2,75334,505415
1231,26107,MI,Mecosta County,6,8248,43108
1232,48413,TX,Schleicher County,8,503,3206
1233,34023,NJ,Middlesex County,1,69642,1552802
1234,5099,AR,Nevada County,7,1680,98200
1235,9003,CT,Hartford County,1,95010,898272
1236,55078,WI,Menominee County,8,1214,23791
1237,48309,TX,McLennan County,3,44099,241481
1238,42001,PA,Adams County,4,9218,3828
1239,48091,TX,Comal County,1,11496,118480
1240,45075,SC,Orangeburg County,4,19239,90942
1241,29081,MO,Harrison County,7,1520,196500
1242,16061,ID,Lewis County,8,611,75081
1243,51095,VA,James City County,1,4739,70516
1244,48351,TX,Newton County,8,3023,8064
1245,48459,TX,Upshur County,3,6235,24665
1246,29199,MO,Scotland County,9,778,36025
1247,41001,OR,Baker County,7,2762,16018
1248,19121,IA,Madison County,2,1218,7712
1249,28009,MS,Benton County,8,2064,86591
1250,8059,CO,Jefferson County,1,39397,659479
1251,17081,IL,Jefferson County,7,5697,659479
1252,21093,KY,Hardin County,3,14306,26034
1253,8093,CO,Park County,1,1572,29227
1254,45017,SC,Calhoun County,2,2370,135012
